排名,车型,销量,厂商,售价(万元)
1,朗逸,457114,上汽大众,9.99 - 16.19
2,英朗,416990,上汽通用别克,11.99 - 12.59
3,轩逸,405854,东风日产,9.98 - 14.30
4,卡罗拉,333488,一汽丰田,10.98 - 15.98
5,速腾,332733,一汽-大众,12.89 - 19.29
6,捷达,325979,一汽-大众,7.98 - 10.68
7,福睿斯,291773,长安福特,8.08 - 11.68
8,桑塔纳,257627,上汽大众,8.69 - 11.59
9,宝来,250385,一汽-大众,9.88 - 15.70
10,帝豪,240843,吉利汽车,6.98 - 9.88
11,迈腾,211074,一汽-大众,18.69 - 30.99
12,科沃兹,188319,上汽通用雪佛兰,7.99 - 9.99
13,威朗,186438,上汽通用别克,15.29 - 18.29
14,奇骏,184711,东风日产,18.88 - 27.33
15,Polo,174415,上汽大众,9.99 - 12.39
16,福克斯,173457,长安福特,10.88 - 15.38
17,雷凌,172626,广汽丰田,11.38 - 15.28
18,思域,172482,东风本田,11.99 - 16.99
19,宝骏310,160993,上汽通用五菱,3.68 - 6.08
20,帕萨特,159547,上汽大众,18.59 - 28.29
21,雅阁,155027,广汽本田,17.98 - 25.98
22,高尔夫,153809,一汽-大众,12.98 - 18.02
23,凌渡,142734,上汽大众,14.29 - 19.69
24,马自达3 昂克赛拉,142498,长安马自达,11.59 - 18.99
25,奥迪A6L,141788,一汽-大众奥迪,40.98 - 65.38
26,远景,141724,吉利汽车,4.99 - 7.39
27,起亚K3,138355,东风悦达起亚,10.88 - 13.18
28,艾瑞泽5,136341,奇瑞汽车,4.99 - 8.58
29,奔驰C级,128331,北京奔驰,30.78 - 47.48
30,明锐,125089,上汽斯柯达,9.99 - 16.14
31,比亚迪F3,124003,比亚迪,4.49 - 5.08
32,迈锐宝,123890,上汽通用雪佛兰,16.49 - 18.99
33,宝马3系,123692,华晨宝马,29.39 - 40.99
34,名图,123320,北京现代,13.38 - 16.98
35,宝马5系,120985,华晨宝马,42.69 - 54.99
36,帝豪GL,120710,吉利汽车,7.78 - 13.98
37,领动,119489,北京现代,10.98 - 14.68
38,朗动,118048,北京现代,11.58 - 12.78
39,奥迪A4L,117868,一汽-大众奥迪,30.58 - 39.68
40,天籁,113857,东风日产,17.98 - 26.98
41,奔驰E级,112513,北京奔驰,42.98 - 64.28
42,蒙迪欧,112158,长安福特,19.28 - 27.98
43,飞度,111634,广汽本田,7.38 - 10.88
44,君越,100873,上汽通用别克,21.98 - 28.98
45,威驰,96205,一汽丰田,7.38 - 11.18
46,凌派,93051,广汽本田,9.98 - 16.98
47,逸动,92573,长安汽车,7.29 - 10.39
48,奥迪A3,83898,一汽-大众奥迪,19.32 - 26.85
49,科鲁兹,81012,上汽通用雪佛兰,0.00 - 0.00
50,锋范,80439,广汽本田,0.00 - 0.00
51,骐达TIIDA,78598,东风日产,9.99 - 13.59
52,北汽新能源EC,77645,北汽新能源,5.58 - 5.58
53,凯美瑞,74329,广汽丰田,17.98 - 27.98
54,蓝鸟,65128,东风日产,9.59 - 13.39
55,悦纳,65072,北京现代,0.00 - 9.68
56,荣威i6,63770,上汽集团,8.98 - 13.98
57,昕锐,63608,上汽斯柯达,7.79 - 9.99
58,君威,63455,上汽通用别克,17.28 - 25.98
59,悦动,58244,北京现代,8.49 - 11.59
60,阿特兹,56888,一汽马自达,17.58 - 24.78
61,YARiS L 致炫,54528,广汽丰田,7.78 - 10.38
62,朗行,54108,上汽大众,11.29 - 16.29
63,标致308,52429,东风标致,8.97 - 13.07
64,标致408,52353,东风标致,11.77 - 16.97
65,起亚K2,52309,东风悦达起亚,7.29 - 10.39
66,荣威360,51404,上汽集团,0.00 - 0.00
67,爱丽舍,48588,东风雪铁龙,8.38 - 10.28
68,凯迪拉克XTS,46261,通用凯迪拉克,0.00 - 0.00
69,悦翔V7,43360,长安汽车,0.00 - 0.00
70,博瑞,42758,吉利汽车,13.68 - 17.98
71,速派,42547,上汽斯柯达,15.49 - 22.99
72,杰德,41657,东风本田,0.00 - 0.00
73,瑞纳,40930,北京现代,4.99 - 7.39
74,皇冠,37142,一汽丰田,25.08 - 37.48
75,知豆D2,36660,知豆电动车,0.00 - 0.00
76,YARiS L 致享,35160,广汽丰田,7.98 - 10.58
77,金刚,34973,吉利汽车,0.00 - 0.00
78,KX CROSS,31895,东风悦达起亚,8.69 - 9.09
79,宝马1系,31669,华晨宝马,19.88 - 26.38
80,威驰FS,31607,一汽丰田,7.18 - 10.78
81,奇瑞QQ,31337,奇瑞汽车,3.79 - 5.09
82,北斗星,30670,昌河铃木,4.20 - 4.40
83,东风风神H30,30416,东风乘用车,0.00 - 0.00
84,标致301,29098,东风标致,8.47 - 10.77
85,嘉年华,29018,长安福特,0.00 - 0.00
86,阳光,28878,东风日产,0.00 - 0.00
87,K5凯酷,27840,东风悦达起亚,16.18 - 20.58
88,沃尔沃S60,27573,沃尔沃亚太,28.69 - 38.09
89,江淮iEV,27335,江淮汽车,0.00 - 0.00
90,北汽幻速S5,27296,北汽幻速,0.00 - 0.00
91,哥瑞,27182,东风本田,0.00 - 0.00
92,竞瑞,26434,东风本田,0.00 - 0.00
93,凯迪拉克ATS-L,25796,通用凯迪拉克,0.00 - 0.00
94,金牛座,25347,长安福特,22.89 - 28.89
95,传祺GA6,25032,广汽乘用车,10.88 - 16.88
96,昕动,24988,上汽斯柯达,7.79 - 10.99
97,远景X1,24450,吉利汽车,3.99 - 5.79
98,风云2,24066,奇瑞汽车,0.00 - 0.00
99,比亚迪e5,23601,比亚迪,22.07 - 23.07
100,绅宝D50,22642,BEIJING汽车,6.99 - 9.99
101,奔奔,22567,长安汽车,0.00 - 0.00
102,赛欧,22252,上汽通用雪佛兰,6.29 - 7.99
103,一汽-大众CC,21961,一汽-大众,24.68 - 30.18
104,帝豪新能源,21421,吉利新能源,13.58 - 15.98
105,中华H330,21386,华晨中华,0.00 - 0.00
106,捷豹XFL,20645,奇瑞捷豹路虎,37.58 - 57.88
107,英菲尼迪Q50L,20618,东风英菲尼迪,26.48 - 38.98
108,中华H530,19776,华晨中华,8.58 - 13.98
