排名,车型,销量,厂商,售价(万元)
1,科鲁兹,544415,上汽通用雪佛兰,0.00 - 0.00
2,朗逸,478940,上汽大众,9.99 - 16.19
3,英朗,370376,上汽通用别克,11.99 - 12.59
4,轩逸,367979,东风日产,9.98 - 14.30
5,捷达,348437,一汽-大众,7.98 - 10.68
6,速腾,341333,一汽-大众,12.89 - 19.29
7,卡罗拉,306541,一汽丰田,10.98 - 15.98
8,福睿斯,296867,长安福特,8.08 - 11.68
9,桑塔纳,282815,上汽大众,8.69 - 11.59
10,朗动,254027,北京现代,11.58 - 12.78
11,帝豪,229804,吉利汽车,6.98 - 9.88
12,福克斯,225924,长安福特,10.88 - 15.38
13,宝来,219313,一汽-大众,9.88 - 15.70
14,起亚K3,191911,东风悦达起亚,10.88 - 13.18
15,帕萨特,188214,上汽大众,18.59 - 28.29
16,Polo,180150,上汽大众,9.99 - 12.39
17,高尔夫,178374,一汽-大众,12.98 - 18.02
18,威朗,177202,上汽通用别克,15.29 - 18.29
19,迈腾,171283,一汽-大众,18.69 - 30.99
20,雷凌,159071,广汽丰田,11.38 - 15.28
21,逸动,156372,长安汽车,7.29 - 10.39
22,明锐,155098,上汽斯柯达,9.99 - 16.14
23,起亚K2,152447,东风悦达起亚,7.29 - 10.39
24,名图,148254,北京现代,13.38 - 16.98
25,宝马5系,143626,华晨宝马,42.69 - 54.99
26,凌渡,143145,上汽大众,14.29 - 19.69
27,远景,137687,吉利汽车,4.99 - 7.39
28,雅阁,136246,广汽本田,17.98 - 25.98
29,马自达3 昂克赛拉,135784,长安马自达,11.59 - 18.99
30,奥迪A6L,135730,一汽-大众奥迪,40.98 - 65.38
31,领动,131987,北京现代,10.98 - 14.68
32,比亚迪F3,130114,比亚迪,4.49 - 5.08
33,艾瑞泽5,129239,奇瑞汽车,4.99 - 8.58
34,威驰,116957,一汽丰田,7.38 - 11.18
35,瑞纳,116513,北京现代,4.99 - 7.39
36,飞度,116415,广汽本田,7.38 - 10.88
37,悦翔V7,108415,长安汽车,0.00 - 0.00
38,奔驰C级,105401,北京奔驰,30.78 - 47.48
39,凯越,105033,上汽通用别克,8.39 - 9.99
40,蒙迪欧,103274,长安福特,19.28 - 27.98
41,凯美瑞,100611,广汽丰田,17.98 - 27.98
42,标致408,100156,东风标致,11.77 - 16.97
43,奥迪A4L,97421,一汽-大众奥迪,30.58 - 39.68
44,宝马3系,97112,华晨宝马,29.39 - 40.99
45,天籁,90279,东风日产,17.98 - 26.98
46,思域,90014,东风本田,11.99 - 16.99
47,凌派,87405,广汽本田,9.98 - 16.98
48,爱丽舍,87132,东风雪铁龙,8.38 - 10.28
49,迈锐宝,85180,上汽通用雪佛兰,16.49 - 18.99
50,奥迪A3,84784,一汽-大众奥迪,19.32 - 26.85
51,荣威360,82861,上汽集团,0.00 - 0.00
52,君越,80966,上汽通用别克,21.98 - 28.98
53,蓝鸟,78976,东风日产,9.59 - 13.39
54,凯迪拉克XTS,76757,通用凯迪拉克,0.00 - 0.00
55,标致308,75123,东风标致,8.97 - 13.07
56,阳光,74413,东风日产,0.00 - 0.00
57,标致301,73641,东风标致,8.47 - 10.77
58,锋范,71734,广汽本田,0.00 - 0.00
59,君威,69300,上汽通用别克,17.28 - 25.98
60,朗行,69274,上汽大众,11.29 - 16.29
61,昕锐,67149,上汽斯柯达,7.79 - 9.99
62,赛欧,65939,上汽通用雪佛兰,6.29 - 7.99
63,YARiS L 致炫,63443,广汽丰田,7.78 - 10.38
64,金刚,63413,吉利汽车,0.00 - 0.00
65,奔驰E级,57439,北京奔驰,42.98 - 64.28
66,博瑞,51828,吉利汽车,13.68 - 17.98
67,奔奔MINI,50968,长安汽车,0.00 - 0.00
68,科沃兹,50786,上汽通用雪佛兰,7.99 - 9.99
69,宝骏310,50028,上汽通用五菱,3.68 - 6.08
70,K5凯酷,47304,东风悦达起亚,16.18 - 20.58
71,荣威350,42581,上汽集团,0.00 - 0.00
72,速派,41692,上汽斯柯达,15.49 - 22.99
73,福美来,41461,一汽海马,6.88 - 9.28
74,哥瑞,40806,东风本田,0.00 - 0.00
75,骐达TIIDA,40322,东风日产,9.99 - 13.59
76,风云2,39244,奇瑞汽车,0.00 - 0.00
77,索纳塔九,35998,北京现代,0.00 - 0.00
78,阿特兹,35950,一汽马自达,17.58 - 24.78
79,桑塔纳·浩纳,35525,上汽大众,0.00 - 0.00
80,C4世嘉,34834,东风雪铁龙,0.00 - 0.00
81,奔腾B30,34507,一汽奔腾,8.68 - 8.68
82,悦纳,34502,北京现代,0.00 - 9.68
83,奔腾B50,34103,一汽奔腾,12.68 - 15.28
84,起亚K4,34100,东风悦达起亚,12.88 - 18.88
85,金牛座,34043,长安福特,22.89 - 28.89
86,速锐,33539,比亚迪,0.00 - 0.00
87,海马M3,33497,海马汽车,0.00 - 0.00
88,杰德,32024,东风本田,0.00 - 0.00
89,奇瑞QQ,30746,奇瑞汽车,3.79 - 5.09
90,帝豪GL,30037,吉利汽车,7.78 - 13.98
91,皇冠,29941,一汽丰田,25.08 - 37.48
92,一汽-大众CC,29148,一汽-大众,24.68 - 30.18
93,中华H330,28739,华晨中华,0.00 - 0.00
94,昕动,27527,上汽斯柯达,7.79 - 10.99
95,长城C30,27407,长城汽车,0.00 - 0.00
96,北斗星,27312,昌河铃木,4.20 - 4.40
97,索纳塔八,26649,北京现代,0.00 - 0.00
98,世嘉,25488,东风雪铁龙,0.00 - 0.00
99,悦动,24258,北京现代,8.49 - 11.59
100,绅宝D50,24085,BEIJING汽车,6.99 - 9.99
101,思铂睿,23487,东风本田,17.99 - 26.79
102,东风风神A60,23303,东风乘用车,6.97 - 15.47
103,启辰R50,22605,东风启辰,0.00 - 0.00
104,启悦,21896,长安铃木,7.89 - 10.99
105,绅宝D20,21885,BEIJING汽车,0.00 - 0.00
106,雨燕,19324,长安铃木,0.00 - 0.00
107,雪铁龙C4L,18472,东风雪铁龙,10.69 - 14.19
108,花冠,17511,一汽丰田,0.00 - 0.00
109,锐行,17327,上汽名爵,0.00 - 0.00
110,英菲尼迪Q50L,17241,东风英菲尼迪,26.48 - 38.98
111,艾瑞泽7,17152,奇瑞汽车,0.00 - 0.00
112,锐志,16851,一汽丰田,0.00 - 0.00
113,云100,16417,众泰新能源,0.00 - 0.00
114,众泰Z360,16416,众泰汽车,0.00 - 0.00
115,奇瑞E3,15825,奇瑞汽车,0.00 - 0.00
116,奇瑞E5,15648,奇瑞汽车,0.00 - 0.00
117,力帆X60,15611,力帆汽车,0.00 - 0.00
118,海马M6,15325,海马汽车,0.00 - 0.00
119,宝骏630,13832,上汽通用五菱,0.00 - 0.00
120,乐风RV,13714,上汽通用雪佛兰,7.49 - 9.99
121,传祺GA6,13401,广汽乘用车,10.88 - 16.88
122,观致3,13310,观致汽车,9.89 - 15.39
123,众泰Z700,13101,众泰汽车,0.00 - 0.00
124,凯翼C3,12578,凯翼汽车,0.00 - 0.00
125,奥拓,12507,长安铃木,4.18 - 6.19
126,晶锐,12272,上汽斯柯达,0.00 - 0.00
127,启辰D50,12231,东风启辰,0.00 - 0.00
128,名爵3,11828,上汽名爵,0.00 - 0.00
129,荣威e550,11708,上汽集团,0.00 - 0.00
130,沃尔沃S60,11400,沃尔沃亚太,28.69 - 38.09
131,长安CX20,11137,长安汽车,0.00 - 0.00
132,夏利N5,10875,天津一汽,0.00 - 0.00
133,比亚迪F0,10865,比亚迪,3.79 - 4.79
134,比亚迪e5,10531,比亚迪,22.07 - 23.07
135,乐驰,10273,上汽通用五菱,0.00 - 0.00
136,路盛E70,10048,华泰汽车,0.00 - 0.00
137,景逸S50,9901,东风风行,4.89 - 15.18
138,竞瑞,9287,东风本田,0.00 - 0.00
139,众泰E200,9241,众泰新能源,0.00 - 0.00
140,知豆D2,9091,知豆电动车,0.00 - 0.00
141,骊威,8763,东风日产,0.00 - 0.00
142,传祺GA3,8747,广汽乘用车,0.00 - 0.00
143,V5菱致,8734,东南汽车,0.00 - 0.00
144,福瑞迪,8615,东风悦达起亚,7.88 - 10.28
145,天语 SX4,8577,长安铃木,0.00 - 0.00
146,江淮iEV,8513,江淮汽车,0.00 - 0.00
147,标致308s,8306,东风标致,0.00 - 0.00
148,东风风神H30,8214,东风乘用车,0.00 - 0.00
149,菲翔,7836,广汽菲克菲亚特,0.00 - 0.00
150,江南TT,7790,众泰汽车,0.00 - 0.00
151,赛拉图,7631,东风悦达起亚,0.00 - 0.00
152,宝马2系旅行车,7556,华晨宝马,0.00 - 0.00
153,熊猫,7377,吉利汽车,0.00 - 0.00
154,V3菱悦,7272,东南汽车,0.00 - 0.00
155,欧力威,7181,长安汽车,0.00 - 0.00
156,标致508,7004,东风标致,15.97 - 22.57
157,中华H230,6899,华晨中华,0.00 - 0.00
158,和悦,6804,江淮汽车,0.00 - 0.00
159,歌诗图,6130,广汽本田,0.00 - 0.00
160,利亚纳,5952,昌河铃木,0.00 - 0.00
161,传祺GA8,5854,广汽乘用车,15.68 - 22.68
162,众泰Z500新能源,5840,众泰新能源,11.39 - 12.59
163,捷豹XFL,5644,奇瑞捷豹路虎,37.58 - 57.88
164,荣威550,5587,上汽集团,0.00 - 0.00
165,力帆620,5404,力帆汽车,0.00 - 0.00
166,致悦,5213,广汽菲克菲亚特,0.00 - 0.00
167,荣威950,5104,上汽集团,0.00 - 0.00
168,雪铁龙C5,5042,东风雪铁龙,16.99 - 21.59
169,威志,5041,天津一汽,0.00 - 0.00
170,中华骏捷FRV,4987,华晨中华,0.00 - 0.00
171,红旗H7,4815,一汽红旗,25.28 - 31.78
172,东风风神A30,4538,东风乘用车,5.97 - 8.57
173,睿骋,4533,长安汽车,0.00 - 0.00
174,DS 5,4380,DS汽车,0.00 - 0.00
175,骏派A70,4336,天津一汽,0.00 - 0.00
176,比亚迪G5,4331,比亚迪,7.59 - 10.29
177,奔腾B70,4179,一汽奔腾,0.00 - 0.00
178,理念S1,4173,广汽理念,0.00 - 0.00
179,雪铁龙C6,4079,东风雪铁龙,18.99 - 27.59
180,中华H530,4014,华晨中华,8.58 - 13.98
181,江铃E200L,3962,江铃集团新能源,5.38 - 6.38
182,伊兰特,3841,北京现代,9.98 - 14.18
183,锐3,3753,东风裕隆,0.00 - 0.00
184,马自达3星骋,3709,长安马自达,0.00 - 0.00
185,和悦A30,3687,江淮汽车,0.00 - 0.00
186,传祺GA5,3498,广汽乘用车,0.00 - 0.00
187,芝麻,3471,众泰新能源,0.00 - 0.00
188,长城C50,3424,长城汽车,0.00 - 0.00
189,景逸,2944,东风风行,0.00 - 0.00
190,启辰R30,2751,东风启辰,0.00 - 0.00
191,众泰Z100,2682,众泰汽车,0.00 - 0.00
192,纳5,2666,东风裕隆,0.00 - 0.00
193,辉昂,2586,上汽大众,34.00 - 63.90
194,东风风神L60,2364,东风乘用车,0.00 - 0.00
195,力帆720,2308,力帆汽车,0.00 - 0.00
196,腾势,2287,腾势汽车,29.88 - 32.88
197,西玛,2279,东风日产,23.48 - 26.78
198,中华H220,2220,华晨中华,0.00 - 0.00
199,名爵6,2210,上汽名爵,9.38 - 14.28
200,晨风,1916,东风启辰,24.28 - 26.18
201,DS 4S,1739,DS汽车,0.00 - 0.00
202,荣威E50,1495,上汽集团,0.00 - 0.00
203,东风A9,1479,东风乘用车,0.00 - 0.00
204,翼神,1431,东南三菱,0.00 - 0.00
205,嘉年华,1413,长安福特,0.00 - 0.00
206,致胜,1302,长安福特,0.00 - 0.00
207,英伦TX4,1300,吉利汽车,0.00 - 0.00
208,海马王子,1276,一汽海马,0.00 - 0.00
209,艾瑞泽3,1245,奇瑞汽车,0.00 - 0.00
210,思铭,1176,东风本田,0.00 - 0.00
211,秀尔,1140,东风悦达起亚,0.00 - 0.00
212,绅宝D70,1134,BEIJING汽车,0.00 - 0.00
213,全球鹰K17,1063,康迪电动汽车集团,0.00 - 0.00
214,奇瑞QQ3,1060,奇瑞汽车,0.00 - 0.00
215,旗云2,1006,奇瑞汽车,0.00 - 0.00
216,全球鹰K11,1002,康迪电动汽车集团,15.28 - 18.18
217,力帆530,939,力帆汽车,0.00 - 0.00
218,东风风神S30,894,东风乘用车,0.00 - 0.00
219,奔腾B90,802,一汽奔腾,0.00 - 0.00
220,威志V2,792,天津一汽,0.00 - 0.00
221,夏利N7,775,天津一汽,0.00 - 0.00
222,比亚迪L3,746,比亚迪,0.00 - 0.00
223,起亚K3S,484,东风悦达起亚,0.00 - 0.00
224,蓝瑟,436,东南三菱,0.00 - 0.00
225,绅宝D60,418,BEIJING汽车,0.00 - 0.00
226,欧朗,413,一汽欧朗,0.00 - 0.00
227,三菱戈蓝,378,东南三菱,0.00 - 0.00
228,V6菱仕,364,东南汽车,0.00 - 0.00
229,丘比特,355,海马汽车,0.00 - 0.00
230,东风风神E30,324,东风乘用车,0.00 - 0.00
231,路盛E80,270,华泰汽车,0.00 - 0.00
232,悦悦,262,江淮汽车,0.00 - 0.00
233,中华骏捷FSV,261,华晨中华,0.00 - 0.00
234,自由舰,260,吉利汽车,0.00 - 0.00
235,睿翼,236,一汽马自达,0.00 - 0.00
236,绅宝CC,130,BEIJING汽车,0.00 - 0.00
237,中华骏捷,129,华晨中华,0.00 - 0.00
238,风迪思,98,东南三菱,0.00 - 0.00
239,名爵5,89,上汽名爵,6.79 - 10.49
240,玛驰,86,东风日产,5.98 - 8.75
241,长安CX30,72,长安汽车,0.00 - 0.00
242,中华豚,47,华晨中华,0.00 - 0.00
243,绅宝D80,37,BEIJING汽车,0.00 - 0.00
244,普锐斯,18,一汽丰田,0.00 - 0.00
245,力帆320,17,力帆汽车,0.00 - 0.00
246,力帆520,15,力帆汽车,0.00 - 0.00
247,吉利EC8,11,吉利汽车,0.00 - 0.00
248,E美,9,广汽吉奥,0.00 - 0.00
249,荣威750,9,上汽集团,0.00 - 0.00
250,爱唯欧,7,上汽通用雪佛兰,0.00 - 0.00
251,悦翔V5,7,长安汽车,0.00 - 0.00
252,景程,5,上汽通用雪佛兰,0.00 - 0.00
253,瑞麒G6,1,奇瑞瑞麒,0.00 - 0.00
