排名,车型,销量,厂商,售价(万元)
1,朗逸,517192,上汽大众,9.99 - 16.19
2,轩逸,462697,东风日产,9.98 - 14.30
3,卡罗拉,348840,一汽丰田,10.98 - 15.98
4,宝来,333528,一汽-大众,9.88 - 15.70
5,速腾,307323,一汽-大众,12.89 - 19.29
6,英朗,279280,上汽通用别克,11.99 - 12.59
7,桑塔纳,251174,上汽大众,8.69 - 11.59
8,思域,243966,东风本田,11.99 - 16.99
9,雅阁,223706,广汽本田,17.98 - 25.98
10,雷凌,213906,广汽丰田,11.38 - 15.28
11,帕萨特,193502,上汽大众,18.59 - 28.29
12,凯美瑞,185245,广汽丰田,17.98 - 27.98
13,帝豪,182514,吉利汽车,6.98 - 9.88
14,迈腾,169241,一汽-大众,18.69 - 30.99
15,奥迪A4L,167689,一汽-大众奥迪,30.58 - 39.68
16,宝马5系,163436,华晨宝马,42.69 - 54.99
17,奔驰C级,157390,北京奔驰,30.78 - 47.48
18,捷达,156913,一汽-大众,7.98 - 10.68
19,凌派,154053,广汽本田,9.98 - 16.98
20,奔驰E级,153881,北京奔驰,42.98 - 64.28
21,领动,140322,北京现代,10.98 - 14.68
22,奥迪A6L,129529,一汽-大众奥迪,40.98 - 65.38
23,荣威i5,128395,上汽集团,6.89 - 11.59
24,君威,123299,上汽通用别克,17.28 - 25.98
25,科鲁泽,118917,上汽通用雪佛兰,8.99 - 12.29
26,飞度,110380,广汽本田,7.38 - 10.88
27,宝马3系,109133,华晨宝马,29.39 - 40.99
28,高尔夫,101851,一汽-大众,12.98 - 18.02
29,科沃兹,101765,上汽通用雪佛兰,7.99 - 9.99
30,凌渡,101505,上汽大众,14.29 - 19.69
31,马自达3 昂克赛拉,98553,长安马自达,11.59 - 18.99
32,悦动,97893,北京现代,8.49 - 11.59
33,天籁,97872,东风日产,17.98 - 26.98
34,菲斯塔,95089,北京现代,11.98 - 15.48
35,北汽新能源EU,93636,北汽新能源,7.98 - 7.98
36,赛欧,90173,上汽通用雪佛兰,6.29 - 7.99
37,奥迪A3,84600,一汽-大众奥迪,19.32 - 26.85
38,绅宝D50,83844,BEIJING汽车,6.99 - 9.99
39,缤瑞,83548,吉利汽车,7.58 - 11.08
40,远景,79994,吉利汽车,4.99 - 7.39
41,焕驰,77301,东风悦达起亚,6.49 - 6.89
42,骐达TIIDA,76195,东风日产,9.99 - 13.59
43,YARiS L 致炫,74964,广汽丰田,7.78 - 10.38
44,帝豪GL,74775,吉利汽车,7.78 - 13.98
45,迈锐宝,74741,上汽通用雪佛兰,16.49 - 18.99
46,威朗,74183,上汽通用别克,15.29 - 18.29
47,Polo,73688,上汽大众,9.99 - 12.39
48,艾瑞泽GX,71614,奇瑞汽车,7.59 - 11.39
49,奔驰A级,69647,北京奔驰,21.18 - 29.98
50,启辰D60,69021,东风启辰,6.98 - 9.88
51,逸动,67511,长安汽车,7.29 - 10.39
52,蓝鸟,66655,东风日产,9.59 - 13.39
53,福睿斯,64086,长安福特,8.08 - 11.68
54,明锐,63471,上汽斯柯达,9.99 - 16.14
55,亚洲龙,60667,一汽丰田,19.98 - 28.98
56,宝骏E100,60050,上汽通用五菱,4.98 - 5.98
57,威驰,59329,一汽丰田,7.38 - 11.18
58,名爵6,58660,上汽名爵,9.38 - 14.28
59,INSPIRE,56266,东风本田,18.28 - 24.98
60,瑞纳,54797,北京现代,4.99 - 7.39
61,艾瑞泽5,52892,奇瑞汽车,4.99 - 8.58
62,领克03,52672,领克,11.38 - 24.88
63,YARiS L 致享,52215,广汽丰田,7.98 - 10.58
64,享域,51874,东风本田,9.98 - 16.69
65,福克斯,50155,长安福特,10.88 - 15.38
66,红旗H5,49889,一汽红旗,14.58 - 19.08
67,秦Pro,49772,比亚迪,7.98 - 11.59
68,昕锐,48083,上汽斯柯达,7.79 - 9.99
69,宝骏310,47124,上汽通用五菱,3.68 - 6.08
70,宝马1系,44947,华晨宝马,19.88 - 26.38
71,名图,44209,北京现代,13.38 - 16.98
72,凯迪拉克XTS,42234,通用凯迪拉克,0.00 - 0.00
73,阿特兹,42055,一汽马自达,17.58 - 24.78
74,沃尔沃S90,41692,沃尔沃亚太,37.29 - 50.59
75,君越,39938,上汽通用别克,21.98 - 28.98
76,悦纳,37549,北京现代,0.00 - 9.68
77,锋范,37099,广汽本田,0.00 - 0.00
78,起亚K3,32460,东风悦达起亚,10.88 - 13.18
79,逸动DT,32299,长安汽车,5.29 - 8.09
80,奇瑞eQ,32030,奇瑞新能源,15.99 - 17.19
81,Aion S,31929,广汽埃安,13.98 - 20.58
82,荣威i6,31900,上汽集团,8.98 - 13.98
83,传祺GA8,31506,广汽乘用车,15.68 - 22.68
84,帝豪新能源,29441,吉利新能源,13.58 - 15.98
85,比亚迪e5,29311,比亚迪,22.07 - 23.07
86,欧拉黑猫,28498,长城新能源,6.98 - 8.48
87,宝马5系新能源,27603,华晨宝马,49.99 - 53.69
88,沃兰多,26553,上汽通用雪佛兰,11.49 - 15.99
89,凯迪拉克ATS-L,26020,通用凯迪拉克,0.00 - 0.00
90,威驰FS,25032,一汽丰田,7.18 - 10.78
91,一汽-大众CC,23807,一汽-大众,24.68 - 30.18
92,速派,23737,上汽斯柯达,15.49 - 22.99
93,比亚迪F3,23626,比亚迪,4.49 - 5.08
94,逸动新能源,23148,长安汽车,12.99 - 13.99
95,凯迪拉克CT6,22638,通用凯迪拉克,37.97 - 48.97
96,睿骋CC,21875,长安汽车,0.00 - 0.00
97,爱丽舍,20577,东风雪铁龙,8.38 - 10.28
98,帕萨特新能源,20559,上汽大众,24.39 - 25.39
99,KX CROSS,19982,东风悦达起亚,8.69 - 9.09
100,江淮iEV6E,18383,江淮汽车,5.95 - 7.55
101,沃尔沃S60,17362,沃尔沃亚太,28.69 - 38.09
102,奇瑞QQ,16791,奇瑞汽车,3.79 - 5.09
103,新宝骏RC-6,16717,上汽通用五菱,8.48 - 12.38
104,蒙迪欧,16320,长安福特,19.28 - 27.98
105,悦翔,16278,长安汽车,4.99 - 6.79
106,名爵3,15565,上汽名爵,0.00 - 0.00
107,杰德,15409,东风本田,0.00 - 0.00
108,东风风神E70,14972,东风乘用车,13.58 - 15.98
109,传祺GA6,14950,广汽乘用车,10.88 - 16.88
110,博瑞GE,14915,吉利汽车,13.68 - 17.98
111,北汽新能源EC,14208,北汽新能源,5.58 - 5.58
112,辉昂,14019,上汽大众,34.00 - 63.90
113,西玛,13996,东风日产,23.48 - 26.78
114,荣威i6新能源,12930,上汽集团,14.78 - 20.18
115,启悦,12853,长安铃木,7.89 - 10.99
116,几何A,12662,几何汽车,15.00 - 19.00
117,奇瑞E3,12271,奇瑞汽车,0.00 - 0.00
118,奔腾B30EV,11970,一汽奔腾,18.98 - 18.98
119,高尔夫·嘉旅,11785,一汽-大众,12.88 - 19.28
