排名,车型,销量,厂商,售价(万元)
1,轩逸,475696,东风日产,9.98 - 14.30
2,朗逸,468792,上汽大众,9.99 - 16.19
3,卡罗拉,376077,一汽丰田,10.98 - 15.98
4,捷达,327686,一汽-大众,7.98 - 10.68
5,速腾,309902,一汽-大众,12.89 - 19.29
6,桑塔纳,266784,上汽大众,8.69 - 11.59
7,英朗,261920,上汽通用别克,11.99 - 12.59
8,科沃兹,252108,上汽通用雪佛兰,7.99 - 9.99
9,宝来,245818,一汽-大众,9.88 - 15.70
10,迈腾,228990,一汽-大众,18.69 - 30.99
11,帝豪,219792,吉利汽车,6.98 - 9.88
12,思域,218132,东风本田,11.99 - 16.99
13,领动,217711,北京现代,10.98 - 14.68
14,威朗,196232,上汽通用别克,15.29 - 18.29
15,雷凌,192697,广汽丰田,11.38 - 15.28
16,帕萨特,177551,上汽大众,18.59 - 28.29
17,雅阁,176770,广汽本田,17.98 - 25.98
18,凯美瑞,171029,广汽丰田,17.98 - 27.98
19,奥迪A4L,168165,一汽-大众奥迪,30.58 - 39.68
20,奔驰C级,156566,北京奔驰,30.78 - 47.48
21,奥迪A6L,153273,一汽-大众奥迪,40.98 - 65.38
22,宝骏310,151685,上汽通用五菱,3.68 - 6.08
23,福睿斯,150360,长安福特,8.08 - 11.68
24,帝豪GL,148531,吉利汽车,7.78 - 13.98
25,奔驰E级,146032,北京奔驰,42.98 - 64.28
26,宝马5系,144852,华晨宝马,42.69 - 54.99
27,远景,143851,吉利汽车,4.99 - 7.39
28,Polo,140442,上汽大众,9.99 - 12.39
29,高尔夫,139813,一汽-大众,12.98 - 18.02
30,迈锐宝,138502,上汽通用雪佛兰,16.49 - 18.99
31,宝马3系,134893,华晨宝马,29.39 - 40.99
32,凌渡,134746,上汽大众,14.29 - 19.69
33,飞度,129179,广汽本田,7.38 - 10.88
34,马自达3 昂克赛拉,118128,长安马自达,11.59 - 18.99
35,凌派,113107,广汽本田,9.98 - 16.98
36,天籁,112694,东风日产,17.98 - 26.98
37,明锐,103401,上汽斯柯达,9.99 - 16.14
38,名图,102678,北京现代,13.38 - 16.98
39,艾瑞泽5,101485,奇瑞汽车,4.99 - 8.58
40,君威,100378,上汽通用别克,17.28 - 25.98
41,北汽新能源EC,95837,北汽新能源,5.58 - 5.58
42,逸动,85261,长安汽车,7.29 - 10.39
43,名爵6,83695,上汽名爵,9.38 - 14.28
44,奥迪A3,82677,一汽-大众奥迪,19.32 - 26.85
45,起亚K3,77920,东风悦达起亚,10.88 - 13.18
46,悦动,75646,北京现代,8.49 - 11.59
47,君越,69709,上汽通用别克,21.98 - 28.98
48,荣威i6,68918,上汽集团,8.98 - 13.98
49,福克斯,66428,长安福特,10.88 - 15.38
