排名,车型,销量,厂商,售价(万元)
1,福克斯,393864,长安福特,10.88 - 15.38
2,朗逸,371962,上汽大众,9.99 - 16.19
3,速腾,300082,一汽-大众,12.89 - 19.29
4,轩逸,300058,东风日产,9.98 - 14.30
5,捷达,296960,一汽-大众,7.98 - 10.68
6,凯越,293098,上汽通用别克,8.39 - 9.99
7,桑塔纳,285293,上汽大众,8.69 - 11.59
8,科鲁兹,266098,上汽通用雪佛兰,0.00 - 0.00
9,赛欧,253304,上汽通用雪佛兰,6.29 - 7.99
10,朗动,252338,北京现代,11.58 - 12.78
11,英朗,246305,上汽通用别克,11.99 - 12.59
12,瑞纳,236024,北京现代,4.99 - 7.39
13,宝来,222663,一汽-大众,9.88 - 15.70
14,帕萨特,218343,上汽大众,18.59 - 28.29
15,迈腾,207243,一汽-大众,18.69 - 30.99
16,江南TT,201065,众泰汽车,0.00 - 0.00
17,高尔夫,193047,一汽-大众,12.98 - 18.02
18,宝马3系,185107,华晨宝马,29.39 - 40.99
19,卡罗拉,171486,一汽丰田,10.98 - 15.98
20,奥迪A6L,166463,一汽-大众奥迪,40.98 - 65.38
21,Polo,157759,上汽大众,9.99 - 12.39
22,凌派,157220,广汽本田,9.98 - 16.98
23,起亚K2,155331,东风悦达起亚,7.29 - 10.39
24,起亚K3,154978,东风悦达起亚,10.88 - 13.18
25,逸动,154885,长安汽车,7.29 - 10.39
26,凯美瑞,150313,广汽丰田,17.98 - 27.98
27,宝马5系,138481,华晨宝马,42.69 - 54.99
28,名图,134997,北京现代,13.38 - 16.98
29,悦动,132363,北京现代,8.49 - 11.59
30,威驰,127827,一汽丰田,7.38 - 11.18
31,爱丽舍,126479,东风雪铁龙,8.38 - 10.28
32,明锐,126148,上汽斯柯达,9.99 - 16.14
33,迈锐宝,125547,上汽通用雪佛兰,16.49 - 18.99
34,奥迪A4L,120193,一汽-大众奥迪,30.58 - 39.68
35,景逸,115669,东风风行,0.00 - 0.00
36,朗行,114840,上汽大众,11.29 - 16.29
37,君威,111245,上汽通用别克,17.28 - 25.98
38,比亚迪F3,110293,比亚迪,4.49 - 5.08
39,蒙迪欧,109806,长安福特,19.28 - 27.98
40,天籁,109290,东风日产,17.98 - 26.98
41,雅阁,108489,广汽本田,17.98 - 25.98
42,帝豪,100696,吉利汽车,6.98 - 9.88
43,荣威350,99779,上汽集团,0.00 - 0.00
44,标致308,94466,东风标致,8.97 - 13.07
45,世嘉,92517,东风雪铁龙,0.00 - 0.00
46,骐达TIIDA,92465,东风日产,9.99 - 13.59
47,花冠,85835,一汽丰田,0.00 - 0.00
48,飞度,84702,广汽本田,7.38 - 10.88
49,君越,83858,上汽通用别克,21.98 - 28.98
50,金刚,78890,吉利汽车,0.00 - 0.00
51,昕锐,78256,上汽斯柯达,7.79 - 9.99
52,奔腾B50,73391,一汽奔腾,12.68 - 15.28
53,YARiS L 致炫,73298,广汽丰田,7.78 - 10.38
54,速锐,73269,比亚迪,0.00 - 0.00
55,标致301,70753,东风标致,8.47 - 10.77
56,阳光,69372,东风日产,0.00 - 0.00
57,福瑞迪,65943,东风悦达起亚,7.88 - 10.28
58,雪铁龙C4L,65896,东风雪铁龙,10.69 - 14.19
59,北斗星,64673,昌河铃木,4.20 - 4.40
60,标致408,63921,东风标致,11.77 - 16.97
61,杰德,63210,东风本田,0.00 - 0.00
62,嘉年华,62519,长安福特,0.00 - 0.00
63,奇瑞E3,60026,奇瑞汽车,0.00 - 0.00
64,启辰R50,59777,东风启辰,0.00 - 0.00
65,骊威,57448,东风日产,0.00 - 0.00
66,K5凯酷,55474,东风悦达起亚,16.18 - 20.58
67,福美来,54969,一汽海马,6.88 - 9.28
68,索纳塔八,54946,北京现代,0.00 - 0.00
69,比亚迪L3,54531,比亚迪,0.00 - 0.00
70,夏利,53848,天津一汽,0.00 - 0.00
71,奔驰E级,53544,北京奔驰,42.98 - 64.28
72,长城C30,52946,长城汽车,0.00 - 0.00
73,瑞麒M1,52474,奇瑞瑞麒,0.00 - 0.00
74,奔奔MINI,52002,长安汽车,0.00 - 0.00
75,思域,51869,东风本田,11.99 - 16.99
76,奥拓,51818,长安铃木,4.18 - 6.19
77,伊兰特,50019,北京现代,9.98 - 14.18
78,力帆X60,50010,力帆汽车,0.00 - 0.00
79,海马M3,49313,海马汽车,0.00 - 0.00
80,雷凌,49112,广汽丰田,11.38 - 15.28
81,奇瑞QQ3,48194,奇瑞汽车,0.00 - 0.00
82,一汽-大众CC,47892,一汽-大众,24.68 - 30.18
83,菲翔,47651,广汽菲克菲亚特,0.00 - 0.00
84,阿特兹,47518,一汽马自达,17.58 - 24.78
85,中华H330,47258,华晨中华,0.00 - 0.00
86,欧力威,46002,长安汽车,0.00 - 0.00
87,锋范,45393,广汽本田,0.00 - 0.00
88,乐驰,43448,上汽通用五菱,0.00 - 0.00
89,绅宝D50,42622,BEIJING汽车,6.99 - 9.99
90,长安CX20,42493,长安汽车,0.00 - 0.00
91,众泰Z360,41232,众泰汽车,0.00 - 0.00
92,锐志,40782,一汽丰田,0.00 - 0.00
93,凯迪拉克XTS,39922,通用凯迪拉克,0.00 - 0.00
94,启辰D50,39468,东风启辰,0.00 - 0.00
95,马自达3 昂克赛拉,38988,长安马自达,11.59 - 18.99
96,比亚迪F0,38179,比亚迪,3.79 - 4.79
97,宝骏630,37222,上汽通用五菱,0.00 - 0.00
98,传祺GA3,37065,广汽乘用车,0.00 - 0.00
99,长城C50,36729,长城汽车,0.00 - 0.00
100,奔驰C级,35468,北京奔驰,30.78 - 47.48
101,雨燕,35068,长安铃木,0.00 - 0.00
102,风云2,34293,奇瑞汽车,0.00 - 0.00
103,雪铁龙C5,33872,东风雪铁龙,16.99 - 21.59
104,远景,33758,吉利汽车,4.99 - 7.39
105,V3菱悦,33367,东南汽车,0.00 - 0.00
106,奥迪A3,32034,一汽-大众奥迪,19.32 - 26.85
107,利亚纳,31816,昌河铃木,0.00 - 0.00
108,熊猫,30974,吉利汽车,0.00 - 0.00
109,爱唯欧,29912,上汽通用雪佛兰,0.00 - 0.00
110,奔腾B70,29287,一汽奔腾,0.00 - 0.00
111,和悦,28435,江淮汽车,0.00 - 0.00
112,速派,28151,上汽斯柯达,15.49 - 22.99
113,名爵3,28047,上汽名爵,0.00 - 0.00
114,起亚K4,26700,东风悦达起亚,12.88 - 18.88
115,莲花L3,26502,莲花汽车,0.00 - 0.00
116,海景,26281,吉利汽车,0.00 - 0.00
117,东风风神S30,25590,东风乘用车,0.00 - 0.00
118,莲花L5,25456,莲花汽车,0.00 - 0.00
119,标致508,24679,东风标致,15.97 - 22.57
120,东风风神A60,23192,东风乘用车,6.97 - 15.47
121,艾瑞泽7,22620,奇瑞汽车,0.00 - 0.00
122,歌诗图,22325,广汽本田,0.00 - 0.00
123,天语 SX4,21115,长安铃木,0.00 - 0.00
124,起亚K3S,20735,东风悦达起亚,0.00 - 0.00
125,致悦,20439,广汽菲克菲亚特,0.00 - 0.00
126,悦翔V7,20339,长安汽车,0.00 - 0.00
127,力帆620,19538,力帆汽车,0.00 - 0.00
128,众泰Z100,19502,众泰汽车,0.00 - 0.00
129,晶锐,19465,上汽斯柯达,0.00 - 0.00
130,名爵6,18810,上汽名爵,9.38 - 14.28
131,中华骏捷FSV,18736,华晨中华,0.00 - 0.00
132,昕动,18222,上汽斯柯达,7.79 - 10.99
133,自由舰,18219,吉利汽车,0.00 - 0.00
134,荣威550,18048,上汽集团,0.00 - 0.00
135,赛拉图,17615,东风悦达起亚,0.00 - 0.00
136,V5菱致,17306,东南汽车,0.00 - 0.00
