排名,车型,销量,厂商,售价(万元)
1,乐驰,542381,上汽通用五菱,0.00 - 0.00
2,福克斯,403640,长安福特,10.88 - 15.38
3,朗逸,374056,上汽大众,9.99 - 16.19
4,凯越,296183,上汽通用别克,8.39 - 9.99
5,赛欧,276242,上汽通用雪佛兰,6.29 - 7.99
6,速腾,271188,一汽-大众,12.89 - 19.29
7,捷达,263408,一汽-大众,7.98 - 10.68
8,轩逸,259545,东风日产,9.98 - 14.30
9,科鲁兹,246890,上汽通用雪佛兰,0.00 - 0.00
10,宝来,237156,一汽-大众,9.88 - 15.70
11,帕萨特,227240,上汽大众,18.59 - 28.29
12,朗动,206348,北京现代,11.58 - 12.78
13,英朗,204274,上汽通用别克,11.99 - 12.59
14,瑞纳,198667,北京现代,4.99 - 7.39
15,迈腾,187172,一汽-大众,18.69 - 30.99
16,凯美瑞,182581,广汽丰田,17.98 - 27.98
17,桑塔纳,177528,上汽大众,8.69 - 11.59
18,宝马3系,172739,华晨宝马,29.39 - 40.99
19,悦动,171547,北京现代,8.49 - 11.59
20,Polo,154221,上汽大众,9.99 - 12.39
21,奥迪A6L,148130,一汽-大众奥迪,40.98 - 65.38
22,花冠,147921,一汽丰田,0.00 - 0.00
23,卡罗拉,146480,一汽丰田,10.98 - 15.98
24,起亚K2,143682,东风悦达起亚,7.29 - 10.39
25,起亚K3,135666,东风悦达起亚,10.88 - 13.18
26,骐达TIIDA,129329,东风日产,9.99 - 13.59
27,长城C30,126036,长城汽车,0.00 - 0.00
28,宝马5系,123852,华晨宝马,42.69 - 54.99
29,速锐,123643,比亚迪,0.00 - 0.00
30,奥迪A4L,121804,一汽-大众奥迪,30.58 - 39.68
31,明锐,120246,上汽斯柯达,9.99 - 16.14
32,雅阁,119911,广汽本田,17.98 - 25.98
33,奇瑞QQ3,116932,奇瑞汽车,0.00 - 0.00
34,瑞麒M1,114506,奇瑞瑞麒,0.00 - 0.00
35,阳光,112963,东风日产,0.00 - 0.00
36,荣威350,110337,上汽集团,0.00 - 0.00
37,天籁,106220,东风日产,17.98 - 26.98
38,索纳塔八,104670,北京现代,0.00 - 0.00
39,高尔夫,101802,一汽-大众,12.98 - 18.02
40,世嘉,101550,东风雪铁龙,0.00 - 0.00
41,夏利,101071,天津一汽,0.00 - 0.00
42,迈锐宝,100141,上汽通用雪佛兰,16.49 - 18.99
43,比亚迪L3,99450,比亚迪,0.00 - 0.00
44,锋范,95312,广汽本田,0.00 - 0.00
45,阿特兹,93392,一汽马自达,17.58 - 24.78
46,凌派,91593,广汽本田,9.98 - 16.98
47,逸动,90778,长安汽车,7.29 - 10.39
48,君越,89279,上汽通用别克,21.98 - 28.98
49,君威,86050,上汽通用别克,17.28 - 25.98
50,比亚迪F3,83175,比亚迪,4.49 - 5.08
51,标致308,81634,东风标致,8.97 - 13.07
52,和悦,78267,江淮汽车,0.00 - 0.00
53,北斗星,71735,昌河铃木,4.20 - 4.40
54,景逸,70077,东风风行,0.00 - 0.00
55,思域,68942,东风本田,11.99 - 16.99
56,骊威,68629,东风日产,0.00 - 0.00
57,宝骏630,68200,上汽通用五菱,0.00 - 0.00
58,长城C50,65611,长城汽车,0.00 - 0.00
59,锐志,64553,一汽丰田,0.00 - 0.00
60,奔腾B50,63469,一汽奔腾,12.68 - 15.28
61,朗行,59814,上汽大众,11.29 - 16.29
62,众泰Z360,58323,众泰汽车,0.00 - 0.00
63,奥拓,57814,长安铃木,4.18 - 6.19
64,雪铁龙C4L,57185,东风雪铁龙,10.69 - 14.19
65,K5凯酷,56377,东风悦达起亚,16.18 - 20.58
66,江南TT,55847,众泰汽车,0.00 - 0.00
67,风云2,55558,奇瑞汽车,0.00 - 0.00
68,标致408,55283,东风标致,11.77 - 16.97
69,菲翔,55108,广汽菲克菲亚特,0.00 - 0.00
70,启辰R50,53694,东风启辰,0.00 - 0.00
71,比亚迪F0,52565,比亚迪,3.79 - 4.79
72,V3菱悦,52439,东南汽车,0.00 - 0.00
73,启辰D50,51731,东风启辰,0.00 - 0.00
74,奔奔MINI,51463,长安汽车,0.00 - 0.00
75,中华H230,51134,华晨中华,0.00 - 0.00
76,嘉年华,49083,长安福特,0.00 - 0.00
77,奇瑞E5,48180,奇瑞汽车,0.00 - 0.00
78,名爵3,47821,上汽名爵,0.00 - 0.00
79,歌诗图,47064,广汽本田,0.00 - 0.00
80,海景,46951,吉利汽车,0.00 - 0.00
81,金刚,46586,吉利汽车,0.00 - 0.00
82,马自达3星骋,43336,长安马自达,0.00 - 0.00
83,海马M3,43186,海马汽车,0.00 - 0.00
84,一汽-大众CC,41161,一汽-大众,24.68 - 30.18
85,力帆620,40944,力帆汽车,0.00 - 0.00
86,飞度,40749,广汽本田,7.38 - 10.88
87,奔驰E级,39624,北京奔驰,42.98 - 64.28
88,雪铁龙C5,39021,东风雪铁龙,16.99 - 21.59
89,福瑞迪,38004,东风悦达起亚,7.88 - 10.28
90,自由舰,37852,吉利汽车,0.00 - 0.00
91,远景,37824,吉利汽车,4.99 - 7.39
92,奔驰C级,36707,北京奔驰,30.78 - 47.48
93,昕锐,36052,上汽斯柯达,7.79 - 9.99
94,蒙迪欧,35747,长安福特,19.28 - 27.98
95,莲花L3,35525,莲花汽车,0.00 - 0.00
96,爱唯欧,35509,上汽通用雪佛兰,0.00 - 0.00
97,力帆X60,35303,力帆汽车,0.00 - 0.00
98,熊猫,35079,吉利汽车,0.00 - 0.00
99,伊兰特,34354,北京现代,9.98 - 14.18
100,致胜,34293,长安福特,0.00 - 0.00
101,吉利GC7,34215,吉利汽车,0.00 - 0.00
102,V5菱致,33692,东南汽车,0.00 - 0.00
103,晶锐,33554,上汽斯柯达,0.00 - 0.00
104,天语 SX4,33244,长安铃木,0.00 - 0.00
105,长安CX20,32973,长安汽车,0.00 - 0.00
106,福美来,32685,一汽海马,6.88 - 9.28
107,中华骏捷FSV,30980,华晨中华,0.00 - 0.00
108,奇瑞E3,30921,奇瑞汽车,0.00 - 0.00
109,雨燕,30533,长安铃木,0.00 - 0.00
110,力帆320,29240,力帆汽车,0.00 - 0.00
111,东风风神A60,28657,东风乘用车,6.97 - 15.47
112,威驰,28616,一汽丰田,7.38 - 11.18
113,莲花L5,28446,莲花汽车,0.00 - 0.00
114,杰德,27436,东风本田,0.00 - 0.00
115,东风风神S30,27134,东风乘用车,0.00 - 0.00
116,爱丽舍,27012,东风雪铁龙,8.38 - 10.28
117,标致508,26641,东风标致,15.97 - 22.57
118,比亚迪G6,25556,比亚迪,0.00 - 0.00
119,威志,25495,天津一汽,0.00 - 0.00
120,赛拉图,24720,东风悦达起亚,0.00 - 0.00
121,中华H330,24690,华晨中华,0.00 - 0.00
122,羚羊,24290,长安铃木,0.00 - 0.00
123,荣威550,24019,上汽集团,0.00 - 0.00
124,皇冠,23315,一汽丰田,25.08 - 37.48
125,旗云2,22539,奇瑞汽车,0.00 - 0.00
126,欧力威,22181,长安汽车,0.00 - 0.00
127,睿翼,21850,一汽马自达,0.00 - 0.00
