排名,车型,销量,厂商,售价(万元)
1,朗逸,381094,上汽大众,9.99 - 16.19
2,轩逸,334087,东风日产,9.98 - 14.30
3,英朗,290213,上汽通用别克,11.99 - 12.59
4,速腾,279892,一汽-大众,12.89 - 19.29
5,捷达,274932,一汽-大众,7.98 - 10.68
6,朗动,267085,北京现代,11.58 - 12.78
7,桑塔纳,255966,上汽大众,8.69 - 11.59
8,卡罗拉,254301,一汽丰田,10.98 - 15.98
9,科鲁兹,250172,上汽通用雪佛兰,0.00 - 0.00
10,福克斯,240788,长安福特,10.88 - 15.38
11,赛欧,216732,上汽通用雪佛兰,6.29 - 7.99
12,福睿斯,214362,长安福特,8.08 - 11.68
13,瑞纳,213678,北京现代,4.99 - 7.39
14,帝豪,206226,吉利汽车,6.98 - 9.88
15,帕萨特,205794,上汽大众,18.59 - 28.29
16,宝来,204275,一汽-大众,9.88 - 15.70
17,高尔夫,193612,一汽-大众,12.98 - 18.02
18,逸动,182332,长安汽车,7.29 - 10.39
19,凯越,176242,上汽通用别克,8.39 - 9.99
20,江南TT,170904,众泰汽车,0.00 - 0.00
21,Polo,167185,上汽大众,9.99 - 12.39
22,起亚K2,164114,东风悦达起亚,7.29 - 10.39
23,明锐,161518,上汽斯柯达,9.99 - 16.14
24,迈腾,155507,一汽-大众,18.69 - 30.99
25,名图,154597,北京现代,13.38 - 16.98
26,奥迪A6L,149308,一汽-大众奥迪,40.98 - 65.38
27,宝马5系,147202,华晨宝马,42.69 - 54.99
28,起亚K3,147157,东风悦达起亚,10.88 - 13.18
29,比亚迪F3,141929,比亚迪,4.49 - 5.08
30,雅阁,128122,广汽本田,17.98 - 25.98
31,凯美瑞,128046,广汽丰田,17.98 - 27.98
32,雷凌,125699,广汽丰田,11.38 - 15.28
33,悦翔V7,123712,长安汽车,0.00 - 0.00
34,远景,121969,吉利汽车,4.99 - 7.39
35,蒙迪欧,120202,长安福特,19.28 - 27.98
36,凌派,116759,广汽本田,9.98 - 16.98
37,奥迪A4L,115148,一汽-大众奥迪,30.58 - 39.68
38,威驰,114467,一汽丰田,7.38 - 11.18
39,天籁,111774,东风日产,17.98 - 26.98
40,君威,110637,上汽通用别克,17.28 - 25.98
41,标致408,107088,东风标致,11.77 - 16.97
42,凌渡,104214,上汽大众,14.29 - 19.69
43,宝马3系,102811,华晨宝马,29.39 - 40.99
44,马自达3 昂克赛拉,97608,长安马自达,11.59 - 18.99
45,飞度,95974,广汽本田,7.38 - 10.88
46,朗行,93763,上汽大众,11.29 - 16.29
47,爱丽舍,93655,东风雪铁龙,8.38 - 10.28
48,阳光,90582,东风日产,0.00 - 0.00
49,标致308,87359,东风标致,8.97 - 13.07
50,奔驰C级,85080,北京奔驰,30.78 - 47.48
51,君越,85005,上汽通用别克,21.98 - 28.98
52,迈锐宝,80222,上汽通用雪佛兰,16.49 - 18.99
53,索纳塔八,69214,北京现代,0.00 - 0.00
54,标致301,67970,东风标致,8.47 - 10.77
55,世嘉,67589,东风雪铁龙,0.00 - 0.00
56,YARiS L 致炫,64724,广汽丰田,7.78 - 10.38
57,奥迪A3,64353,一汽-大众奥迪,19.32 - 26.85
58,起亚K4,62147,东风悦达起亚,12.88 - 18.88
59,奔腾B50,61370,一汽奔腾,12.68 - 15.28
60,速锐,60481,比亚迪,0.00 - 0.00
61,奔驰E级,60102,北京奔驰,42.98 - 64.28
62,绅宝D50,58800,BEIJING汽车,6.99 - 9.99
63,风云2,58407,奇瑞汽车,0.00 - 0.00
64,昕锐,57568,上汽斯柯达,7.79 - 9.99
65,金刚,57387,吉利汽车,0.00 - 0.00
66,凯迪拉克XTS,53086,通用凯迪拉克,0.00 - 0.00
67,杰德,52636,东风本田,0.00 - 0.00
68,荣威350,52391,上汽集团,0.00 - 0.00
69,骐达TIIDA,52198,东风日产,9.99 - 13.59
70,锋范,50302,广汽本田,0.00 - 0.00
71,福美来,49422,一汽海马,6.88 - 9.28
72,威朗,49336,上汽通用别克,15.29 - 18.29
73,花冠,46340,一汽丰田,0.00 - 0.00
74,奔奔MINI,44391,长安汽车,0.00 - 0.00
75,悦动,42721,北京现代,8.49 - 11.59
76,阿特兹,42141,一汽马自达,17.58 - 24.78
77,雪铁龙C4L,41209,东风雪铁龙,10.69 - 14.19
78,中华H330,40828,华晨中华,0.00 - 0.00
79,奔腾B70,40782,一汽奔腾,0.00 - 0.00
80,北斗星,38398,昌河铃木,4.20 - 4.40
81,K5凯酷,38316,东风悦达起亚,16.18 - 20.58
82,奇瑞E3,37745,奇瑞汽车,0.00 - 0.00
83,欧力威,37522,长安汽车,0.00 - 0.00
84,长安CX20,37178,长安汽车,0.00 - 0.00
85,长城C30,34005,长城汽车,0.00 - 0.00
86,思域,32686,东风本田,11.99 - 16.99
87,博瑞,32562,吉利汽车,13.68 - 17.98
88,景逸,32034,东风风行,0.00 - 0.00
89,海马M3,31994,海马汽车,0.00 - 0.00
90,一汽-大众CC,31970,一汽-大众,24.68 - 30.18
91,启辰R50,29292,东风启辰,0.00 - 0.00
92,力帆X60,28226,力帆汽车,0.00 - 0.00
93,蓝鸟,27844,东风日产,9.59 - 13.39
94,皇冠,26017,一汽丰田,25.08 - 37.48
95,V3菱悦,25848,东南汽车,0.00 - 0.00
96,英菲尼迪Q50L,25467,东风英菲尼迪,26.48 - 38.98
97,绅宝D20,25198,BEIJING汽车,0.00 - 0.00
98,奥拓,25049,长安铃木,4.18 - 6.19
99,宝骏630,24646,上汽通用五菱,0.00 - 0.00
100,福瑞迪,24641,东风悦达起亚,7.88 - 10.28
101,熊猫,24586,吉利汽车,0.00 - 0.00
102,锐志,23689,一汽丰田,0.00 - 0.00
103,骊威,23674,东风日产,0.00 - 0.00
104,凯翼C3,23448,凯翼汽车,0.00 - 0.00
105,思铂睿,22955,东风本田,17.99 - 26.79
106,艾瑞泽7,22593,奇瑞汽车,0.00 - 0.00
107,雨燕,21860,长安铃木,0.00 - 0.00
108,雪铁龙C5,21699,东风雪铁龙,16.99 - 21.59
109,传祺GA3,21428,广汽乘用车,0.00 - 0.00
110,菲翔,21399,广汽菲克菲亚特,0.00 - 0.00
