排名,车型,销量,厂商,售价(万元)
1,五菱宏光,534380,上汽通用五菱,4.28 - 6.98
2,哈弗H6,506362,长城汽车,9.80 - 15.49
3,朗逸,457114,上汽大众,9.99 - 16.19
4,英朗,416990,上汽通用别克,11.99 - 12.59
5,轩逸,405854,东风日产,9.98 - 14.30
6,宝骏510,363949,上汽通用五菱,5.08 - 8.08
7,传祺GS4,337330,广汽乘用车,8.98 - 15.18
8,卡罗拉,333488,一汽丰田,10.98 - 15.98
9,速腾,332733,一汽-大众,12.89 - 19.29
10,捷达,325979,一汽-大众,7.98 - 10.68
11,福睿斯,291773,长安福特,8.08 - 11.68
12,博越,286757,吉利汽车,8.88 - 15.68
13,宝骏730,270797,上汽通用五菱,6.08 - 10.88
14,桑塔纳,257627,上汽大众,8.69 - 11.59
15,宝来,250385,一汽-大众,9.88 - 15.70
16,帝豪,240843,吉利汽车,6.98 - 9.88
17,长安CS75,240095,长安汽车,10.39 - 11.99
18,荣威RX5,236766,上汽集团,9.98 - 13.98
19,昂科威,233160,上汽通用别克,18.99 - 27.99
20,哈弗H2,215100,长城汽车,7.59 - 9.59
21,迈腾,211074,一汽-大众,18.69 - 30.99
22,科沃兹,188319,上汽通用雪佛兰,7.99 - 9.99
23,威朗,186438,上汽通用别克,15.29 - 18.29
24,奇骏,184711,东风日产,18.88 - 27.33
25,本田CR-V,183842,东风本田,16.98 - 27.68
26,途观L,183133,上汽大众,21.58 - 31.18
27,风光580,176309,东风小康,7.99 - 12.30
28,Polo,174415,上汽大众,9.99 - 12.39
29,福克斯,173457,长安福特,10.88 - 15.38
30,雷凌,172626,广汽丰田,11.38 - 15.28
31,思域,172482,东风本田,11.99 - 16.99
32,五菱荣光V,172356,上汽通用五菱,3.98 - 4.98
33,本田XR-V,161352,东风本田,12.79 - 17.59
34,宝骏310,160993,上汽通用五菱,3.68 - 6.08
35,帕萨特,159547,上汽大众,18.59 - 28.29
36,雅阁,155027,广汽本田,17.98 - 25.98
37,高尔夫,153809,一汽-大众,12.98 - 18.02
38,逍客,152637,东风日产,15.49 - 18.89
39,长安CS35,151622,长安汽车,6.39 - 8.79
40,帝豪GS,151026,吉利汽车,7.78 - 11.68
41,宝骏560,150055,上汽通用五菱,6.98 - 11.78
42,别克GL8,146078,上汽通用别克,23.29 - 52.99
43,凌渡,142734,上汽大众,14.29 - 19.69
44,缤智,142627,广汽本田,12.78 - 17.68
45,马自达3 昂克赛拉,142498,长安马自达,11.59 - 18.99
46,奥迪A6L,141788,一汽-大众奥迪,40.98 - 65.38
47,远景,141724,吉利汽车,4.99 - 7.39
48,起亚K3,138355,东风悦达起亚,10.88 - 13.18
49,途胜,136495,北京现代,16.99 - 21.99
50,艾瑞泽5,136341,奇瑞汽车,4.99 - 8.58
51,奔驰C级,128331,北京奔驰,30.78 - 47.48
52,RAV4荣放,127245,一汽丰田,17.48 - 25.88
53,远景X6,125455,吉利汽车,6.89 - 9.99
54,明锐,125089,上汽斯柯达,9.99 - 16.14
55,比亚迪F3,124003,比亚迪,4.49 - 5.08
56,迈锐宝,123890,上汽通用雪佛兰,16.49 - 18.99
57,宝马3系,123692,华晨宝马,29.39 - 40.99
58,奥迪Q5,123494,一汽-大众奥迪,0.00 - 0.00
59,名图,123320,北京现代,13.38 - 16.98
60,宝马5系,120985,华晨宝马,42.69 - 54.99
61,帝豪GL,120710,吉利汽车,7.78 - 13.98
62,领动,119489,北京现代,10.98 - 14.68
63,朗动,118048,北京现代,11.58 - 12.78
64,奥迪A4L,117868,一汽-大众奥迪,30.58 - 39.68
65,途观,115665,上汽大众,0.00 - 0.00
66,天籁,113857,东风日产,17.98 - 26.98
67,奔驰E级,112513,北京奔驰,42.98 - 64.28
68,蒙迪欧,112158,长安福特,19.28 - 27.98
69,飞度,111634,广汽本田,7.38 - 10.88
70,奔驰GLC,110500,北京奔驰,39.48 - 58.78
71,锐界,106956,长安福特,22.98 - 38.98
72,东南DX3,103366,东南汽车,0.00 - 10.59
73,传祺GS8,102214,广汽乘用车,15.58 - 26.28
74,君越,100873,上汽通用别克,21.98 - 28.98
75,汉兰达,99996,广汽丰田,23.98 - 32.58
