排名,车型,销量,厂商,售价(万元)
1,轩逸,538680,东风日产,9.98 - 14.30
2,朗逸,417328,上汽大众,9.99 - 16.19
3,哈弗H6,377240,长城汽车,9.80 - 15.49
4,卡罗拉,343417,一汽丰田,10.98 - 15.98
5,宝来,326341,一汽-大众,9.88 - 15.70
6,速腾,299839,一汽-大众,12.89 - 19.29
7,英朗,295865,上汽通用别克,11.99 - 12.59
8,五菱宏光,261914,上汽通用五菱,4.28 - 6.98
9,本田CR-V,254478,东风本田,16.98 - 27.68
10,博越,240811,吉利汽车,8.88 - 15.68
11,思域,234479,东风本田,11.99 - 16.99
12,帝豪,223369,吉利汽车,6.98 - 9.88
13,雷凌,222361,广汽丰田,11.38 - 15.28
14,雅阁,210576,广汽本田,17.98 - 25.98
15,长安CS75 PLUS,188386,长安汽车,10.69 - 15.49
16,凯美瑞,185140,广汽丰田,17.98 - 27.98
17,桑塔纳,175725,上汽大众,8.69 - 11.59
18,奇骏,175177,东风日产,18.88 - 27.33
19,RAV4荣放,174940,一汽丰田,17.48 - 25.88
20,奥迪A6L,171561,一汽-大众奥迪,40.98 - 65.38
21,途观L,170208,上汽大众,21.58 - 31.18
22,探岳,168455,一汽-大众,18.59 - 31.39
23,本田XR-V,168272,东风本田,12.79 - 17.59
24,昂科威,167880,上汽通用别克,18.99 - 27.99
25,迈腾,164686,一汽-大众,18.69 - 30.99
26,逍客,161193,东风日产,15.49 - 18.89
27,奔驰GLC,160900,北京奔驰,39.48 - 58.78
28,宝马5系,158921,华晨宝马,42.69 - 54.99
29,别克GL8,156879,上汽通用别克,23.29 - 52.99
30,皓影,156306,广汽本田,16.98 - 25.28
31,哈弗M6,154470,长城汽车,6.60 - 9.29
32,宝马3系,154324,华晨宝马,29.39 - 40.99
33,奔驰C级,152300,北京奔驰,30.78 - 47.48
34,缤智,150363,广汽本田,12.78 - 17.68
35,奔驰E级,149900,北京奔驰,42.98 - 64.28
36,途岳,146820,上汽大众,16.58 - 22.38
37,逸动,146527,长安汽车,7.29 - 10.39
38,奥迪Q5L,144648,一汽-大众奥迪,38.78 - 49.80
39,君威,135877,上汽通用别克,17.28 - 25.98
40,瑞虎8,135387,奇瑞汽车,8.88 - 15.99
41,科鲁泽,133024,上汽通用雪佛兰,8.99 - 12.29
42,奥迪A4L,130906,一汽-大众奥迪,30.58 - 39.68
43,帕萨特,128882,上汽大众,18.59 - 28.29
44,宏光MINI EV,126603,上汽通用五菱,2.88 - 3.88
45,传祺GS4,125251,广汽乘用车,8.98 - 15.18
46,荣威RX5,124717,上汽集团,9.98 - 13.98
