排名,车型,销量,厂商,售价(万元)
1,五菱之光,523841,上汽通用五菱,3.23 - 3.66
2,瑞麒M1,325769,奇瑞瑞麒,0.00 - 0.00
3,五菱宏光,316237,上汽通用五菱,4.28 - 6.98
4,福克斯,296360,长安福特,10.88 - 15.38
5,赛欧,279728,上汽通用雪佛兰,6.29 - 7.99
6,圣达菲00,278211,华泰汽车,0.00 - 0.00
7,凯越,252937,上汽通用别克,8.39 - 9.99
8,朗逸,246687,上汽大众,9.99 - 16.19
9,捷达,242528,一汽-大众,7.98 - 10.68
10,科鲁兹,233485,上汽通用雪佛兰,0.00 - 0.00
11,宝来,222970,一汽-大众,9.88 - 15.70
12,悦动,217026,北京现代,8.49 - 11.59
13,帕萨特,210567,上汽大众,18.59 - 28.29
14,速腾,196296,一汽-大众,12.89 - 19.29
15,瑞纳,188857,北京现代,4.99 - 7.39
16,本田CR-V,180706,东风本田,16.98 - 27.68
17,迈腾,173664,一汽-大众,18.69 - 30.99
18,英朗,173312,上汽通用别克,11.99 - 12.59
19,途观,173062,上汽大众,0.00 - 0.00
20,卡罗拉,151887,一汽丰田,10.98 - 15.98
21,夏利,148201,天津一汽,0.00 - 0.00
22,凯美瑞,147454,广汽丰田,17.98 - 27.98
23,骐达TIIDA,144215,东风日产,9.99 - 13.59
24,奇瑞QQ3,143802,奇瑞汽车,0.00 - 0.00
25,起亚K2,143155,东风悦达起亚,7.29 - 10.39
26,明锐,138262,上汽斯柯达,9.99 - 16.14
27,Polo,137949,上汽大众,9.99 - 12.39
28,阳光,137820,东风日产,0.00 - 0.00
29,长城C30,136504,长城汽车,0.00 - 0.00
30,比亚迪F3,135455,比亚迪,4.49 - 5.08
31,轩逸,133823,东风日产,9.98 - 14.30
32,奥迪A6L,132832,一汽-大众奥迪,40.98 - 65.38
33,雅阁,130368,广汽本田,17.98 - 25.98
34,高尔夫,127376,一汽-大众,12.98 - 18.02
35,花冠,124531,一汽丰田,0.00 - 0.00
36,宝马3系,122229,华晨宝马,29.39 - 40.99
37,世嘉,117042,东风雪铁龙,0.00 - 0.00
38,北京现代ix35,108241,北京现代,11.99 - 16.19
39,宝马5系,105939,华晨宝马,42.69 - 54.99
40,逍客,105143,东风日产,15.49 - 18.89
41,奥迪A4L,100519,一汽-大众奥迪,30.58 - 39.68
42,索纳塔八,100477,北京现代,0.00 - 0.00
43,锋范,98496,广汽本田,0.00 - 0.00
44,RAV4荣放,98179,一汽丰田,17.48 - 25.88
45,奥迪Q5,90157,一汽-大众奥迪,0.00 - 0.00
46,天籁,90072,东风日产,17.98 - 26.98
47,骊威,87724,东风日产,0.00 - 0.00
48,和悦,87292,江淮汽车,0.00 - 0.00
49,比亚迪S6,86851,比亚迪,0.00 - 0.00
50,君越,86101,上汽通用别克,21.98 - 28.98
51,阿特兹,85581,一汽马自达,17.58 - 24.78
52,君威,85440,上汽通用别克,17.28 - 25.98
53,比亚迪L3,82860,比亚迪,0.00 - 0.00
54,乐驰,82550,上汽通用五菱,0.00 - 0.00
55,朗动,81827,北京现代,11.58 - 12.78
56,福瑞迪,81087,东风悦达起亚,7.88 - 10.28
57,思域,79763,东风本田,11.99 - 16.99
58,长安之星,79746,长安汽车,0.00 - 0.00
59,智跑,75964,东风悦达起亚,11.99 - 14.89
60,汉兰达,75059,广汽丰田,23.98 - 32.58
61,菱智,72723,东风风行,5.99 - 9.99
62,致胜,70926,长安福特,0.00 - 0.00
63,北斗星,70886,昌河铃木,4.20 - 4.40
64,荣威350,70692,上汽集团,0.00 - 0.00
65,力帆620,70654,力帆汽车,0.00 - 0.00
66,海马骑士,69430,海马汽车,0.00 - 0.00
67,标致308,67583,东风标致,8.97 - 13.07
68,伊兰特,64368,北京现代,9.98 - 14.18
69,别克GL8,64001,上汽通用别克,23.29 - 52.99
70,景逸,63778,东风风行,0.00 - 0.00
71,比亚迪F0,63083,比亚迪,3.79 - 4.79
72,奇瑞E5,62847,奇瑞汽车,0.00 - 0.00
73,福美来,61630,一汽海马,6.88 - 9.28
74,自由舰,59891,吉利汽车,0.00 - 0.00
75,锐志,59846,一汽丰田,0.00 - 0.00
76,V3菱悦,59783,东南汽车,0.00 - 0.00
77,奥拓,57463,长安铃木,4.18 - 6.19
78,风云2,57255,奇瑞汽车,0.00 - 0.00
79,奔腾B50,57158,一汽奔腾,12.68 - 15.28
80,爱唯欧,56626,上汽通用雪佛兰,0.00 - 0.00
81,金刚,54556,吉利汽车,0.00 - 0.00
82,瑞风,53988,江淮汽车,9.99 - 16.38
83,标致408,53533,东风标致,11.77 - 16.97
84,K5凯酷,52742,东风悦达起亚,16.18 - 20.58
85,嘉年华,52007,长安福特,0.00 - 0.00
86,海景,51990,吉利汽车,0.00 - 0.00
