排名,车型,销量,厂商,售价(万元)
1,五菱宏光,750019,上汽通用五菱,4.28 - 6.98
2,福克斯,393864,长安福特,10.88 - 15.38
3,朗逸,371962,上汽大众,9.99 - 16.19
4,五菱荣光,345101,上汽通用五菱,3.68 - 5.38
5,哈弗H6,315878,长城汽车,9.80 - 15.49
6,五菱之光,308668,上汽通用五菱,3.23 - 3.66
7,速腾,300082,一汽-大众,12.89 - 19.29
8,轩逸,300058,东风日产,9.98 - 14.30
9,捷达,296960,一汽-大众,7.98 - 10.68
10,凯越,293098,上汽通用别克,8.39 - 9.99
11,桑塔纳,285293,上汽大众,8.69 - 11.59
12,科鲁兹,266098,上汽通用雪佛兰,0.00 - 0.00
13,赛欧,253304,上汽通用雪佛兰,6.29 - 7.99
14,朗动,252338,北京现代,11.58 - 12.78
15,英朗,246305,上汽通用别克,11.99 - 12.59
16,途观,237404,上汽大众,0.00 - 0.00
17,瑞纳,236024,北京现代,4.99 - 7.39
18,宝来,222663,一汽-大众,9.88 - 15.70
19,圣达菲00,220403,华泰汽车,0.00 - 0.00
20,帕萨特,218343,上汽大众,18.59 - 28.29
21,迈腾,207243,一汽-大众,18.69 - 30.99
22,江南TT,201065,众泰汽车,0.00 - 0.00
23,高尔夫,193047,一汽-大众,12.98 - 18.02
24,宝马3系,185107,华晨宝马,29.39 - 40.99
25,卡罗拉,171486,一汽丰田,10.98 - 15.98
26,本田CR-V,168179,东风本田,16.98 - 27.68
27,奥迪A6L,166463,一汽-大众奥迪,40.98 - 65.38
28,Polo,157759,上汽大众,9.99 - 12.39
29,凌派,157220,广汽本田,9.98 - 16.98
30,起亚K2,155331,东风悦达起亚,7.29 - 10.39
31,起亚K3,154978,东风悦达起亚,10.88 - 13.18
32,逸动,154885,长安汽车,7.29 - 10.39
33,凯美瑞,150313,广汽丰田,17.98 - 27.98
34,北京现代ix35,145304,北京现代,11.99 - 16.19
35,宝马5系,138481,华晨宝马,42.69 - 54.99
36,欧诺,137961,长安汽车,0.00 - 0.00
37,翼虎,135998,长安福特,16.98 - 24.98
38,名图,134997,北京现代,13.38 - 16.98
39,长安之星2,134756,长安汽车,0.00 - 0.00
40,悦动,132363,北京现代,8.49 - 11.59
41,威驰,127827,一汽丰田,7.38 - 11.18
42,菱智,127184,东风风行,5.99 - 9.99
43,爱丽舍,126479,东风雪铁龙,8.38 - 10.28
44,明锐,126148,上汽斯柯达,9.99 - 16.14
45,迈锐宝,125547,上汽通用雪佛兰,16.49 - 18.99
46,RAV4荣放,124680,一汽丰田,17.48 - 25.88
47,奥迪A4L,120193,一汽-大众奥迪,30.58 - 39.68
48,宝骏730,120089,上汽通用五菱,6.08 - 10.88
49,景逸,115669,东风风行,0.00 - 0.00
50,朗行,114840,上汽大众,11.29 - 16.29
51,奇骏,114459,东风日产,18.88 - 27.33
52,君威,111245,上汽通用别克,17.28 - 25.98
53,比亚迪F3,110293,比亚迪,4.49 - 5.08
54,蒙迪欧,109806,长安福特,19.28 - 27.98
55,天籁,109290,东风日产,17.98 - 26.98
56,雅阁,108489,广汽本田,17.98 - 25.98
57,奥迪Q5,106999,一汽-大众奥迪,0.00 - 0.00
58,帝豪,100696,吉利汽车,6.98 - 9.88
59,长安CS35,100571,长安汽车,6.39 - 8.79
60,荣威350,99779,上汽集团,0.00 - 0.00
61,比亚迪S6,98720,比亚迪,0.00 - 0.00
62,智跑,96472,东风悦达起亚,11.99 - 14.89
63,标致308,94466,东风标致,8.97 - 13.07
64,世嘉,92517,东风雪铁龙,0.00 - 0.00
65,骐达TIIDA,92465,东风日产,9.99 - 13.59
66,瑞虎5,92317,奇瑞汽车,8.88 - 12.38
67,北汽威旺M20,90440,北汽昌河,3.68 - 4.18
68,瑞虎3,89997,奇瑞汽车,5.99 - 7.99
69,东风小康K07II,88436,东风小康,0.00 - 0.00
70,逍客,87448,东风日产,15.49 - 18.89
71,奥迪Q3,87311,一汽-大众奥迪,27.18 - 36.18
72,花冠,85835,一汽丰田,0.00 - 0.00
73,飞度,84702,广汽本田,7.38 - 10.88
74,北汽幻速S3,84696,北汽幻速,5.38 - 6.98
75,翼搏,84643,长安福特,0.00 - 0.00
76,汉兰达,84490,广汽丰田,23.98 - 32.58
77,君越,83858,上汽通用别克,21.98 - 28.98
78,昂科拉,82346,上汽通用别克,12.59 - 15.59
79,瑞风,81527,江淮汽车,9.99 - 16.38
80,别克GL8,80476,上汽通用别克,23.29 - 52.99
81,奔腾X80,79444,一汽奔腾,0.00 - 0.00
82,金刚,78890,吉利汽车,0.00 - 0.00
83,昕锐,78256,上汽斯柯达,7.79 - 9.99
84,长安之星,75978,长安汽车,0.00 - 0.00
85,奔腾B50,73391,一汽奔腾,12.68 - 15.28
86,YARiS L 致炫,73298,广汽丰田,7.78 - 10.38
87,速锐,73269,比亚迪,0.00 - 0.00
88,北汽威旺306,71478,北汽昌河,3.18 - 4.68
89,胜达,71424,北京现代,20.28 - 27.28
90,标致301,70753,东风标致,8.47 - 10.77
91,传祺GS5,70508,广汽乘用车,10.98 - 16.98
92,阳光,69372,东风日产,0.00 - 0.00
93,标致3008,67791,东风标致,13.97 - 14.97
94,福瑞迪,65943,东风悦达起亚,7.88 - 10.28
95,雪铁龙C4L,65896,东风雪铁龙,10.69 - 14.19
96,北斗星,64673,昌河铃木,4.20 - 4.40
97,众泰T600,64383,众泰汽车,7.98 - 13.78
98,标致408,63921,东风标致,11.77 - 16.97
99,杰德,63210,东风本田,0.00 - 0.00
100,吉利GX7,62729,吉利汽车,0.00 - 0.00
101,嘉年华,62519,长安福特,0.00 - 0.00
102,奇瑞E3,60026,奇瑞汽车,0.00 - 0.00
103,启辰R50,59777,东风启辰,0.00 - 0.00
104,丰顺,59555,力帆汽车,3.28 - 4.94
105,骊威,57448,东风日产,0.00 - 0.00
106,奔驰GLK级,56456,北京奔驰,0.00 - 0.00
107,K5凯酷,55474,东风悦达起亚,16.18 - 20.58
108,劲炫ASX,55420,广汽三菱,9.98 - 13.98
109,福美来,54969,一汽海马,6.88 - 9.28
110,索纳塔八,54946,北京现代,0.00 - 0.00
111,比亚迪L3,54531,比亚迪,0.00 - 0.00
112,夏利,53848,天津一汽,0.00 - 0.00
113,奔驰E级,53544,北京奔驰,42.98 - 64.28
114,长安CS75,53031,长安汽车,10.39 - 11.99
115,长城C30,52946,长城汽车,0.00 - 0.00
