排名,车型,销量,厂商,售价(万元)
1,乐驰,542381,上汽通用五菱,0.00 - 0.00
2,五菱宏光,530050,上汽通用五菱,4.28 - 6.98
3,五菱之光,455718,上汽通用五菱,3.23 - 3.66
4,福克斯,403640,长安福特,10.88 - 15.38
5,朗逸,374056,上汽大众,9.99 - 16.19
6,凯越,296183,上汽通用别克,8.39 - 9.99
7,赛欧,276242,上汽通用雪佛兰,6.29 - 7.99
8,速腾,271188,一汽-大众,12.89 - 19.29
9,捷达,263408,一汽-大众,7.98 - 10.68
10,轩逸,259545,东风日产,9.98 - 14.30
11,科鲁兹,246890,上汽通用雪佛兰,0.00 - 0.00
12,宝来,237156,一汽-大众,9.88 - 15.70
13,帕萨特,227240,上汽大众,18.59 - 28.29
14,哈弗H6,217842,长城汽车,9.80 - 15.49
15,朗动,206348,北京现代,11.58 - 12.78
16,英朗,204274,上汽通用别克,11.99 - 12.59
17,圣达菲00,204037,华泰汽车,0.00 - 0.00
18,途观,199782,上汽大众,0.00 - 0.00
19,瑞纳,198667,北京现代,4.99 - 7.39
20,本田CR-V,189972,东风本田,16.98 - 27.68
21,迈腾,187172,一汽-大众,18.69 - 30.99
22,凯美瑞,182581,广汽丰田,17.98 - 27.98
23,桑塔纳,177528,上汽大众,8.69 - 11.59
24,宝马3系,172739,华晨宝马,29.39 - 40.99
25,悦动,171547,北京现代,8.49 - 11.59
26,北京现代ix35,156876,北京现代,11.99 - 16.19
27,Polo,154221,上汽大众,9.99 - 12.39
28,奥迪A6L,148130,一汽-大众奥迪,40.98 - 65.38
29,花冠,147921,一汽丰田,0.00 - 0.00
30,卡罗拉,146480,一汽丰田,10.98 - 15.98
31,起亚K2,143682,东风悦达起亚,7.29 - 10.39
32,起亚K3,135666,东风悦达起亚,10.88 - 13.18
33,长安之星2,129415,长安汽车,0.00 - 0.00
34,骐达TIIDA,129329,东风日产,9.99 - 13.59
35,长城C30,126036,长城汽车,0.00 - 0.00
36,逍客,124589,东风日产,15.49 - 18.89
37,宝马5系,123852,华晨宝马,42.69 - 54.99
38,速锐,123643,比亚迪,0.00 - 0.00
