排名,车型,销量,厂商,售价(万元)
1,五菱宏光,476538,上汽通用五菱,4.28 - 6.98
2,轩逸,475696,东风日产,9.98 - 14.30
3,朗逸,468792,上汽大众,9.99 - 16.19
4,哈弗H6,452552,长城汽车,9.80 - 15.49
5,卡罗拉,376077,一汽丰田,10.98 - 15.98
6,宝骏510,361403,上汽通用五菱,5.08 - 8.08
7,捷达,327686,一汽-大众,7.98 - 10.68
8,速腾,309902,一汽-大众,12.89 - 19.29
9,桑塔纳,266784,上汽大众,8.69 - 11.59
10,英朗,261920,上汽通用别克,11.99 - 12.59
11,博越,255695,吉利汽车,8.88 - 15.68
12,科沃兹,252108,上汽通用雪佛兰,7.99 - 9.99
13,宝来,245818,一汽-大众,9.88 - 15.70
14,传祺GS4,236275,广汽乘用车,8.98 - 15.18
15,迈腾,228990,一汽-大众,18.69 - 30.99
16,途观L,223985,上汽大众,21.58 - 31.18
17,荣威RX5,221367,上汽集团,9.98 - 13.98
18,帝豪,219792,吉利汽车,6.98 - 9.88
19,思域,218132,东风本田,11.99 - 16.99
20,领动,217711,北京现代,10.98 - 14.68
21,奇骏,207951,东风日产,18.88 - 27.33
22,昂科威,201776,上汽通用别克,18.99 - 27.99
23,威朗,196232,上汽通用别克,15.29 - 18.29
24,雷凌,192697,广汽丰田,11.38 - 15.28
25,帕萨特,177551,上汽大众,18.59 - 28.29
26,本田XR-V,177467,东风本田,12.79 - 17.59
27,雅阁,176770,广汽本田,17.98 - 25.98
28,逍客,175045,东风日产,15.49 - 18.89
29,凯美瑞,171029,广汽丰田,17.98 - 27.98
30,奥迪A4L,168165,一汽-大众奥迪,30.58 - 39.68
31,帝豪GS,165701,吉利汽车,7.78 - 11.68
32,长安CS55,165102,长安汽车,8.29 - 13.39
33,长安CS75,158179,长安汽车,10.39 - 11.99
34,奔驰C级,156566,北京奔驰,30.78 - 47.48
35,奥迪A6L,153273,一汽-大众奥迪,40.98 - 65.38
36,宝骏310,151685,上汽通用五菱,3.68 - 6.08
37,福睿斯,150360,长安福特,8.08 - 11.68
38,五菱荣光V,149524,上汽通用五菱,3.98 - 4.98
39,帝豪GL,148531,吉利汽车,7.78 - 13.98
40,奔驰E级,146032,北京奔驰,42.98 - 64.28
41,本田CR-V,145011,东风本田,16.98 - 27.68
42,宝马5系,144852,华晨宝马,42.69 - 54.99
43,RAV4荣放,144491,一汽丰田,17.48 - 25.88
44,远景,143851,吉利汽车,4.99 - 7.39
45,北京现代ix35,143464,北京现代,11.99 - 16.19
46,别克GL8,142747,上汽通用别克,23.29 - 52.99
47,缤智,141600,广汽本田,12.78 - 17.68
48,宋MAX,141068,比亚迪,7.99 - 12.99
49,Polo,140442,上汽大众,9.99 - 12.39
50,高尔夫,139813,一汽-大众,12.98 - 18.02
51,迈锐宝,138502,上汽通用雪佛兰,16.49 - 18.99
52,宝马3系,134893,华晨宝马,29.39 - 40.99
53,凌渡,134746,上汽大众,14.29 - 19.69
54,长安CS35,131417,长安汽车,6.39 - 8.79
55,飞度,129179,广汽本田,7.38 - 10.88
56,奔驰GLC,118350,北京奔驰,39.48 - 58.78
57,马自达3 昂克赛拉,118128,长安马自达,11.59 - 18.99
58,远景X3,116944,吉利汽车,4.99 - 6.89
59,宝骏530,116324,上汽通用五菱,7.08 - 11.58
60,奥迪Q5,115729,一汽-大众奥迪,0.00 - 0.00
61,远景X6,113309,吉利汽车,6.89 - 9.99
62,凌派,113107,广汽本田,9.98 - 16.98
63,天籁,112694,东风日产,17.98 - 26.98
64,宝骏730,111507,上汽通用五菱,6.08 - 10.88
65,风光580,110975,东风小康,7.99 - 12.30
66,哈弗H2,106120,长城汽车,7.59 - 9.59
67,欧蓝德,105621,广汽三菱,15.98 - 22.58
68,汉兰达,104856,广汽丰田,23.98 - 32.58
69,明锐,103401,上汽斯柯达,9.99 - 16.14
70,名图,102678,北京现代,13.38 - 16.98
71,艾瑞泽5,101485,奇瑞汽车,4.99 - 8.58
72,君威,100378,上汽通用别克,17.28 - 25.98
73,宝骏360,98096,上汽通用五菱,5.68 - 8.08
74,宝马X1,97389,华晨宝马,27.88 - 33.98
75,北汽新能源EC,95837,北汽新能源,5.58 - 5.58
76,名爵ZS,94854,上汽名爵,7.88 - 11.28
77,传祺GS3,89310,广汽乘用车,7.68 - 11.38
78,智跑,89049,东风悦达起亚,11.99 - 14.89
79,途昂,86182,上汽大众,29.99 - 45.99
80,逸动,85261,长安汽车,7.29 - 10.39
81,领克01,84875,领克,15.08 - 21.08
82,瑞虎3,84686,奇瑞汽车,5.99 - 7.99
83,名爵6,83695,上汽名爵,9.38 - 14.28
84,奥迪A3,82677,一汽-大众奥迪,19.32 - 26.85
85,冠道,80848,广汽本田,22.00 - 33.28
86,五菱之光,80306,上汽通用五菱,3.23 - 3.66
87,起亚K3,77920,东风悦达起亚,10.88 - 13.18
88,途观,76692,上汽大众,0.00 - 0.00
89,悦动,75646,北京现代,8.49 - 11.59
90,奥迪Q3,73729,一汽-大众奥迪,27.18 - 36.18
91,凯迪拉克XT5,73400,通用凯迪拉克,32.97 - 47.27
92,哈弗M6,73018,长城汽车,6.60 - 9.29
93,探界者,71497,上汽通用雪佛兰,16.99 - 24.59
94,圣达菲,71115,华泰汽车,6.98 - 16.18
95,君越,69709,上汽通用别克,21.98 - 28.98
96,荣威i6,68918,上汽集团,8.98 - 13.98
97,五菱荣光,68727,上汽通用五菱,3.68 - 5.38
98,瑞虎5,67947,奇瑞汽车,8.88 - 12.38
99,远景S1,67908,吉利汽车,0.00 - 0.00
100,福克斯,66428,长安福特,10.88 - 15.38
101,秦Pro,65871,比亚迪,7.98 - 11.59
102,长安欧尚CX70,65573,长安汽车,5.99 - 10.99
103,凯迪拉克XTS,65010,通用凯迪拉克,0.00 - 0.00
104,启辰D60,64872,东风启辰,6.98 - 9.88
105,KX CROSS,63682,东风悦达起亚,8.69 - 9.09
106,沃尔沃XC60,63352,沃尔沃亚太,36.29 - 47.09
