排名,车型,销量,厂商,售价(万元)
1,五菱宏光,655531,上汽通用五菱,4.28 - 6.98
2,朗逸,381094,上汽大众,9.99 - 16.19
3,哈弗H6,373229,长城汽车,9.80 - 15.49
4,轩逸,334087,东风日产,9.98 - 14.30
5,宝骏730,321069,上汽通用五菱,6.08 - 10.88
6,英朗,290213,上汽通用别克,11.99 - 12.59
7,速腾,279892,一汽-大众,12.89 - 19.29
8,捷达,274932,一汽-大众,7.98 - 10.68
9,朗动,267085,北京现代,11.58 - 12.78
10,桑塔纳,255966,上汽大众,8.69 - 11.59
11,途观,255353,上汽大众,0.00 - 0.00
12,卡罗拉,254301,一汽丰田,10.98 - 15.98
13,科鲁兹,250172,上汽通用雪佛兰,0.00 - 0.00
14,福克斯,240788,长安福特,10.88 - 15.38
15,五菱之光,227995,上汽通用五菱,3.23 - 3.66
16,赛欧,216732,上汽通用雪佛兰,6.29 - 7.99
17,福睿斯,214362,长安福特,8.08 - 11.68
18,瑞纳,213678,北京现代,4.99 - 7.39
19,圣达菲00,207907,华泰汽车,0.00 - 0.00
20,帝豪,206226,吉利汽车,6.98 - 9.88
21,帕萨特,205794,上汽大众,18.59 - 28.29
22,宝来,204275,一汽-大众,9.88 - 15.70
23,五菱荣光V,194141,上汽通用五菱,3.98 - 4.98
24,五菱荣光,193661,上汽通用五菱,3.68 - 5.38
25,高尔夫,193612,一汽-大众,12.98 - 18.02
26,逸动,182332,长安汽车,7.29 - 10.39
27,北汽幻速S3,181089,北汽幻速,5.38 - 6.98
28,长安CS75,177205,长安汽车,10.39 - 11.99
29,凯越,176242,上汽通用别克,8.39 - 9.99
30,江南TT,170904,众泰汽车,0.00 - 0.00
31,哈弗H2,168467,长城汽车,7.59 - 9.59
32,Polo,167185,上汽大众,9.99 - 12.39
33,奇骏,166385,东风日产,18.88 - 27.33
34,起亚K2,164114,东风悦达起亚,7.29 - 10.39
35,昂科威,162768,上汽通用别克,18.99 - 27.99
36,明锐,161518,上汽斯柯达,9.99 - 16.14
37,本田CR-V,156607,东风本田,16.98 - 27.68
38,迈腾,155507,一汽-大众,18.69 - 30.99
39,名图,154597,北京现代,13.38 - 16.98
40,长安CS35,152925,长安汽车,6.39 - 8.79
41,奥迪A6L,149308,一汽-大众奥迪,40.98 - 65.38
42,北汽威旺M20,147399,北汽昌河,3.68 - 4.18
43,宝马5系,147202,华晨宝马,42.69 - 54.99
44,起亚K3,147157,东风悦达起亚,10.88 - 13.18
45,宝骏560,145007,上汽通用五菱,6.98 - 11.78
46,欧诺,142344,长安汽车,0.00 - 0.00
47,比亚迪F3,141929,比亚迪,4.49 - 5.08
48,翼虎,135194,长安福特,16.98 - 24.98
49,传祺GS4,129082,广汽乘用车,8.98 - 15.18
50,雅阁,128122,广汽本田,17.98 - 25.98
51,凯美瑞,128046,广汽丰田,17.98 - 27.98
52,缤智,126838,广汽本田,12.78 - 17.68
53,众泰T600,126121,众泰汽车,7.98 - 13.78
54,雷凌,125699,广汽丰田,11.38 - 15.28
55,悦翔V7,123712,长安汽车,0.00 - 0.00
56,远景,121969,吉利汽车,4.99 - 7.39
57,瑞虎3,120357,奇瑞汽车,5.99 - 7.99
58,蒙迪欧,120202,长安福特,19.28 - 27.98
59,本田XR-V,118749,东风本田,12.79 - 17.59
60,菱智,116896,东风风行,5.99 - 9.99
61,凌派,116759,广汽本田,9.98 - 16.98
62,RAV4荣放,116731,一汽丰田,17.48 - 25.88
63,奥迪A4L,115148,一汽-大众奥迪,30.58 - 39.68
64,威驰,114467,一汽丰田,7.38 - 11.18
65,奥迪Q5,114000,一汽-大众奥迪,0.00 - 0.00
66,天籁,111774,东风日产,17.98 - 26.98
67,君威,110637,上汽通用别克,17.28 - 25.98
68,标致408,107088,东风标致,11.77 - 16.97
69,北京现代ix35,105872,北京现代,11.99 - 16.19
70,比亚迪S7,105080,比亚迪,9.99 - 13.99
71,凌渡,104214,上汽大众,14.29 - 19.69
72,宝马3系,102811,华晨宝马,29.39 - 40.99
73,北京现代ix25,102755,北京现代,10.58 - 13.68
74,奔驰GLK级,99487,北京奔驰,0.00 - 0.00
75,马自达3 昂克赛拉,97608,长安马自达,11.59 - 18.99
76,飞度,95974,广汽本田,7.38 - 10.88
77,长安之星2,94651,长安汽车,0.00 - 0.00
78,朗行,93763,上汽大众,11.29 - 16.29
79,爱丽舍,93655,东风雪铁龙,8.38 - 10.28
80,阳光,90582,东风日产,0.00 - 0.00
81,标致308,87359,东风标致,8.97 - 13.07
82,奔驰C级,85080,北京奔驰,30.78 - 47.48
83,君越,85005,上汽通用别克,21.98 - 28.98
84,昂科拉,82013,上汽通用别克,12.59 - 15.59
85,智跑,81522,东风悦达起亚,11.99 - 14.89
86,迈锐宝,80222,上汽通用雪佛兰,16.49 - 18.99
87,别克GL8,78985,上汽通用别克,23.29 - 52.99
88,中华V3,76790,华晨中华,5.07 - 8.77
89,汉兰达,75206,广汽丰田,23.98 - 32.58
90,哈弗H1,74571,长城汽车,0.00 - 0.00
91,索纳塔八,69214,北京现代,0.00 - 0.00
92,奥迪Q3,68519,一汽-大众奥迪,27.18 - 36.18
93,标致301,67970,东风标致,8.47 - 10.77
94,世嘉,67589,东风雪铁龙,0.00 - 0.00
95,标致3008,67501,东风标致,13.97 - 14.97
96,瑞虎5,66980,奇瑞汽车,8.88 - 12.38
97,雪铁龙C3-XR,66487,东风雪铁龙,9.48 - 11.89
98,海马S5,65226,海马汽车,6.98 - 10.98
99,锐界,65152,长安福特,22.98 - 38.98
100,启辰T70,65072,东风启辰,8.98 - 12.78
101,YARiS L 致炫,64724,广汽丰田,7.78 - 10.38
102,奥迪A3,64353,一汽-大众奥迪,19.32 - 26.85
103,瑞风S3,63148,江淮汽车,6.79 - 8.79
104,起亚K4,62147,东风悦达起亚,12.88 - 18.88
105,东风风神AX7,61573,东风乘用车,8.98 - 14.39
106,奔腾B50,61370,一汽奔腾,12.68 - 15.28
107,小海狮X30,60984,华晨鑫源,3.39 - 4.68
108,速锐,60481,比亚迪,0.00 - 0.00
109,奔驰E级,60102,北京奔驰,42.98 - 64.28
110,逍客,60072,东风日产,15.49 - 18.89
111,吉利GX7,59930,吉利汽车,0.00 - 0.00
112,丰顺,59550,力帆汽车,3.28 - 4.94
113,绅宝D50,58800,BEIJING汽车,6.99 - 9.99
114,瑞风,58706,江淮汽车,9.99 - 16.38
115,风云2,58407,奇瑞汽车,0.00 - 0.00
116,昕锐,57568,上汽斯柯达,7.79 - 9.99
117,金刚,57387,吉利汽车,0.00 - 0.00
118,翼搏,56465,长安福特,0.00 - 0.00
119,奔腾X80,55131,一汽奔腾,0.00 - 0.00
120,凯迪拉克XTS,53086,通用凯迪拉克,0.00 - 0.00
121,杰德,52636,东风本田,0.00 - 0.00
122,景逸X3,52427,东风风行,6.69 - 8.69
123,荣威350,52391,上汽集团,0.00 - 0.00
124,骐达TIIDA,52198,东风日产,9.99 - 13.59
125,劲炫ASX,50781,广汽三菱,9.98 - 13.98
126,创酷,50736,上汽通用雪佛兰,9.99 - 13.99
127,锋范,50302,广汽本田,0.00 - 0.00
128,福美来,49422,一汽海马,6.88 - 9.28
129,威朗,49336,上汽通用别克,15.29 - 18.29
130,标致2008,49229,东风标致,10.99 - 14.99
131,马自达CX-5,48610,长安马自达,17.98 - 24.58
132,东风小康K07II,48586,东风小康,0.00 - 0.00
133,优6 SUV,47965,东风裕隆,0.00 - 0.00
134,花冠,46340,一汽丰田,0.00 - 0.00
135,北汽威旺306,46183,北汽昌河,3.18 - 4.68
136,途胜,46153,北京现代,16.99 - 21.99
137,奥德赛,45230,广汽本田,22.98 - 37.68
138,奔奔MINI,44391,长安汽车,0.00 - 0.00
139,智尚S30,43674,绵阳金杯,0.00 - 0.00
140,途安,42743,上汽大众,15.18 - 19.48
141,悦动,42721,北京现代,8.49 - 11.59
142,阿特兹,42141,一汽马自达,17.58 - 24.78
143,名爵GS,42017,上汽名爵,9.88 - 17.88
144,KX3傲跑,41836,东风悦达起亚,10.88 - 12.58
145,宝马X1,41246,华晨宝马,27.88 - 33.98
146,雪铁龙C4L,41209,东风雪铁龙,10.69 - 14.19
147,中华H330,40828,华晨中华,0.00 - 0.00
148,奔腾B70,40782,一汽奔腾,0.00 - 0.00
149,北斗星,38398,昌河铃木,4.20 - 4.40
150,K5凯酷,38316,东风悦达起亚,16.18 - 20.58
151,奇瑞E3,37745,奇瑞汽车,0.00 - 0.00
152,欧力威,37522,长安汽车,0.00 - 0.00
153,长安CX20,37178,长安汽车,0.00 - 0.00
154,普拉多,36691,一汽丰田,49.48 - 50.48
155,圣达菲,36636,华泰汽车,6.98 - 16.18
156,长城C30,34005,长城汽车,0.00 - 0.00
157,胜达,33357,北京现代,20.28 - 27.28
158,思域,32686,东风本田,11.99 - 16.99
159,博瑞,32562,吉利汽车,13.68 - 17.98
160,科帕奇,32357,上汽通用雪佛兰,17.99 - 20.99
161,景逸,32034,东风风行,0.00 - 0.00
162,海马M3,31994,海马汽车,0.00 - 0.00
163,一汽-大众CC,31970,一汽-大众,24.68 - 30.18
164,景逸X5,31697,东风风行,6.99 - 12.98
165,锋驭,30812,长安铃木,0.00 - 0.00
166,东南DX7,29835,东南汽车,8.99 - 13.99
167,秦Pro,29707,比亚迪,7.98 - 11.59
168,狮跑,29461,东风悦达起亚,0.00 - 0.00
169,骏派D60,29308,天津一汽,0.00 - 0.00
170,启辰R50,29292,东风启辰,0.00 - 0.00
171,中华V5,28505,华晨中华,8.98 - 14.58
172,力帆X60,28226,力帆汽车,0.00 - 0.00
173,蓝鸟,27844,东风日产,9.59 - 13.39
174,瑞风S2,26718,江淮汽车,5.78 - 7.68
175,皇冠,26017,一汽丰田,25.08 - 37.48
176,V3菱悦,25848,东南汽车,0.00 - 0.00
177,比亚迪S6,25745,比亚迪,0.00 - 0.00
178,英菲尼迪Q50L,25467,东风英菲尼迪,26.48 - 38.98
179,绅宝D20,25198,BEIJING汽车,0.00 - 0.00
180,华晨金杯750,25178,华晨鑫源,5.38 - 7.33
181,奥拓,25049,长安铃木,4.18 - 6.19
182,宝骏630,24646,上汽通用五菱,0.00 - 0.00
183,福瑞迪,24641,东风悦达起亚,7.88 - 10.28
184,熊猫,24586,吉利汽车,0.00 - 0.00
185,森雅M80,24333,一汽吉林,0.00 - 0.00
186,大迈X5,23921,众泰汽车,0.00 - 0.00
187,锐志,23689,一汽丰田,0.00 - 0.00
188,骊威,23674,东风日产,0.00 - 0.00
189,凯翼C3,23448,凯翼汽车,0.00 - 0.00
190,五菱征程,23407,上汽通用五菱,0.00 - 0.00
191,哈弗H5,23212,长城汽车,10.78 - 13.68
192,Yeti,22981,上汽斯柯达,0.00 - 0.00
193,思铂睿,22955,东风本田,17.99 - 26.79
194,艾瑞泽7,22593,奇瑞汽车,0.00 - 0.00
195,绅宝X65,22410,BEIJING汽车,0.00 - 0.00
196,瑞风S5,22343,江淮汽车,8.95 - 13.95
197,雨燕,21860,长安铃木,0.00 - 0.00
198,雪铁龙C5,21699,东风雪铁龙,16.99 - 21.59
199,传祺GA3,21428,广汽乘用车,0.00 - 0.00
200,菲翔,21399,广汽菲克菲亚特,0.00 - 0.00
