排名,车型,销量,厂商,售价(万元)
1,朗逸,517192,上汽大众,9.99 - 16.19
2,轩逸,462697,东风日产,9.98 - 14.30
3,哈弗H6,411928,长城汽车,9.80 - 15.49
4,五菱宏光,374878,上汽通用五菱,4.28 - 6.98
5,卡罗拉,348840,一汽丰田,10.98 - 15.98
6,宝来,333528,一汽-大众,9.88 - 15.70
7,速腾,307323,一汽-大众,12.89 - 19.29
8,英朗,279280,上汽通用别克,11.99 - 12.59
9,桑塔纳,251174,上汽大众,8.69 - 11.59
10,思域,243966,东风本田,11.99 - 16.99
11,博越,232327,吉利汽车,8.88 - 15.68
12,雅阁,223706,广汽本田,17.98 - 25.98
13,雷凌,213906,广汽丰田,11.38 - 15.28
14,本田CR-V,213305,东风本田,16.98 - 27.68
15,奇骏,207776,东风日产,18.88 - 27.33
16,长安CS75,194761,长安汽车,10.39 - 11.99
17,帕萨特,193502,上汽大众,18.59 - 28.29
18,途观L,188495,上汽大众,21.58 - 31.18
19,凯美瑞,185245,广汽丰田,17.98 - 27.98
20,帝豪,182514,吉利汽车,6.98 - 9.88
21,逍客,179773,东风日产,15.49 - 18.89
22,探岳,179428,一汽-大众,18.59 - 31.39
23,迈腾,169241,一汽-大众,18.69 - 30.99
24,奥迪A4L,167689,一汽-大众奥迪,30.58 - 39.68
25,宝马5系,163436,华晨宝马,42.69 - 54.99
26,五菱荣光V,159806,上汽通用五菱,3.98 - 4.98
27,宝骏510,158138,上汽通用五菱,5.08 - 8.08
28,奔驰C级,157390,北京奔驰,30.78 - 47.48
29,捷达,156913,一汽-大众,7.98 - 10.68
30,凌派,154053,广汽本田,9.98 - 16.98
31,奔驰E级,153881,北京奔驰,42.98 - 64.28
32,别克GL8,148121,上汽通用别克,23.29 - 52.99
33,本田XR-V,147203,东风本田,12.79 - 17.59
34,奔驰GLC,143727,北京奔驰,39.48 - 58.78
35,长安CS35,141482,长安汽车,6.39 - 8.79
36,哈弗F7,140770,长城汽车,11.18 - 15.18
37,领动,140322,北京现代,10.98 - 14.68
38,途岳,138235,上汽大众,16.58 - 22.38
39,缤越,136325,吉利汽车,7.58 - 11.98
40,奥迪Q5L,135800,一汽-大众奥迪,38.78 - 49.80
41,昂科威,132568,上汽通用别克,18.99 - 27.99
42,北京现代ix35,130994,北京现代,11.99 - 16.19
43,奥迪A6L,129529,一汽-大众奥迪,40.98 - 65.38
44,荣威i5,128395,上汽集团,6.89 - 11.59
45,捷途X70,127524,奇瑞汽车,6.99 - 12.29
46,T-ROC探歌,126859,一汽-大众,13.58 - 20.49
47,荣威RX5,126482,上汽集团,9.98 - 13.98
48,RAV4荣放,125977,一汽丰田,17.48 - 25.88
49,君威,123299,上汽通用别克,17.28 - 25.98
50,宝马X3,121500,华晨宝马,38.98 - 47.98
51,科鲁泽,118917,上汽通用雪佛兰,8.99 - 12.29
52,哈弗M6,118811,长城汽车,6.60 - 9.29
53,缤智,117064,广汽本田,12.78 - 17.68
54,瑞虎8,116494,奇瑞汽车,8.88 - 15.99
55,长安CS55,112202,长安汽车,8.29 - 13.39
56,飞度,110380,广汽本田,7.38 - 10.88
57,宝马3系,109133,华晨宝马,29.39 - 40.99
58,传祺GS4,103360,广汽乘用车,8.98 - 15.18
59,帝豪GS,101971,吉利汽车,7.78 - 11.68
60,高尔夫,101851,一汽-大众,12.98 - 18.02
61,科沃兹,101765,上汽通用雪佛兰,7.99 - 9.99
62,凌渡,101505,上汽大众,14.29 - 19.69
63,马自达3 昂克赛拉,98553,长安马自达,11.59 - 18.99
64,汉兰达,98506,广汽丰田,23.98 - 32.58
65,宝骏730,98221,上汽通用五菱,6.08 - 10.88
66,悦动,97893,北京现代,8.49 - 11.59
67,天籁,97872,东风日产,17.98 - 26.98
68,宝马X1,97349,华晨宝马,27.88 - 33.98
69,菲斯塔,95089,北京现代,11.98 - 15.48
70,远景X3,94935,吉利汽车,4.99 - 6.89
71,北汽新能源EU,93636,北汽新能源,7.98 - 7.98
72,名爵ZS,93298,上汽名爵,7.88 - 11.28
73,赛欧,90173,上汽通用雪佛兰,6.29 - 7.99
74,智跑,85708,东风悦达起亚,11.99 - 14.89
75,欧蓝德,84960,广汽三菱,15.98 - 22.58
76,奥迪A3,84600,一汽-大众奥迪,19.32 - 26.85
77,绅宝D50,83844,BEIJING汽车,6.99 - 9.99
78,缤瑞,83548,吉利汽车,7.58 - 11.08
79,沃尔沃XC60,83280,沃尔沃亚太,36.29 - 47.09
80,宝骏530,83079,上汽通用五菱,7.08 - 11.58
81,远景X6,81952,吉利汽车,6.89 - 9.99
82,远景,79994,吉利汽车,4.99 - 7.39
83,宋Pro,79466,比亚迪,8.98 - 12.99
84,风光580,79133,东风小康,7.99 - 12.30
85,焕驰,77301,东风悦达起亚,6.49 - 6.89
86,骐达TIIDA,76195,东风日产,9.99 - 13.59
87,YARiS L 致炫,74964,广汽丰田,7.78 - 10.38
88,途昂,74944,上汽大众,29.99 - 45.99
89,帝豪GL,74775,吉利汽车,7.78 - 13.98
90,迈锐宝,74741,上汽通用雪佛兰,16.49 - 18.99
91,威朗,74183,上汽通用别克,15.29 - 18.29
92,荣威Ei5,73933,上汽集团,12.88 - 16.11
93,Polo,73688,上汽大众,9.99 - 12.39
94,传祺GS3,72607,广汽乘用车,7.68 - 11.38
95,艾瑞泽GX,71614,奇瑞汽车,7.59 - 11.39
96,冠道,71552,广汽本田,22.00 - 33.28
97,奔驰A级,69647,北京奔驰,21.18 - 29.98
98,启辰D60,69021,东风启辰,6.98 - 9.88
99,逸动,67511,长安汽车,7.29 - 10.39
100,蓝鸟,66655,东风日产,9.59 - 13.39
101,丰田C-HR,65115,广汽丰田,14.18 - 18.08
102,福睿斯,64086,长安福特,8.08 - 11.68
103,明锐,63471,上汽斯柯达,9.99 - 16.14
104,宋MAX,63018,比亚迪,7.99 - 12.99
105,菱智,62637,东风风行,5.99 - 9.99
106,凯迪拉克XT5,62576,通用凯迪拉克,32.97 - 47.27
107,奥迪Q3,62561,一汽-大众奥迪,27.18 - 36.18
108,宝骏360,62284,上汽通用五菱,5.68 - 8.08
109,元新能源,61900,比亚迪,8.99 - 13.99
110,亚洲龙,60667,一汽丰田,19.98 - 28.98
111,途铠,60565,上汽大众,11.49 - 15.99
112,五菱荣光,60318,上汽通用五菱,3.68 - 5.38
113,瑞虎5x,60245,奇瑞汽车,5.99 - 11.09
114,宝骏E100,60050,上汽通用五菱,4.98 - 5.98
115,风光S560,59417,东风小康,6.59 - 9.69
116,威驰,59329,一汽丰田,7.38 - 11.18
117,名爵6,58660,上汽名爵,9.38 - 14.28
118,WEY VV6,57724,长城汽车,14.80 - 17.50
119,INSPIRE,56266,东风本田,18.28 - 24.98
120,瑞纳,54797,北京现代,4.99 - 7.39
121,众泰T300,53213,众泰汽车,0.00 - 0.00
