排名,厂商,销量,占销量份额
1,上汽大众,1368089,7.02%
2,一汽-大众,1248704,6.41%
3,吉利汽车,1115289,5.73%
4,东风日产,1093091,5.61%
5,上汽通用别克,874143,4.49%
6,东风本田,843728,4.33%
7,广汽本田,792200,4.07%
8,长安汽车,789183,4.05%
9,一汽丰田,768597,3.95%
10,广汽丰田,761364,3.91%
11,上汽通用五菱,667295,3.43%
12,长城汽车,644965,3.31%
13,一汽-大众奥迪,633182,3.25%
14,华晨宝马,609161,3.13%
15,北京奔驰,589128,3.02%
16,上汽通用五菱,512091,2.63%
17,奇瑞汽车,448327,2.3%
18,上汽集团,435550,2.24%
19,北京现代,433848,2.23%
20,比亚迪,404279,2.08%
21,长城汽车,385390,1.98%
22,广汽乘用车,300681,1.54%
23,东风悦达起亚,252516,1.3%
24,上汽名爵,241664,1.24%
25,长安福特,210963,1.08%
26,上汽通用雪佛兰,179734,0.92%
27,一汽-大众捷达,159862,0.82%
28,沃尔沃亚太,156089,0.8%
29,上汽通用五菱,149517,0.77%
30,长安马自达,137300,0.7%
31,通用凯迪拉克,122778,0.63%
32,一汽红旗,105038,0.54%
33,东风风行,96340,0.49%
34,江淮汽车,95756,0.49%
35,一汽奔腾,87702,0.45%
36,领克,87192,0.45%
37,一汽马自达,85676,0.44%
38,东风启辰,80441,0.41%
39,上汽斯柯达,77768,0.4%
40,广汽三菱,74802,0.38%
41,东风小康,73588,0.38%
42,SWM斯威汽车,66349,0.34%
43,长安汽车,58950,0.3%
44,奇瑞汽车,55619,0.29%
45,上汽大通,48157,0.25%
46,蔚来,44493,0.23%
47,东风乘用车,42115,0.22%
48,华晨鑫源,40992,0.21%
49,广汽菲克Jeep,40607,0.21%
50,BEIJING汽车,40296,0.21%
51,比速汽车,40193,0.21%
52,奇瑞捷豹路虎,38435,0.2%
53,奇瑞捷豹路虎,37644,0.19%
54,特斯拉中国,37555,0.19%
55,东风小康,37106,0.19%
56,长安林肯,34103,0.18%
57,广汽埃安,31216,0.16%
58,长城汽车,30324,0.16%
59,福建奔驰,29922,0.15%
60,理想,29728,0.15%
61,凯翼汽车,29493,0.15%
62,江铃福特,26520,0.14%
63,东风英菲尼迪,25695,0.13%
64,北京越野,25134,0.13%
65,威马汽车,20901,0.11%
66,东风雪铁龙,20160,0.1%
67,北汽新能源,19180,0.1%
68,星途,18251,0.09%
69,小鹏汽车,18114,0.09%
70,长城新能源,17294,0.09%
71,潍柴汽车,16755,0.09%
72,吉利新能源,16110,0.08%
73,长安铃木,15666,0.08%
74,东风标致,15560,0.08%
75,合众汽车,13905,0.07%
76,上汽通用五菱新能源,12997,0.07%
77,观致汽车,12140,0.06%
78,广汽讴歌,11194,0.06%
79,华晨雷诺,10543,0.05%
80,几何汽车,9553,0.05%
81,宝沃汽车,8703,0.04%
82,东南汽车,8548,0.04%
83,郑州日产,7676,0.04%
84,郑州日产,7650,0.04%
85,福田商用车,6850,0.04%
86,广汽丰田新能源,6828,0.04%
87,东风本田,6579,0.03%
88,北汽昌河,6442,0.03%
89,昌河铃木,6205,0.03%
90,汉腾汽车,6067,0.03%
91,海马汽车,5894,0.03%
92,领途汽车,5148,0.03%
93,华晨中华,4991,0.03%
94,云度新能源,4470,0.02%
95,野马汽车,4229,0.02%
96,,3914,0.02%
97,长安汽车新能源,3653,0.02%
98,江铃集团新能源,3483,0.02%
99,众泰汽车,3173,0.02%
100,福汽新龙马,3040,0.02%
101,零跑汽车,3024,0.02%
102,江淮新能源,2474,0.01%
103,腾势汽车,2437,0.01%
104,广汽理念,2380,0.01%
105,北京汽车制造厂,2248,0.01%
106,北汽幻速,2124,0.01%
107,上汽集团,2034,0.01%
108,江西五十铃,1719,0.01%
109,长安凯程,1625,0.01%
110,江铃汽车,1566,0.01%
111,东风雷诺,1418,0.01%
112,开瑞汽车,1296,0.01%
113,奇瑞新能源,1166,0.01%
114,国机智骏,1153,0.01%
115,金康赛力斯,1051,0.01%
116,爱驰汽车,881,-
117,吉麦新能源,829,-
118,云雀汽车,810,-
119,众泰新能源,730,-
120,广汽蔚来,659,-
121,福田汽车,482,-
122,力帆汽车,425,-
123,北汽昌河,400,-
124,大运汽车,337,-
125,陆风汽车,324,-
126,DS汽车,275,-
127,广汽三菱新能源,195,-
128,新特汽车,138,-
129,江淮大众,91,-
130,福迪汽车,68,-
131,郑州日产新能源,37,-
132,一汽海马,36,-
133,雷丁,29,-
134,北汽昌河新能源,21,-
135,东风裕隆,14,-
136,广汽本田新能源,1,-
