排名,厂商,销量,占销量份额
1,上汽大众,1713025,7.35%
2,一汽-大众,1393615,5.98%
3,吉利汽车,1353479,5.81%
4,东风日产,1087228,4.67%
5,上汽通用别克,1066629,4.58%
6,上汽通用五菱,871074,3.74%
7,北京现代,798691,3.43%
8,上汽通用五菱,772458,3.32%
9,长城汽车,765045,3.28%
10,广汽本田,733035,3.15%
11,东风本田,723743,3.11%
12,一汽丰田,715727,3.07%
13,长安汽车,663823,2.85%
14,一汽-大众奥迪,603688,2.59%
15,广汽丰田,580008,2.49%
16,上汽通用雪佛兰,547022,2.35%
17,广汽乘用车,515676,2.21%
18,比亚迪,500028,2.15%
19,北京奔驰,485006,2.08%
20,上汽集团,470092,2.02%
21,华晨宝马,455810,1.96%
22,奇瑞汽车,411110,1.76%
23,长安福特,377585,1.62%
24,东风悦达起亚,370313,1.59%
25,上汽斯柯达,342573,1.47%
26,上汽名爵,231093,0.99%
27,通用凯迪拉克,228044,0.98%
28,东风小康,221808,0.95%
29,众泰汽车,210827,0.9%
30,长安汽车,174667,0.75%
31,长安马自达,166299,0.71%
32,江淮汽车,165388,0.71%
33,北汽幻速,158083,0.68%
34,广汽三菱,143448,0.62%
35,长城汽车,136288,0.58%
36,东风启辰,132068,0.57%
37,东风标致,131370,0.56%
38,东风风行,128437,0.55%
39,广汽菲克Jeep,124800,0.54%
40,领克,120414,0.52%
41,东风雪铁龙,114197,0.49%
42,一汽马自达,110300,0.47%
43,北汽新能源,109699,0.47%
44,沃尔沃亚太,109415,0.47%
45,BEIJING汽车,108560,0.47%
46,东风乘用车,95311,0.41%
47,华泰汽车,86236,0.37%
48,一汽奔腾,85580,0.37%
49,东南汽车,76676,0.33%
50,华晨中华,75003,0.32%
51,比速汽车,67786,0.29%
52,华晨鑫源,64095,0.28%
53,观致汽车,63179,0.27%
54,猎豹汽车,59632,0.26%
55,开瑞汽车,58157,0.25%
56,SWM斯威汽车,56377,0.24%
57,汉腾汽车,55186,0.24%
58,北汽昌河,54123,0.23%
59,东风雷诺,50112,0.22%
60,江铃集团新能源,43869,0.19%
61,长安铃木,41046,0.18%
62,北京越野,40971,0.18%
63,奇瑞捷豹路虎,40481,0.17%
64,一汽海马,40232,0.17%
65,奇瑞汽车,40009,0.17%
66,一汽吉林,38485,0.17%
67,东风小康,37419,0.16%
68,力帆汽车,34870,0.15%
69,宝沃汽车,32942,0.14%
70,江淮新能源,32691,0.14%
71,一汽红旗,31443,0.13%
72,奇瑞新能源,30074,0.13%
73,东风英菲尼迪,28868,0.12%
74,福建奔驰,27439,0.12%
75,奇瑞捷豹路虎,27310,0.12%
76,华晨雷诺,26098,0.11%
77,海马汽车,24989,0.11%
78,华泰新能源,24979,0.11%
79,众泰新能源,22097,0.09%
80,北汽昌河,21872,0.09%
81,君马汽车,21521,0.09%
82,上汽大通,21059,0.09%
83,郑州日产,20266,0.09%
84,福田汽车,18582,0.08%
85,郑州日产,18154,0.08%
86,凯翼汽车,18061,0.08%
87,广汽埃安,16641,0.07%
88,野马汽车,16594,0.07%
89,昌河铃木,15872,0.07%
90,知豆电动车,15336,0.07%
91,潍柴汽车,13724,0.06%
92,蔚来,12807,0.05%
93,吉利新能源,12486,0.05%
94,天津一汽,12278,0.05%
95,长安汽车新能源,10914,0.05%
96,长城汽车,9491,0.04%
97,江铃汽车,6892,0.03%
98,广汽讴歌,6853,0.03%
99,东风裕隆,6741,0.03%
100,云度新能源,6654,0.03%
101,江铃福特,5699,0.02%
102,福汽新龙马,3558,0.02%
103,大乘汽车,3489,0.01%
104,北京汽车制造厂,3377,0.01%
105,DS汽车,3355,0.01%
106,江西五十铃,2999,0.01%
107,东风风度,2506,0.01%
108,长城新能源,2098,0.01%
109,腾势汽车,1974,0.01%
110,康迪电动汽车集团,1803,0.01%
111,电咖汽车,1735,0.01%
112,绵阳金杯,1524,0.01%
113,福迪汽车,1414,0.01%
114,福田商用车,1161,-
115,华晨华颂,1069,-
116,长安汽车,836,-
117,长安凯程,771,-
118,广汽菲克菲亚特,381,-
119,东风悦达起亚,169,-
120,广汽理念,100,-
121,小鹏汽车,41,-
122,,1,-
