排名,厂商,销量,占销量份额
1,上汽大众,1050005,7.62%
2,一汽-大众,1000188,7.26%
3,北京现代,843488,6.12%
4,上汽通用五菱,840078,6.1%
5,东风日产,729333,5.29%
6,上汽通用别克,673307,4.89%
7,上汽通用雪佛兰,639467,4.64%
8,一汽丰田,495477,3.6%
9,吉利汽车,487643,3.54%
10,东风悦达起亚,480443,3.49%
11,比亚迪,456056,3.31%
12,长安福特,418501,3.04%
13,一汽-大众奥迪,323508,2.35%
14,奇瑞汽车,297133,2.16%
15,广汽本田,291784,2.12%
16,东风本田,282171,2.05%
17,广汽丰田,250069,1.82%
18,上汽斯柯达,230003,1.67%
19,东风小康,202991,1.47%
20,江淮汽车,200996,1.46%
21,长城汽车,196522,1.43%
22,天津一汽,185018,1.34%
23,力帆汽车,180862,1.31%
24,长安铃木,170037,1.23%
25,东风雪铁龙,166929,1.21%
26,长安汽车,149936,1.09%
27,东风标致,148042,1.07%
28,华晨中华,142270,1.03%
29,东风风行,136501,0.99%
30,海马汽车,128565,0.93%
31,华晨宝马,126733,0.92%
32,上汽集团,122544,0.89%
33,一汽红旗,121191,0.88%
34,一汽马自达,105088,0.76%
35,长安汽车,94923,0.69%
36,北京奔驰,93664,0.68%
37,众泰汽车,91731,0.67%
38,一汽吉林,90942,0.66%
39,上汽通用五菱,88242,0.64%
40,昌河铃木,83434,0.61%
41,东南汽车,79083,0.57%
42,上汽名爵,77481,0.56%
43,一汽奔腾,75011,0.54%
44,长安马自达,67262,0.49%
45,东风乘用车,60201,0.44%
46,北汽昌河,46368,0.34%
47,莲花汽车,45421,0.33%
48,一汽海马,44020,0.32%
49,东风启辰,41805,0.3%
50,哈飞汽车,40353,0.29%
51,华泰汽车,34071,0.25%
52,广汽乘用车,32432,0.24%
53,东风裕隆,31106,0.23%
54,北汽昌河,30031,0.22%
55,郑州日产,27314,0.2%
56,广汽理念,24576,0.18%
57,东南三菱,23505,0.17%
58,郑州日产,20319,0.15%
59,BEIJING汽车,20203,0.15%
60,猎豹汽车,17293,0.13%
61,华晨雷诺,16077,0.12%
62,开瑞汽车,15841,0.11%
63,曙光汽车,12968,0.09%
64,江铃集团新能源,12782,0.09%
65,广汽吉奥,12592,0.09%
66,广汽菲克菲亚特,9104,0.07%
67,福建奔驰,7465,0.05%
68,野马汽车,7229,0.05%
69,福田汽车,7119,0.05%
70,北京汽车制造厂,5313,0.04%
71,一汽欧朗,4904,0.04%
72,江铃轻卡,3446,0.03%
73,奇瑞威麟,2727,0.02%
74,广汽三菱,1945,0.01%
75,奇瑞瑞麒,1842,0.01%
76,陆风汽车,463,-
