排名,厂商,销量,占销量份额
1,上汽大众,1726364,8.02%
2,一汽-大众,1423394,6.61%
3,吉利汽车,1178009,5.47%
4,东风日产,1171181,5.44%
5,上汽通用别克,876946,4.07%
6,东风本田,800582,3.72%
7,长城汽车,793807,3.69%
8,广汽本田,767340,3.56%
9,一汽丰田,703112,3.27%
10,北京现代,701541,3.26%
11,广汽丰田,697674,3.24%
12,长安汽车,647012,3%
13,上汽通用五菱,637940,2.96%
14,一汽-大众奥迪,619211,2.88%
15,华晨宝马,572937,2.66%
16,北京奔驰,565644,2.63%
17,上汽通用五菱,541133,2.51%
18,上汽通用雪佛兰,512455,2.38%
19,上汽集团,449899,2.09%
20,比亚迪,441807,2.05%
21,奇瑞汽车,399798,1.86%
22,广汽乘用车,369759,1.72%
23,东风悦达起亚,291176,1.35%
24,上汽斯柯达,275832,1.28%
25,上汽名爵,236149,1.1%
26,通用凯迪拉克,217766,1.01%
27,长安福特,186361,0.87%
28,东风小康,181923,0.84%
29,沃尔沃亚太,142631,0.66%
30,奇瑞汽车,139025,0.65%
31,长安马自达,133608,0.62%
32,广汽三菱,132088,0.61%
33,BEIJING汽车,131284,0.61%
34,领克,128063,0.59%
35,北汽新能源,122889,0.57%
36,东风启辰,120168,0.56%
37,东风风行,116153,0.54%
38,一汽奔腾,114861,0.53%
39,众泰汽车,113281,0.53%
40,长安汽车,108766,0.51%
41,江淮汽车,106046,0.49%
42,长城汽车,99984,0.46%
43,一汽红旗,95258,0.44%
44,一汽马自达,90596,0.42%
45,广汽菲克Jeep,73780,0.34%
46,华晨鑫源,72911,0.34%
47,东风标致,59588,0.28%
48,上汽大通,59251,0.28%
49,东风乘用车,58591,0.27%
50,宝沃汽车,54528,0.25%
51,SWM斯威汽车,54235,0.25%
52,北汽幻速,52501,0.24%
53,东风雪铁龙,50278,0.23%
54,比速汽车,49928,0.23%
55,江铃福特,47476,0.22%
56,吉利新能源,45856,0.21%
57,广汽埃安,41901,0.19%
58,东风小康,40203,0.19%
59,上汽通用五菱,39433,0.18%
60,奇瑞新能源,39125,0.18%
61,长城新能源,38865,0.18%
62,汉腾汽车,36667,0.17%
63,君马汽车,36375,0.17%
64,东风英菲尼迪,35035,0.16%
65,奇瑞捷豹路虎,33839,0.16%
66,江淮新能源,31557,0.15%
67,北京越野,28776,0.13%
68,福建奔驰,28180,0.13%
69,华泰汽车,27627,0.13%
70,长安汽车新能源,26261,0.12%
71,华晨雷诺,25649,0.12%
72,东南汽车,25408,0.12%
73,华晨中华,25119,0.12%
74,上汽通用五菱新能源,22797,0.11%
75,观致汽车,22154,0.1%
76,蔚来,20139,0.09%
77,凯翼汽车,20040,0.09%
78,奇瑞捷豹路虎,19922,0.09%
79,猎豹汽车,19429,0.09%
80,东风雷诺,18607,0.09%
81,长安铃木,17636,0.08%
82,小鹏汽车,16609,0.08%
83,星途,15994,0.07%
84,北汽昌河,15516,0.07%
85,郑州日产,15157,0.07%
86,广汽讴歌,13733,0.06%
87,开瑞汽车,13723,0.06%
88,几何汽车,12662,0.06%
89,福田商用车,10277,0.05%
90,郑州日产,10158,0.05%
91,潍柴汽车,10003,0.05%
92,长安汽车,9995,0.05%
93,长安凯程,8716,0.04%
94,海马汽车,8456,0.04%
95,昌河铃木,8019,0.04%
96,大乘汽车,6889,0.03%
97,江铃汽车,6040,0.03%
98,华泰新能源,5786,0.03%
99,北汽昌河,5728,0.03%
100,力帆汽车,4129,0.02%
101,天津一汽,3991,0.02%
102,江淮大众,3875,0.02%
103,福田汽车,3669,0.02%
104,一汽吉林,3520,0.02%
105,江铃集团新能源,3445,0.02%
106,领途汽车,3338,0.02%
107,众泰新能源,3117,0.01%
108,长城汽车,3106,0.01%
109,一汽海马,2965,0.01%
110,云度新能源,2566,0.01%
111,福汽新龙马,2368,0.01%
112,新特汽车,2192,0.01%
113,腾势汽车,2089,0.01%
114,DS汽车,2059,0.01%
115,北京汽车制造厂,2044,0.01%
116,广汽丰田新能源,2043,0.01%
117,江西五十铃,1678,0.01%
118,广汽理念,1316,0.01%
119,华晨华颂,1184,0.01%
120,野马汽车,900,-
121,东风裕隆,718,-
122,东风悦达起亚,618,-
123,东风本田,565,-
124,福迪汽车,543,-
125,知豆电动车,486,-
126,东风风度,463,-
127,北汽新能源,314,-
128,北汽昌河新能源,181,-
129,绵阳金杯,149,-
130,广汽三菱新能源,103,-
131,广汽菲克菲亚特,25,-
132,郑州日产新能源,20,-
