排名,厂商,销量,占销量份额
1,上汽大众,1293808,7.57%
2,一汽-大众,1101887,6.45%
3,北京现代,1030705,6.03%
4,上汽通用五菱,1003132,5.87%
5,东风日产,819958,4.8%
6,上汽通用别克,807701,4.73%
7,上汽通用雪佛兰,714673,4.18%
8,长安福特,678951,3.97%
9,一汽丰田,554661,3.25%
10,吉利汽车,549393,3.22%
11,东风悦达起亚,546765,3.2%
12,比亚迪,506189,2.96%
13,广汽本田,421537,2.47%
14,一汽-大众奥迪,411000,2.41%
15,长安汽车,342139,2%
16,东风本田,321409,1.88%
17,广汽丰田,303088,1.77%
18,奇瑞汽车,289902,1.7%
19,长城汽车,279721,1.64%
20,长安汽车,258356,1.51%
21,东风雪铁龙,234765,1.37%
22,上汽斯柯达,231200,1.35%
23,东风标致,217505,1.27%
24,华晨中华,213579,1.25%
25,长城汽车,209109,1.22%
26,华晨宝马,207427,1.21%
27,东风小康,205019,1.2%
28,江淮汽车,203356,1.19%
29,东风风行,180189,1.05%
30,力帆汽车,172432,1.01%
31,上汽集团,152049,0.89%
32,长安铃木,147508,0.86%
33,东风小康,135708,0.79%
34,北汽昌河,135165,0.79%
35,众泰汽车,134027,0.78%
36,天津一汽,130511,0.76%
37,一汽奔腾,121189,0.71%
38,一汽马自达,117047,0.69%
39,北京奔驰,116007,0.68%
40,海马汽车,107512,0.63%
41,东风启辰,105425,0.62%
42,上汽通用五菱,100500,0.59%
43,东南汽车,97629,0.57%
44,东风乘用车,85326,0.5%
45,广汽乘用车,84602,0.5%
46,昌河铃木,83909,0.49%
47,一汽吉林,79968,0.47%
48,上汽名爵,77151,0.45%
49,莲花汽车,69622,0.41%
50,一汽海马,67936,0.4%
51,长安马自达,67239,0.39%
52,广汽菲克菲亚特,55108,0.32%
53,广汽三菱,43036,0.25%
54,郑州日产,38281,0.22%
55,华晨鑫源,36919,0.22%
56,SWM斯威汽车,36919,0.22%
57,东风裕隆,31266,0.18%
58,华泰汽车,28812,0.17%
59,猎豹汽车,24398,0.14%
60,郑州日产,22259,0.13%
61,BEIJING汽车,22103,0.13%
62,开瑞汽车,21640,0.13%
63,通用凯迪拉克,19999,0.12%
64,东南三菱,19505,0.11%
65,华晨雷诺,18581,0.11%
66,广汽吉奥,16315,0.1%
67,哈飞汽车,15764,0.09%
68,江铃集团新能源,15383,0.09%
69,江铃轻卡,15095,0.09%
70,北汽昌河,14755,0.09%
71,广汽理念,13913,0.08%
72,曙光汽车,11734,0.07%
73,福建奔驰,11204,0.07%
74,福田汽车,7914,0.05%
75,一汽欧朗,6223,0.04%
76,野马汽车,4662,0.03%
77,北京汽车制造厂,3232,0.02%
78,一汽红旗,2961,0.02%
79,奇瑞威麟,1614,0.01%
80,奇瑞瑞麒,1021,0.01%
81,浙江永源,629,-
82,陆风汽车,288,-
