排名,品牌名称,国别,销量,占品牌份额
1,大众,德国,2395695,13.88%
2,福特,美国,1131674,6.56%
3,现代,韩国,1030705,5.97%
4,五菱汽车,中国,1003132,5.81%
5,丰田,日本,857749,4.97%
6,日产,日本,857577,4.97%
7,别克,美国,807700,4.68%
8,本田,日本,727859,4.22%
9,雪佛兰,美国,714673,4.14%
10,起亚,韩国,546765,3.17%
11,比亚迪,中国,506189,2.93%
12,奥迪,德国,411000,2.38%
13,长安,中国,387103,2.24%
14,长安欧尚,中国,342139,1.98%
15,雪铁龙,法国,336315,1.95%
16,吉利,中国,323917,1.88%
17,奇瑞,中国,289902,1.68%
18,哈弗,中国,279762,1.62%
19,马自达,日本,242326,1.4%
20,铃木,日本,231417,1.34%
21,斯柯达,捷克,231200,1.34%
22,标致,法国,220274,1.28%
23,中华,中国,213579,1.24%
24,长城,中国,209109,1.21%
25,宝马,德国,207427,1.2%
26,东风风行,中国,180189,1.04%
27,一汽,中国,172971,1%
28,力帆汽车,中国,172432,1%
29,莲花汽车,中国,163467,0.95%
30,荣威,中国,152049,0.88%
31,海马,中国,150698,0.87%
32,江淮,中国,147049,0.85%
33,东风小康,中国,135708,0.79%
34,北汽威旺,中国,135165,0.78%
35,众泰,中国,130775,0.76%
36,奔驰,德国,127211,0.74%
37,奔腾,中国,121189,0.7%
38,启辰,中国,105425,0.61%
39,宝骏,中国,100500,0.58%
40,东南,中国,97629,0.57%
41,广汽传祺,中国,84602,0.49%
42,东风风神,中国,80077,0.46%
43,名爵,中国,77151,0.45%
44,三菱,日本,62541,0.36%
45,金杯,中国,55500,0.32%
46,菲亚特,意大利,55108,0.32%
47,纳智捷,中国,31266,0.18%
48,华泰,中国,28812,0.17%
49,猎豹汽车,中国,24398,0.14%
50,开瑞,中国,21640,0.13%
51,凯迪拉克,美国,19999,0.12%
52,哈飞,中国,15764,0.09%
53,江铃,中国,15095,0.09%
54,理念,中国,13913,0.08%
55,广汽吉奥,中国,13801,0.08%
56,黄海,中国,11734,0.07%
57,北汽昌河,中国,11383,0.07%
58,BEIJING汽车,中国,10032,0.06%
59,福田,中国,7869,0.05%
60,欧朗,中国,6223,0.04%
61,东风,中国,5249,0.03%
62,北汽制造,中国,3232,0.02%
63,红旗,中国,2961,0.02%
64,威麟,中国,1614,0.01%
65,瑞麒,中国,1246,0.01%
66,永源,中国,629,-
67,陆风,中国,288,-
