排名,品牌名称,国别,销量,占品牌份额
1,大众,德国,2710503,13.7%
2,五菱汽车,中国,1404797,7.1%
3,福特,美国,1260069,6.37%
4,现代,韩国,1120047,5.66%
5,丰田,日本,956284,4.84%
6,别克,美国,917017,4.64%
7,日产,日本,875089,4.42%
8,本田,日本,772714,3.91%
9,雪佛兰,美国,766963,3.88%
10,起亚,韩国,646006,3.27%
11,长安,中国,526350,2.66%
12,奥迪,德国,513000,2.59%
13,比亚迪,中国,437725,2.21%
14,哈弗,中国,429328,2.17%
15,雪铁龙,法国,412529,2.09%
16,吉利,中国,404693,2.05%
17,长安欧尚,中国,394697,2%
18,奇瑞,中国,388207,1.96%
19,标致,法国,377531,1.91%
20,斯柯达,捷克,282390,1.43%
21,宝马,德国,279135,1.41%
22,铃木,日本,263232,1.33%
23,东风风行,中国,240899,1.22%
24,马自达,日本,197062,1%
25,北汽威旺,中国,185147,0.94%
26,宝骏,中国,181586,0.92%
27,奔腾,中国,179453,0.91%
28,海马,中国,172907,0.87%
29,众泰,中国,158951,0.8%
30,奔驰,德国,156352,0.79%
31,力帆汽车,中国,147847,0.75%
32,中华,中国,141231,0.71%
33,莲花汽车,中国,130418,0.66%
34,荣威,中国,127303,0.64%
35,广汽传祺,中国,116708,0.59%
36,江淮,中国,115086,0.58%
37,启辰,中国,113951,0.58%
38,东风小康,中国,113611,0.57%
39,一汽,中国,107501,0.54%
40,金杯,中国,97372,0.49%
41,长城,中国,91658,0.46%
42,北京,中国,91017,0.46%
43,北汽幻速,中国,84696,0.43%
44,东风风神,中国,79929,0.4%
45,三菱,日本,72473,0.37%
46,菲亚特,意大利,68090,0.34%
47,东南,中国,55555,0.28%
48,华泰,中国,54073,0.27%
49,名爵,中国,52715,0.27%
50,纳智捷,中国,52201,0.26%
51,BEIJING汽车,中国,46449,0.23%
52,凯迪拉克,美国,39922,0.2%
53,北汽昌河,中国,29515,0.15%
54,江铃,中国,27099,0.14%
55,猎豹汽车,中国,18341,0.09%
56,广汽吉奥,中国,14711,0.07%
57,开瑞,中国,14174,0.07%
58,DS,法国,9626,0.05%
59,福汽启腾,中国,8534,0.04%
60,黄海,中国,7616,0.04%
61,福田,中国,7264,0.04%
62,观致,中国,6517,0.03%
63,上汽MAXUS,中国,5065,0.03%
64,理念,中国,4547,0.02%
65,欧朗,中国,3757,0.02%
66,红旗,中国,2708,0.01%
67,英菲尼迪,日本,2441,0.01%
68,哈飞,中国,2044,0.01%
69,北汽制造,中国,1421,0.01%
70,东风,中国,1097,0.01%
71,威麟,中国,519,-
72,瑞麒,中国,406,-
73,陆风,中国,319,-
74,永源,中国,50,-
