排名,品牌名称,国别,销量,占品牌份额
1,大众,德国,3017824,13.01%
2,本田,日本,1466411,6.32%
3,吉利,中国,1365865,5.89%
4,丰田,日本,1228824,5.3%
5,日产,日本,1164156,5.02%
6,别克,美国,1066629,4.6%
7,宝骏,中国,870522,3.75%
8,现代,韩国,788326,3.4%
9,五菱汽车,中国,772458,3.33%
10,哈弗,中国,765045,3.3%
11,长安,中国,674469,2.91%
12,雪佛兰,美国,641320,2.77%
13,奥迪,德国,590024,2.54%
14,广汽传祺,中国,518573,2.24%
15,比亚迪,中国,489524,2.11%
16,奔驰,德国,487413,2.1%
17,荣威,中国,470092,2.03%
18,宝马,德国,455810,1.97%
19,奇瑞,中国,439132,1.89%
20,福特,美国,387679,1.67%
21,起亚,韩国,373209,1.61%
22,斯柯达,捷克,342571,1.48%
23,马自达,日本,290449,1.25%
24,众泰,中国,232926,1%
25,名爵,中国,231093,1%
26,凯迪拉克,美国,228043,0.98%
27,东风风光,中国,218998,0.94%
28,江淮,中国,194414,0.84%
29,长安欧尚,中国,181250,0.78%
30,北汽幻速,中国,158083,0.68%
31,三菱,日本,143448,0.62%
32,标致,法国,137381,0.59%
33,WEY,中国,135446,0.58%
34,启辰,中国,132068,0.57%
35,东风风行,中国,128437,0.55%
36,领克,中国,120414,0.52%
37,Jeep,美国,117300,0.51%
38,雪铁龙,法国,114197,0.49%
39,北汽新能源,中国,109627,0.47%
40,沃尔沃,瑞典,109415,0.47%
41,BEIJING汽车,中国,108560,0.47%
42,华泰,中国,106379,0.46%
43,东风风神,中国,95311,0.41%
44,奔腾,中国,85637,0.37%
45,东南,中国,84447,0.36%
46,中华,中国,75532,0.33%
47,金杯,中国,72296,0.31%
48,比速汽车,中国,67786,0.29%
49,观致,中国,67517,0.29%
50,猎豹汽车,中国,64762,0.28%
51,海马,中国,59325,0.26%
52,开瑞,中国,58607,0.25%
53,铃木,日本,56778,0.24%
54,SWM斯威汽车,中国,56377,0.24%
55,北汽昌河,中国,54123,0.23%
56,一汽,中国,50915,0.22%
57,雷诺,法国,50112,0.22%
58,江铃集团新能源,中国,44422,0.19%
59,北京,中国,40971,0.18%
60,路虎,英国,40481,0.17%
61,捷途,中国,40009,0.17%
62,东风小康,中国,39051,0.17%
63,力帆汽车,中国,33447,0.14%
64,宝沃,德国,32942,0.14%
65,红旗,中国,28445,0.12%
66,英菲尼迪,日本,27337,0.12%
67,捷豹,英国,27310,0.12%
68,江铃,中国,25927,0.11%
69,君马汽车,中国,21521,0.09%
70,东风,中国,21093,0.09%
71,上汽MAXUS,中国,21059,0.09%
72,北汽威旺,中国,20537,0.09%
73,福田,中国,18582,0.08%
74,凯翼,中国,18061,0.08%
75,野马汽车,中国,16218,0.07%
76,知豆,中国,15336,0.07%
77,潍柴汽车,中国,13724,0.06%
78,蔚来,中国,12807,0.06%
79,长城,中国,8781,0.04%
80,讴歌,日本,6853,0.03%
81,纳智捷,中国,6742,0.03%
82,云度,中国,6654,0.03%
83,福汽启腾,中国,3558,0.02%
84,大乘汽车,中国,3489,0.02%
85,北汽制造,中国,3377,0.01%
86,DS,法国,3355,0.01%
87,五十铃,日本,2999,0.01%
88,东风风度,中国,2506,0.01%
89,腾势,中国,1974,0.01%
90,全球鹰,中国,1803,0.01%
91,电咖汽车,中国,1735,0.01%
92,福迪,中国,1414,0.01%
93,华颂,中国,1069,-
94,长安凯程,中国,771,-
95,欧尚汽车,中国,435,-
96,菲亚特,意大利,381,-
97,理念,中国,100,-
98,小鹏汽车,中国,41,-
