排名,品牌名称,国别,销量,占品牌份额
1,大众,德国,2969350,12.44%
2,别克,美国,1229804,5.15%
3,本田,日本,1196677,5.01%
4,现代,韩国,1158232,4.85%
5,五菱汽车,中国,1121862,4.7%
6,丰田,日本,1064173,4.46%
7,福特,美国,1061464,4.45%
8,日产,日本,1017291,4.26%
9,哈弗,中国,938019,3.93%
10,吉利,中国,767177,3.21%
11,宝骏,中国,760559,3.19%
12,长安,中国,760260,3.19%
13,起亚,韩国,647346,2.71%
14,雪佛兰,美国,538667,2.26%
15,奥迪,德国,536289,2.25%
16,比亚迪,中国,489017,2.05%
17,奇瑞,中国,467895,1.96%
18,长安欧尚,中国,422702,1.77%
19,广汽传祺,中国,378117,1.58%
20,江淮,中国,359217,1.51%
21,标致,法国,349364,1.46%
22,斯柯达,捷克,330088,1.38%
23,众泰,中国,323681,1.36%
24,奔驰,德国,310578,1.3%
25,宝马,德国,303208,1.27%
26,雪铁龙,法国,268672,1.13%
27,马自达,日本,268566,1.13%
28,北汽幻速,中国,268535,1.13%
29,东风风行,中国,261300,1.1%
30,BEIJING汽车,中国,242882,1.02%
31,荣威,中国,241326,1.01%
32,海马,中国,213865,0.9%
33,北汽威旺,中国,182728,0.77%
34,金杯,中国,168669,0.71%
35,中华,中国,165549,0.69%
36,铃木,日本,151603,0.64%
37,东风风神,中国,149306,0.63%
38,Jeep,美国,133391,0.56%
39,启辰,中国,114383,0.48%
40,东南,中国,113583,0.48%
41,凯迪拉克,美国,111532,0.47%
42,力帆汽车,中国,100589,0.42%
43,奔腾,中国,95630,0.4%
44,一汽,中国,86567,0.36%
45,名爵,中国,80391,0.34%
46,猎豹汽车,中国,76499,0.32%
47,华泰,中国,73029,0.31%
48,北汽昌河,中国,60623,0.25%
49,东风风光,中国,60057,0.25%
50,三菱,日本,58491,0.25%
51,东风小康,中国,51254,0.21%
52,凯翼,中国,43025,0.18%
53,江铃,中国,41308,0.17%
54,纳智捷,中国,40500,0.17%
55,路虎,英国,39316,0.16%
56,野马汽车,中国,38293,0.16%
57,潍柴汽车,中国,34324,0.14%
58,北京,中国,31566,0.13%
59,长城,中国,30831,0.13%
60,沃尔沃,瑞典,27808,0.12%
61,观致,中国,26662,0.11%
62,雷诺,法国,25612,0.11%
63,福田,中国,25332,0.11%
64,英菲尼迪,日本,21521,0.09%
65,上汽MAXUS,中国,18981,0.08%
66,DS,法国,16123,0.07%
67,菲亚特,意大利,13049,0.05%
68,开瑞,中国,11938,0.05%
69,知豆,中国,9091,0.04%
70,东风风度,中国,7590,0.03%
71,讴歌,日本,6842,0.03%
72,福汽启腾,中国,5863,0.02%
73,捷豹,英国,5644,0.02%
74,宝沃,德国,5556,0.02%
75,红旗,中国,4815,0.02%
76,华颂,中国,4529,0.02%
77,东风,中国,4201,0.02%
78,理念,中国,4173,0.02%
79,北汽新能源,中国,4128,0.02%
80,比速汽车,中国,3885,0.02%
81,腾势,中国,2287,0.01%
82,全球鹰,中国,2065,0.01%
83,五十铃,日本,1806,0.01%
84,威麟,中国,1348,0.01%
85,北汽制造,中国,885,-
86,广汽吉奥,中国,878,-
87,永源,中国,514,-
88,欧朗,中国,205,-
89,瑞麒,中国,170,-
90,黄海,中国,50,-
91,中兴,中国,2,-
