排名,品牌名称,国别,销量,占品牌份额
1,大众,德国,2050193,14.45%
2,五菱汽车,中国,840078,5.92%
3,福特,美国,766868,5.41%
4,现代,韩国,765556,5.4%
5,日产,日本,749652,5.28%
6,丰田,日本,745546,5.26%
7,别克,美国,697441,4.92%
8,雪佛兰,美国,639469,4.51%
9,本田,日本,559866,3.95%
10,奇瑞,中国,495330,3.49%
11,起亚,韩国,480443,3.39%
12,比亚迪,中国,456056,3.21%
13,长安,中国,390778,2.75%
14,奥迪,德国,323508,2.28%
15,吉利,中国,308021,2.17%
16,马自达,日本,304059,2.14%
17,雪铁龙,法国,283971,2%
18,长城,中国,266822,1.88%
19,铃木,日本,253471,1.79%
20,斯柯达,捷克,230003,1.62%
21,一汽,中国,225417,1.59%
22,力帆汽车,中国,180862,1.27%
23,江淮,中国,155165,1.09%
24,标致,法国,148042,1.04%
25,中华,中国,142270,1%
26,东风风行,中国,136501,0.96%
27,海马,中国,128747,0.91%
28,宝马,德国,126733,0.89%
29,荣威,中国,122544,0.86%
30,莲花汽车,中国,118662,0.84%
31,奔驰,德国,101129,0.71%
32,长安欧尚,中国,94923,0.67%
33,宝骏,中国,88242,0.62%
34,众泰,中国,82661,0.58%
35,东南,中国,79083,0.56%
36,名爵,中国,77481,0.55%
37,奔腾,中国,75011,0.53%
38,东风风神,中国,59950,0.42%
39,北汽威旺,中国,46368,0.33%
40,启辰,中国,41805,0.29%
41,哈飞,中国,40353,0.28%
42,华泰,中国,34071,0.24%
43,广汽传祺,中国,32432,0.23%
44,纳智捷,中国,31106,0.22%
45,东风,中国,27314,0.19%
46,三菱,日本,25450,0.18%
47,理念,中国,24576,0.17%
48,北汽昌河,中国,24224,0.17%
49,猎豹汽车,中国,17237,0.12%
50,金杯,中国,16077,0.11%
51,开瑞,中国,15841,0.11%
52,黄海,中国,12968,0.09%
53,广汽吉奥,中国,9597,0.07%
54,菲亚特,意大利,9104,0.06%
55,福田,中国,6861,0.05%
56,北汽制造,中国,5313,0.04%
57,欧朗,中国,4904,0.03%
58,江铃,中国,3446,0.02%
59,威麟,中国,2727,0.02%
60,瑞麒,中国,2588,0.02%
61,陆风,中国,463,-
62,红旗,中国,127,-
