排名,品牌名称,国别,销量,占品牌份额
1,大众,德国,3149758,14.67%
2,本田,日本,1567922,7.3%
3,丰田,日本,1400786,6.52%
4,吉利,中国,1223865,5.7%
5,日产,日本,1186338,5.53%
6,别克,美国,876946,4.08%
7,哈弗,中国,793807,3.7%
8,现代,韩国,701541,3.27%
9,长安,中国,673273,3.14%
10,五菱汽车,中国,637940,2.97%
11,奥迪,德国,619211,2.88%
12,奔驰,德国,593824,2.77%
13,宝马,德国,572937,2.67%
14,宝骏,中国,541133,2.52%
15,雪佛兰,美国,512455,2.39%
16,荣威,中国,449899,2.1%
17,比亚迪,中国,441807,2.06%
18,奇瑞,中国,438923,2.04%
19,广汽传祺,中国,369759,1.72%
20,起亚,韩国,291176,1.36%
21,斯柯达,捷克,275832,1.28%
22,名爵,中国,236149,1.1%
23,福特,美国,233837,1.09%
24,马自达,日本,224204,1.04%
25,凯迪拉克,美国,217766,1.01%
26,东风风光,中国,181923,0.85%
27,沃尔沃,瑞典,142631,0.66%
28,捷途,中国,139025,0.65%
29,江淮,中国,137603,0.64%
30,三菱,日本,132088,0.62%
31,BEIJING汽车,中国,131284,0.61%
32,领克,中国,128063,0.6%
33,北汽新能源,中国,122889,0.57%
34,启辰,中国,120168,0.56%
35,众泰,中国,116398,0.54%
36,东风风行,中国,116153,0.54%
37,奔腾,中国,114861,0.54%
38,长安欧尚,中国,108766,0.51%
39,WEY,中国,99984,0.47%
40,金杯,中国,98709,0.46%
41,红旗,中国,95258,0.44%
42,Jeep,美国,73780,0.34%
43,标致,法国,59588,0.28%
44,上汽MAXUS,中国,59251,0.28%
45,东风风神,中国,58591,0.27%
46,宝沃,德国,54528,0.25%
47,SWM斯威汽车,中国,54235,0.25%
48,北汽幻速,中国,52501,0.24%
49,雪铁龙,法国,50278,0.23%
50,比速汽车,中国,49928,0.23%
51,长城,中国,41971,0.2%
52,东风小康,中国,40203,0.19%
53,欧拉,中国,38865,0.18%
54,君马汽车,中国,36375,0.17%
55,广汽埃安,中国,35744,0.17%
56,英菲尼迪,日本,35035,0.16%
57,路虎,英国,33839,0.16%
58,华泰,中国,33413,0.16%
59,北京,中国,28776,0.13%
60,铃木,日本,25655,0.12%
61,东南,中国,25408,0.12%
62,中华,中国,25119,0.12%
63,观致,中国,22154,0.1%
64,蔚来,中国,20139,0.09%
65,凯翼,中国,20040,0.09%
66,捷豹,英国,19922,0.09%
67,猎豹汽车,中国,19429,0.09%
68,雷诺,法国,18607,0.09%
69,小鹏汽车,中国,16609,0.08%
70,星途,中国,15994,0.07%
71,北汽昌河,中国,15697,0.07%
72,福田,中国,13791,0.06%
73,讴歌,日本,13733,0.06%
74,开瑞,中国,13723,0.06%
75,几何汽车,中国,12662,0.06%
76,欧尚汽车,中国,12484,0.06%
77,海马,中国,11421,0.05%
78,东风,中国,10178,0.05%
79,潍柴汽车,中国,10003,0.05%
80,长安凯程,中国,8716,0.04%
81,一汽,中国,7511,0.03%
82,大乘汽车,中国,6889,0.03%
83,北汽威旺,中国,5728,0.03%
84,力帆汽车,中国,4129,0.02%
85,思皓,中国,3875,0.02%
86,江铃,中国,3445,0.02%
87,江铃集团新能源,中国,3279,0.02%
88,汉腾汽车,中国,2689,0.01%
89,云度,中国,2566,0.01%
90,福汽启腾,中国,2368,0.01%
91,新特汽车,中国,2192,0.01%
92,腾势,中国,2089,0.01%
93,DS,法国,2059,0.01%
94,北汽制造,中国,2044,0.01%
95,广汽集团,中国,2043,0.01%
96,福田乘用车,中国,1852,0.01%
97,五十铃,日本,1678,0.01%
98,理念,中国,1316,0.01%
99,华颂,中国,1184,0.01%
100,野马汽车,中国,900,-
101,陆风,中国,900,-
102,纳智捷,中国,718,-
103,知豆,中国,591,-
104,思铭,中国,565,-
105,福迪,中国,543,-
106,东风风度,中国,463,-
107,菲亚特,意大利,25,-
