province,4SNumber
北京,3
安徽,4
福建,4
甘肃,1
广东,11
广西,2
贵州,3
海南,2
河北,6
河南,7
黑龙江,1
湖北,4
湖南,4
吉林,6
江苏,11
江西,2
辽宁,5
内蒙古,3
宁夏,1
青海,1
山东,11
山西,5
陕西,5
上海,3
四川,10
天津,3
西藏,0
新疆,1
云南,2
浙江,7
重庆,3
