province,4SNumber
北京,9
安徽,60
福建,59
甘肃,34
广东,102
广西,42
贵州,59
海南,9
河北,67
河南,92
黑龙江,19
湖北,54
湖南,66
吉林,11
江苏,85
江西,38
辽宁,37
内蒙古,23
宁夏,10
青海,4
山东,57
山西,37
陕西,49
上海,14
四川,107
天津,14
西藏,1
新疆,16
云南,73
浙江,57
重庆,35
