province,4SNumber
北京,30
安徽,35
福建,22
甘肃,12
广东,73
广西,17
贵州,13
海南,3
河北,45
河南,53
黑龙江,12
湖北,31
湖南,31
吉林,11
江苏,84
江西,23
辽宁,21
内蒙古,18
宁夏,2
青海,2
山东,90
山西,20
陕西,22
上海,38
四川,43
天津,12
西藏,1
新疆,11
云南,14
浙江,67
重庆,19
