province,4SNumber
北京,28
安徽,22
福建,32
甘肃,4
广东,105
广西,9
贵州,10
海南,4
河北,26
河南,26
黑龙江,11
湖北,24
湖南,23
吉林,7
江苏,66
江西,17
辽宁,22
内蒙古,9
宁夏,3
青海,2
山东,41
山西,15
陕西,15
上海,42
四川,30
天津,24
西藏,1
新疆,5
云南,13
浙江,73
重庆,18
