province,4SNumber
北京,48
安徽,33
福建,46
甘肃,13
广东,210
广西,37
贵州,23
海南,10
河北,57
河南,62
黑龙江,30
湖北,52
湖南,51
吉林,22
江苏,91
江西,27
辽宁,51
内蒙古,28
宁夏,8
青海,4
山东,71
山西,36
陕西,34
上海,33
四川,62
天津,41
西藏,4
新疆,19
云南,37
浙江,99
重庆,21
