province,4SNumber
北京,16
安徽,24
福建,15
甘肃,18
广东,58
广西,19
贵州,8
海南,1
河北,29
河南,38
黑龙江,15
湖北,25
湖南,20
吉林,9
江苏,37
江西,16
辽宁,20
内蒙古,15
宁夏,2
青海,2
山东,54
山西,16
陕西,10
上海,6
四川,42
天津,8
西藏,0
新疆,8
云南,13
浙江,19
重庆,7
