province,4SNumber
北京,44
安徽,28
福建,40
甘肃,14
广东,140
广西,33
贵州,25
海南,13
河北,68
河南,58
黑龙江,20
湖北,50
湖南,40
吉林,15
江苏,80
江西,23
辽宁,35
内蒙古,25
宁夏,6
青海,4
山东,83
山西,23
陕西,30
上海,18
四川,45
天津,24
西藏,3
新疆,22
云南,31
浙江,71
重庆,15
