province,4SNumber
北京,12
安徽,17
福建,9
甘肃,4
广东,52
广西,28
贵州,11
海南,4
河北,23
河南,33
黑龙江,14
湖北,19
湖南,25
吉林,12
江苏,34
江西,16
辽宁,21
内蒙古,17
宁夏,1
青海,1
山东,50
山西,21
陕西,12
上海,2
四川,24
天津,6
西藏,1
新疆,7
云南,16
浙江,19
重庆,4
