province,4SNumber
北京,33
安徽,18
福建,20
甘肃,5
广东,110
广西,6
贵州,12
海南,3
河北,23
河南,21
黑龙江,10
湖北,17
湖南,17
吉林,10
江苏,51
江西,9
辽宁,24
内蒙古,11
宁夏,2
青海,2
山东,37
山西,12
陕西,15
上海,24
四川,26
天津,9
西藏,1
新疆,2
云南,9
浙江,58
重庆,12
