province,4SNumber
北京,16
安徽,37
福建,25
甘肃,7
广东,59
广西,16
贵州,17
海南,5
河北,50
河南,54
黑龙江,9
湖北,24
湖南,33
吉林,9
江苏,41
江西,15
辽宁,20
内蒙古,18
宁夏,4
青海,4
山东,66
山西,31
陕西,16
上海,13
四川,40
天津,9
西藏,2
新疆,12
云南,18
浙江,33
重庆,16
