province,4SNumber
北京,10
安徽,19
福建,12
甘肃,15
广东,32
广西,15
贵州,7
海南,2
河北,36
河南,27
黑龙江,10
湖北,15
湖南,22
吉林,10
江苏,27
江西,16
辽宁,18
内蒙古,10
宁夏,4
青海,2
山东,33
山西,11
陕西,14
上海,7
四川,33
天津,7
西藏,0
新疆,15
云南,15
浙江,20
重庆,16
