province,4SNumber
北京,20
安徽,40
福建,31
甘肃,26
广东,103
广西,32
贵州,31
海南,5
河北,60
河南,67
黑龙江,21
湖北,39
湖南,42
吉林,18
江苏,70
江西,34
辽宁,33
内蒙古,26
宁夏,6
青海,4
山东,1
山西,30
陕西,25
上海,11
四川,51
天津,10
西藏,2
新疆,19
云南,26
浙江,63
重庆,21
