province,4SNumber
北京,48
安徽,34
福建,33
甘肃,14
广东,192
广西,26
贵州,19
海南,8
河北,47
河南,54
黑龙江,22
湖北,43
湖南,41
吉林,24
江苏,76
江西,27
辽宁,42
内蒙古,17
宁夏,7
青海,4
山东,79
山西,25
陕西,23
上海,20
四川,40
天津,15
西藏,2
新疆,14
云南,22
浙江,82
重庆,13
