province,4SNumber
北京,94
安徽,60
福建,59
甘肃,29
广东,139
广西,35
贵州,33
海南,9
河北,129
河南,134
黑龙江,44
湖北,57
湖南,80
吉林,40
江苏,172
江西,47
辽宁,69
内蒙古,49
宁夏,11
青海,9
山东,197
山西,61
陕西,54
上海,75
四川,112
天津,36
西藏,3
新疆,33
云南,54
浙江,159
重庆,30
