排名,车型,销量,厂商,售价(万元)
1,北汽新能源EU,93636,北汽新能源,7.98 - 7.98
2,荣威Ei5,73933,上汽集团,12.88 - 16.11
3,元新能源,61900,比亚迪,8.99 - 13.99
4,宝骏E100,60050,上汽通用五菱,4.98 - 5.98
5,唐新能源,40628,比亚迪,19.78 - 31.48
6,奇瑞eQ,32030,奇瑞新能源,15.99 - 17.19
7,帝豪新能源,29441,吉利新能源,13.58 - 15.98
8,比亚迪e5,29311,比亚迪,22.07 - 23.07
9,欧拉黑猫,28498,长城新能源,6.98 - 8.48
10,宝马5系新能源,27603,华晨宝马,49.99 - 53.69
11,逸动新能源,23148,长安汽车,12.99 - 13.99
12,帕萨特新能源,20559,上汽大众,24.39 - 25.39
13,江淮iEV6E,18383,江淮汽车,5.95 - 7.55
14,名爵EZS纯电动,17181,上汽名爵,11.98 - 14.98
15,小鹏汽车G3,16609,小鹏汽车,14.68 - 19.98
16,东风风神E70,14972,东风乘用车,13.58 - 15.98
17,北汽新能源EC,14208,北汽新能源,5.58 - 5.58
18,荣威i6新能源,12930,上汽集团,14.78 - 20.18
19,几何A,12662,几何汽车,15.00 - 19.00
20,蔚来ES6,11970,蔚来,35.80 - 52.60
21,奔腾B30EV,11970,一汽奔腾,18.98 - 18.98
22,途观L新能源,11167,上汽大众,26.58 - 29.28
23,宋新能源,10944,比亚迪,0.00 - 0.00
24,帝豪GSe,10806,吉利新能源,10.99 - 15.99
25,欧拉iQ,10367,长城新能源,11.48 - 15.03
26,江淮iEV,10057,江淮汽车,0.00 - 0.00
27,BEIJING-EU5,9468,BEIJING汽车,12.99 - 17.19
28,宋Pro新能源,9352,比亚迪,16.98 - 21.98
29,北汽新能源EX,9186,北汽新能源,8.49 - 10.39
30,卡罗拉双擎E+,8958,一汽丰田,20.78 - 23.08
31,蔚来ES8,8169,蔚来,46.80 - 62.40
32,轩逸·纯电,8109,东风日产,23.80 - 25.40
33,雷凌双擎E+,7723,广汽丰田,20.38 - 21.88
34,比亚迪e1,7470,比亚迪,5.99 - 7.99
35,比亚迪e2,7319,比亚迪,8.98 - 14.48
