排名,车型,销量,厂商,售价(万元)
1,北汽新能源EC,95837,北汽新能源,5.58 - 5.58
2,荣威Ei5,58182,上汽集团,12.88 - 16.11
3,比亚迪e5,46213,比亚迪,22.07 - 23.07
4,江淮iEV,44954,江淮汽车,0.00 - 0.00
5,宋新能源,43634,比亚迪,0.00 - 0.00
6,唐新能源,37146,比亚迪,19.78 - 31.48
7,元新能源,35699,比亚迪,8.99 - 13.99
8,江铃E200L,33948,江铃集团新能源,5.38 - 6.38
9,帝豪新能源,31426,吉利新能源,13.58 - 15.98
10,路盛S1 EV160B,29731,华泰新能源,0.00 - 0.00
11,奇瑞eQ,27870,奇瑞新能源,15.99 - 17.19
12,宝骏E100,25888,上汽通用五菱,4.98 - 5.98
13,北汽新能源EU,19577,北汽新能源,7.98 - 7.98
14,众泰E200,18865,众泰新能源,0.00 - 0.00
15,北汽新能源EX,16102,北汽新能源,8.49 - 10.39
16,知豆D2,15336,知豆电动车,0.00 - 0.00
17,蔚来ES8,12807,蔚来,46.80 - 62.40
18,江铃E100B,10551,江铃集团新能源,0.00 - 0.00
19,传祺GS4新能源,10361,广汽乘用车,16.38 - 19.38
20,瑞虎3xe,10329,奇瑞新能源,9.38 - 10.68
21,传祺GE3,8852,广汽埃安,15.48 - 18.08
22,东风风神E70,8197,东风乘用车,13.58 - 15.98
23,帝豪GSe,7484,吉利新能源,10.99 - 15.99
24,荣威i6新能源,7243,上汽集团,14.78 - 20.18
25,比亚迪e6,6508,比亚迪,0.00 - 0.00
26,云100,6501,众泰新能源,0.00 - 0.00
27,逸动新能源,6225,长安汽车,12.99 - 13.99
28,轩逸·纯电,5520,东风日产,23.80 - 25.40
29,云度π1,5414,云度新能源,11.28 - 11.98
30,宝马5系新能源,5266,华晨宝马,49.99 - 53.69
31,奔奔EV,4924,长安汽车,4.98 - 8.18
32,芝麻,4842,众泰新能源,0.00 - 0.00
33,领克01新能源,4530,领克,19.27 - 23.88
34,江淮iEV6E,4371,江淮汽车,5.95 - 7.55
35,名爵6新能源,4202,上汽名爵,14.58 - 17.58
36,开瑞K60EV,3782,开瑞汽车,19.88 - 20.88
37,风行S50EV,3532,东风风行,13.99 - 24.07
38,起亚K5新能源,3527,东风悦达起亚,22.28 - 23.98
39,欧拉iQ,3515,长城新能源,11.48 - 15.03
40,荣威MARVEL X,3405,上汽集团,26.88 - 30.88
41,WEY P8,3387,长城汽车,0.00 - 0.00
42,艾瑞泽5e,2913,奇瑞新能源,15.98 - 15.98
43,途观L新能源,2697,上汽大众,26.58 - 29.28
44,VELITE 5,2688,上汽通用别克,0.00 - 0.00
45,腾势,1974,腾势汽车,29.88 - 32.88
46,江淮iEVA50,1936,江淮汽车,13.95 - 14.55
47,路盛S1 iEV360,1738,华泰新能源,0.00 - 0.00
48,电咖·EV10,1735,电咖汽车,0.00 - 0.00
49,长城C30新能源,1730,长城汽车,0.00 - 0.00
50,众泰Z500新能源,1723,众泰新能源,11.39 - 12.59
51,长安CS75 PHEV,1660,长安汽车,17.58 - 20.78
52,云度π3,1596,云度新能源,11.98 - 14.48
53,野马EC30,1511,野马汽车,0.00 - 0.00
54,帕萨特新能源,1477,上汽大众,24.39 - 25.39
55,江铃E160,1358,江铃集团新能源,0.00 - 0.00
56,奇瑞eQ1,1355,奇瑞新能源,5.98 - 7.88
57,全球鹰K12,1203,康迪电动汽车集团,0.00 - 0.00
58,力帆820EV,1185,力帆汽车,0.00 - 0.00
59,长安CS15EV,1144,长安汽车,8.98 - 9.88
60,广汽ix4,999,广汽丰田新能源,0.00 - 0.00
61,索纳塔插电混动,931,北京现代,22.28 - 25.68
62,江淮iEV6S,819,江淮汽车,0.00 - 0.00
63,全球鹰K17,600,康迪电动汽车集团,0.00 - 0.00
64,LITE,565,北汽新能源,11.08 - 12.68
65,众泰T300新能源,430,众泰新能源,0.00 - 0.00
66,祺智EV,389,广汽三菱新能源,12.98 - 13.98
67,传祺GA3S PHEV,256,广汽埃安,16.48 - 17.48
68,小鹏汽车G3,187,小鹏汽车,14.68 - 19.98
69,上汽MAXUS EG10,139,上汽大通,30.28 - 41.68
70,广汽本田VE-1,100,广汽理念,15.98 - 18.38
71,奔腾X40新能源,57,一汽奔腾,18.38 - 19.38
72,迈威新能源,32,力帆汽车,20.98 - 20.98
73,尼欧Ⅱ,1,长安汽车,3.99 - 10.08
74,荣威e550,1,上汽集团,0.00 - 0.00
75,荣威E50,1,上汽集团,0.00 - 0.00
76,晨风,0,东风启辰,24.28 - 26.18
77,北汽威旺407EV,0,北汽昌河,10.98 - 13.40
