排名,车型,销量,厂商,售价(万元)
1,北汽新能源EC,77645,北汽新能源,5.58 - 5.58
2,知豆D2,36660,知豆电动车,0.00 - 0.00
3,宋新能源,34763,比亚迪,0.00 - 0.00
4,江淮iEV,27335,江淮汽车,0.00 - 0.00
5,比亚迪e5,23601,比亚迪,22.07 - 23.07
6,帝豪新能源,21421,吉利新能源,13.58 - 15.98
7,奇瑞eQ,18554,奇瑞新能源,15.99 - 17.19
8,众泰E200,16751,众泰新能源,0.00 - 0.00
9,唐新能源,14592,比亚迪,19.78 - 31.48
10,宝骏E100,11446,上汽通用五菱,4.98 - 5.98
11,路盛S1 EV160B,11076,华泰新能源,0.00 - 0.00
12,江铃E200L,10558,江铃集团新能源,5.38 - 6.38
13,江铃E100B,10322,江铃集团新能源,0.00 - 0.00
14,云100,10249,众泰新能源,0.00 - 0.00
15,比亚迪e6,10215,比亚迪,0.00 - 0.00
16,全球鹰K12,9347,康迪电动汽车集团,0.00 - 0.00
17,奔奔EV,8124,长安汽车,4.98 - 8.18
18,芝麻,5571,众泰新能源,0.00 - 0.00
19,众泰Z500新能源,5310,众泰新能源,11.39 - 12.59
20,腾势,4713,腾势汽车,29.88 - 32.88
21,全球鹰K17,4122,康迪电动汽车集团,0.00 - 0.00
22,江铃E160,2852,江铃集团新能源,0.00 - 0.00
23,东风风神E70,2561,东风乘用车,13.58 - 15.98
24,荣威e550,2455,上汽集团,0.00 - 0.00
25,传祺GE3,1762,广汽埃安,15.48 - 18.08
26,VELITE 5,1499,上汽通用别克,0.00 - 0.00
27,全球鹰K11,1354,康迪电动汽车集团,15.28 - 18.18
28,全球鹰K10,1147,康迪电动汽车集团,15.08 - 15.08
29,传祺GA3S PHEV,794,广汽埃安,16.48 - 17.48
30,江淮iEV6S,637,江淮汽车,0.00 - 0.00
31,荣威E50,244,上汽集团,0.00 - 0.00
32,晨风,4,东风启辰,24.28 - 26.18
33,普锐斯,0,一汽丰田,0.00 - 0.00
