排名,车型,销量,厂商,售价(万元)
1,宏光MINI EV,126603,上汽通用五菱,2.88 - 3.88
2,荣威Ei5,122497,上汽集团,12.88 - 16.11
3,Model 3,48874,特斯拉中国,26.57 - 41.98
4,秦新能源,47999,比亚迪,12.99 - 20.99
5,欧拉黑猫,46774,长城新能源,6.98 - 8.48
6,理想ONE,35380,理想,32.80 - 32.80
7,蔚来ES6,28020,蔚来,35.80 - 52.60
8,名爵EZS纯电动,23967,上汽名爵,11.98 - 14.98
9,宝骏E100,23659,上汽通用五菱,4.98 - 5.98
10,唐新能源,22497,比亚迪,19.78 - 31.48
11,威马EX5,20515,威马汽车,14.68 - 19.88
12,比亚迪e2,19616,比亚迪,8.98 - 14.48
13,宝马5系新能源,17951,华晨宝马,49.99 - 53.69
14,帕萨特新能源,16923,上汽大众,24.39 - 25.39
15,元新能源,16306,比亚迪,8.99 - 13.99
16,WEY VV7新能源,15502,长城汽车,21.98 - 23.98
17,逸动新能源,13703,长安汽车,12.99 - 13.99
18,宝骏E200,13138,上汽通用五菱,5.48 - 6.48
19,北汽新能源EU,12961,北汽新能源,7.98 - 7.98
20,途观L新能源,11870,上汽大众,26.58 - 29.28
21,小鹏汽车G3,11691,小鹏汽车,14.68 - 19.98
22,蔚来ES8,11106,蔚来,46.80 - 62.40
23,宋Pro新能源,10600,比亚迪,16.98 - 21.98
24,Aion V(埃安V),10381,广汽埃安,15.96 - 23.96
25,帝豪新能源,9693,吉利新能源,13.58 - 15.98
26,新宝骏E300,9301,上汽通用五菱,6.48 - 8.48
27,荣威i6新能源,9026,上汽集团,14.78 - 20.18
28,哪吒U,8075,合众汽车,13.98 - 19.98
29,探岳GTE,7583,一汽-大众,0.00 - 0.00
30,宋新能源,7108,比亚迪,0.00 - 0.00
31,奥迪A6L新能源,6940,一汽-大众奥迪,50.80 - 50.80
32,卡罗拉双擎E+,6893,一汽丰田,20.78 - 23.08
33,广汽丰田iA5,6828,广汽丰田新能源,16.98 - 19.28
34,欧拉白猫,6651,长城新能源,7.18 - 8.88
35,启辰D60EV,6622,东风启辰,15.01 - 17.88
36,东风本田X-NV,6579,东风本田,16.98 - 17.98
37,宝来·纯电,6045,一汽-大众,13.68 - 14.68
38,哪吒N01,5830,合众汽车,6.68 - 13.98
39,迈腾新能源,5617,一汽-大众,25.39 - 26.89
40,北汽新能源EC,5148,北汽新能源,5.58 - 5.58
41,几何A,4913,几何汽车,15.00 - 19.00
