排名,车型,销量,厂商,售价(万元)
1,哈弗H6,377240,长城汽车,9.80 - 15.49
2,本田CR-V,254478,东风本田,16.98 - 27.68
3,博越,240811,吉利汽车,8.88 - 15.68
4,长安CS75 PLUS,188386,长安汽车,10.69 - 15.49
5,奇骏,175177,东风日产,18.88 - 27.33
6,RAV4荣放,174940,一汽丰田,17.48 - 25.88
7,途观L,170208,上汽大众,21.58 - 31.18
8,探岳,168455,一汽-大众,18.59 - 31.39
9,本田XR-V,168272,东风本田,12.79 - 17.59
10,昂科威,167880,上汽通用别克,18.99 - 27.99
11,逍客,161193,东风日产,15.49 - 18.89
12,奔驰GLC,160900,北京奔驰,39.48 - 58.78
13,皓影,156306,广汽本田,16.98 - 25.28
14,哈弗M6,154470,长城汽车,6.60 - 9.29
15,缤智,150363,广汽本田,12.78 - 17.68
16,途岳,146820,上汽大众,16.58 - 22.38
17,奥迪Q5L,144648,一汽-大众奥迪,38.78 - 49.80
18,瑞虎8,135387,奇瑞汽车,8.88 - 15.99
19,传祺GS4,125251,广汽乘用车,8.98 - 15.18
20,荣威RX5,124717,上汽集团,9.98 - 13.98
21,缤越,124456,吉利汽车,7.58 - 11.98
22,哈弗F7,114296,长城汽车,11.18 - 15.18
23,T-ROC探歌,109605,一汽-大众,13.58 - 20.49
24,长安CS55,99694,长安汽车,8.29 - 13.39
25,汉兰达,95304,广汽丰田,23.98 - 32.58
26,长安CS35,95211,长安汽车,6.39 - 8.79
27,红旗HS5,94571,一汽红旗,18.38 - 24.98
28,宝马X1,93155,华晨宝马,27.88 - 33.98
29,帝豪GS,91551,吉利汽车,7.78 - 11.68
30,宝骏530,89428,上汽通用五菱,7.08 - 11.58
31,捷途X70,85892,奇瑞汽车,6.99 - 12.29
32,远景X6,83911,吉利汽车,6.89 - 9.99
33,威兰达,82071,广汽丰田,17.18 - 24.18
34,宋Pro,81148,比亚迪,8.98 - 12.99
35,捷达VS5,81077,一汽-大众捷达,8.48 - 11.28
36,宋,79159,比亚迪,6.98 - 9.38
37,名爵ZS,79049,上汽名爵,7.88 - 11.28
38,长安CS75,77741,长安汽车,10.39 - 11.99
39,沃尔沃XC60,75061,沃尔沃亚太,36.29 - 47.09
40,奥迪Q3,74372,一汽-大众奥迪,27.18 - 36.18
41,远景X3,70060,吉利汽车,4.99 - 6.89
42,智跑,68750,东风悦达起亚,11.99 - 14.89
43,新宝骏RS-3,66587,上汽通用五菱,6.38 - 9.88
44,瑞虎7,64991,奇瑞汽车,7.99 - 14.98
45,凯迪拉克XT5,62092,通用凯迪拉克,32.97 - 47.27
46,宝马X3,61892,华晨宝马,38.98 - 47.98
47,宝骏510,60570,上汽通用五菱,5.08 - 8.08
48,北京现代ix35,58277,北京现代,11.99 - 16.19
49,凯迪拉克XT4,58032,通用凯迪拉克,25.97 - 39.17
50,欧蓝德,57096,广汽三菱,15.98 - 22.58
51,丰田C-HR,54184,广汽丰田,14.18 - 18.08
52,途昂,53028,上汽大众,29.99 - 45.99
53,冠道,52619,广汽本田,22.00 - 33.28
54,马自达CX-4,50868,一汽马自达,14.88 - 21.58
55,奥迪Q2L,46973,一汽-大众奥迪,21.88 - 26.85
56,荣威RX5 MAX,46933,上汽集团,11.88 - 18.98
57,瑞虎3,46794,奇瑞汽车,5.99 - 7.99
58,风光580,46161,东风小康,7.99 - 12.30
59,捷途X90,44791,奇瑞汽车,7.99 - 14.29
60,KX3傲跑,44661,东风悦达起亚,10.88 - 12.58
61,途铠,44523,上汽大众,11.49 - 15.99
62,奕泽IZOA,44310,一汽丰田,14.58 - 17.68
63,传祺GS3,43399,广汽乘用车,7.68 - 11.38
64,探界者,42778,上汽通用雪佛兰,16.99 - 24.59
65,领界,40174,江铃福特,10.98 - 16.48
66,柯米克,40039,上汽斯柯达,8.99 - 12.59
67,锐际,39493,长安福特,16.98 - 21.88
68,北京现代ix25,38297,北京现代,10.58 - 13.68
69,捷达VS7,36409,一汽-大众捷达,10.68 - 13.68
70,名爵HS,33664,上汽名爵,10.98 - 16.98
71,马自达CX-5,33317,长安马自达,17.98 - 24.58
72,风行T5,32693,东风风行,6.99 - 13.59
73,领克05,32501,领克,17.58 - 23.58
74,吉利icon,32385,吉利汽车,9.98 - 12.88
75,领克01,32156,领克,15.08 - 21.08
76,途胜,31357,北京现代,16.99 - 21.99
77,探影,30908,一汽-大众,11.49 - 16.09
78,奔腾T77,30414,一汽奔腾,8.98 - 13.88
79,本田UR-V,29260,东风本田,24.68 - 32.98
80,蔚来ES6,28020,蔚来,35.80 - 52.60
81,长安欧尚X70A,28019,长安汽车,5.25 - 6.95
82,风光S560,26657,东风小康,6.59 - 9.69
83,凯迪拉克XT6,26555,通用凯迪拉克,38.97 - 55.27
84,劲客,26373,东风日产,9.98 - 13.88
85,发现神行,26320,奇瑞捷豹路虎,0.00 - 0.00
86,宝马X2,25649,华晨宝马,26.68 - 32.98
87,星越,24921,吉利汽车,13.58 - 19.58
88,名爵EZS纯电动,23967,上汽名爵,11.98 - 14.98
89,东风风神AX7,23790,东风乘用车,8.98 - 14.39
90,锐界,23678,长安福特,22.98 - 38.98
91,柯珞克,23295,上汽斯柯达,12.99 - 15.99
92,奔腾X40,23116,一汽奔腾,6.68 - 9.78
93,昂科旗,22824,上汽通用别克,27.99 - 37.99
94,SWM斯威G05,22741,SWM斯威汽车,6.99 - 11.99
95,唐新能源,22497,比亚迪,19.78 - 31.48
96,冒险家,22240,长安林肯,24.68 - 34.58
97,哈弗H9,22035,长城汽车,20.98 - 27.28
98,理想ONE,21472,理想,32.80 - 32.80
99,昂科拉GX,21383,上汽通用别克,15.59 - 18.59
100,领克02,21113,领克,11.98 - 18.88
101,威马EX5,20515,威马汽车,14.68 - 19.88
102,奕跑,20145,东风悦达起亚,6.98 - 8.28
103,指南者,20029,广汽菲克Jeep,13.98 - 22.98
104,WEY VV5,19545,长城汽车,12.58 - 14.78
105,普拉多,19141,一汽丰田,49.48 - 50.48
106,哈弗大狗,18739,长城汽车,11.99 - 15.59
107,传祺GS5 Super,18629,广汽乘用车,0.00 - 0.00
108,柯迪亚克,17693,上汽斯柯达,17.79 - 24.79
109,北京BJ40,17550,北京越野,15.98 - 26.99
110,启辰T90,16875,东风启辰,11.88 - 15.48
111,昂科拉,16738,上汽通用别克,12.59 - 15.59
112,英菲尼迪QX50,16716,东风英菲尼迪,33.38 - 46.98
113,潍柴汽车U70,16713,潍柴汽车,6.99 - 11.29
114,长安CS85 COUPE,16504,长安汽车,11.99 - 16.99
115,元新能源,16306,比亚迪,8.99 - 13.99
116,奔驰GLK级,16290,北京奔驰,0.00 - 0.00
117,帕萨特,15805,上汽大众,18.59 - 28.29
118,WEY VV7新能源,15502,长城汽车,21.98 - 23.98
119,长安UNI-T,15235,长安汽车,11.39 - 13.39
120,楼兰,14873,东风日产,23.88 - 37.58
121,哈弗H2,14441,长城汽车,7.59 - 9.59
122,奔腾T99,14224,一汽奔腾,14.99 - 18.99
123,途达,14122,郑州日产,16.98 - 24.83
124,SWM斯威G01,14099,SWM斯威汽车,7.99 - 12.59
125,唐,13991,比亚迪,12.99 - 16.99
126,瑞虎5x,13855,奇瑞汽车,5.99 - 11.09
127,豪越,13129,吉利汽车,10.36 - 14.26
128,哈弗F5,12992,长城汽车,7.98 - 13.00
129,荣威RX3,12396,上汽集团,6.98 - 10.43
130,途观L新能源,11870,上汽大众,26.58 - 29.28
131,风光500,11834,东风小康,5.48 - 7.48
132,小鹏汽车G3,11691,小鹏汽车,14.68 - 19.98
133,长安欧尚X7,11677,长安汽车,7.77 - 12.99
134,揽胜极光,11324,奇瑞捷豹路虎,35.58 - 50.58
135,星途TX,11272,星途,13.59 - 14.79
136,起亚KX5,11174,东风悦达起亚,15.48 - 18.18
137,领克06,11111,领克,11.86 - 14.56
138,蔚来ES8,11106,蔚来,46.80 - 62.40
139,长安欧尚X5,11095,长安汽车,6.99 - 10.59
140,红旗HS7,11039,一汽红旗,27.58 - 45.98
141,胜达,10974,北京现代,20.28 - 27.28
142,翼虎,10842,长安福特,16.98 - 24.98
143,自由光,10655,广汽菲克Jeep,17.98 - 31.98
144,宋Pro新能源,10600,比亚迪,16.98 - 21.98
145,哈弗H4,10262,长城汽车,7.39 - 11.50
146,劲炫ASX,10137,广汽三菱,9.98 - 13.98
147,WEY VV6,9984,长城汽车,14.80 - 17.50
148,长安CS55PLUS,9964,长安汽车,9.19 - 11.69
149,荣威RX8,9457,上汽集团,16.88 - 22.88
150,天逸 C5 AIRCROSS,9385,东风雪铁龙,14.97 - 23.87
151,标致4008,9003,东风标致,16.97 - 24.37
152,长安CS15,8861,长安汽车,5.59 - 8.09
153,瑞虎5,8824,奇瑞汽车,8.88 - 12.38
154,瑞风S5,8609,江淮汽车,8.95 - 13.95
155,炫界,8454,凯翼汽车,5.89 - 8.49
156,SWM斯威X7,8417,SWM斯威汽车,6.39 - 10.59
157,哪吒U,8075,合众汽车,13.98 - 19.98
158,新宝骏RS-5,7600,上汽通用五菱,9.78 - 13.58
159,北京BJ80,7584,北京越野,29.80 - 39.80
160,奕歌,7569,广汽三菱,12.98 - 18.58
161,探险者,7545,长安福特,30.98 - 39.98
