排名,车型,销量,厂商,售价(万元)
1,哈弗H6,411928,长城汽车,9.80 - 15.49
2,博越,232327,吉利汽车,8.88 - 15.68
3,本田CR-V,213305,东风本田,16.98 - 27.68
4,奇骏,207776,东风日产,18.88 - 27.33
5,长安CS75,194761,长安汽车,10.39 - 11.99
6,途观L,188495,上汽大众,21.58 - 31.18
7,逍客,179773,东风日产,15.49 - 18.89
8,探岳,179428,一汽-大众,18.59 - 31.39
9,宝骏510,158138,上汽通用五菱,5.08 - 8.08
10,本田XR-V,147203,东风本田,12.79 - 17.59
11,奔驰GLC,143727,北京奔驰,39.48 - 58.78
12,长安CS35,141482,长安汽车,6.39 - 8.79
13,哈弗F7,140770,长城汽车,11.18 - 15.18
14,途岳,138235,上汽大众,16.58 - 22.38
15,缤越,136325,吉利汽车,7.58 - 11.98
16,昂科威,132568,上汽通用别克,18.99 - 27.99
17,北京现代ix35,130994,北京现代,11.99 - 16.19
18,捷途X70,127524,奇瑞汽车,6.99 - 12.29
19,T-ROC探歌,126859,一汽-大众,13.58 - 20.49
20,荣威RX5,126482,上汽集团,9.98 - 13.98
21,RAV4荣放,125977,一汽丰田,17.48 - 25.88
22,宝马X3,121500,华晨宝马,38.98 - 47.98
23,哈弗M6,118811,长城汽车,6.60 - 9.29
24,缤智,117064,广汽本田,12.78 - 17.68
25,瑞虎8,116494,奇瑞汽车,8.88 - 15.99
26,长安CS55,112202,长安汽车,8.29 - 13.39
27,传祺GS4,103360,广汽乘用车,8.98 - 15.18
28,帝豪GS,101971,吉利汽车,7.78 - 11.68
29,汉兰达,98506,广汽丰田,23.98 - 32.58
30,宝马X1,97349,华晨宝马,27.88 - 33.98
31,远景X3,94935,吉利汽车,4.99 - 6.89
32,名爵ZS,93298,上汽名爵,7.88 - 11.28
33,智跑,85708,东风悦达起亚,11.99 - 14.89
34,欧蓝德,84960,广汽三菱,15.98 - 22.58
35,沃尔沃XC60,83280,沃尔沃亚太,36.29 - 47.09
36,宝骏530,83079,上汽通用五菱,7.08 - 11.58
37,远景X6,81952,吉利汽车,6.89 - 9.99
38,风光580,79133,东风小康,7.99 - 12.30
39,途昂,74944,上汽大众,29.99 - 45.99
40,宋Pro,73924,比亚迪,8.98 - 12.99
41,传祺GS3,72607,广汽乘用车,7.68 - 11.38
42,冠道,71552,广汽本田,22.00 - 33.28
43,丰田C-HR,65115,广汽丰田,14.18 - 18.08
44,凯迪拉克XT5,62576,通用凯迪拉克,32.97 - 47.27
45,奥迪Q3,62561,一汽-大众奥迪,27.18 - 36.18
46,元新能源,61900,比亚迪,8.99 - 13.99
47,途铠,60565,上汽大众,11.49 - 15.99
48,瑞虎5x,60245,奇瑞汽车,5.99 - 11.09
