排名,车型,销量,厂商,售价(万元)
1,哈弗H6,373229,长城汽车,9.80 - 15.49
2,途观,255353,上汽大众,0.00 - 0.00
3,圣达菲00,207907,华泰汽车,0.00 - 0.00
4,北汽幻速S3,181089,北汽幻速,5.38 - 6.98
5,长安CS75,177205,长安汽车,10.39 - 11.99
6,哈弗H2,168467,长城汽车,7.59 - 9.59
7,奇骏,166385,东风日产,18.88 - 27.33
8,昂科威,162768,上汽通用别克,18.99 - 27.99
9,本田CR-V,156607,东风本田,16.98 - 27.68
10,长安CS35,152925,长安汽车,6.39 - 8.79
11,宝骏560,145007,上汽通用五菱,6.98 - 11.78
12,翼虎,135194,长安福特,16.98 - 24.98
13,传祺GS4,129082,广汽乘用车,8.98 - 15.18
14,缤智,126838,广汽本田,12.78 - 17.68
15,众泰T600,126121,众泰汽车,7.98 - 13.78
16,瑞虎3,120357,奇瑞汽车,5.99 - 7.99
17,本田XR-V,118749,东风本田,12.79 - 17.59
18,RAV4荣放,116731,一汽丰田,17.48 - 25.88
19,奥迪Q5,114000,一汽-大众奥迪,0.00 - 0.00
20,北京现代ix35,105872,北京现代,11.99 - 16.19
21,比亚迪S7,105080,比亚迪,9.99 - 13.99
22,北京现代ix25,102755,北京现代,10.58 - 13.68
23,奔驰GLK级,99487,北京奔驰,0.00 - 0.00
24,昂科拉,82013,上汽通用别克,12.59 - 15.59
25,智跑,81522,东风悦达起亚,11.99 - 14.89
26,中华V3,76790,华晨中华,5.07 - 8.77
27,汉兰达,75206,广汽丰田,23.98 - 32.58
28,哈弗H1,74571,长城汽车,0.00 - 0.00
29,奥迪Q3,68519,一汽-大众奥迪,27.18 - 36.18
30,标致3008,67501,东风标致,13.97 - 14.97
31,瑞虎5,66980,奇瑞汽车,8.88 - 12.38
32,雪铁龙C3-XR,66487,东风雪铁龙,9.48 - 11.89
33,海马S5,65226,海马汽车,6.98 - 10.98
34,锐界,65152,长安福特,22.98 - 38.98
35,启辰T70,65072,东风启辰,8.98 - 12.78
36,瑞风S3,63148,江淮汽车,6.79 - 8.79
37,东风风神AX7,61573,东风乘用车,8.98 - 14.39
38,逍客,60072,东风日产,15.49 - 18.89
39,吉利GX7,59930,吉利汽车,0.00 - 0.00
40,翼搏,56465,长安福特,0.00 - 0.00
41,奔腾X80,55131,一汽奔腾,0.00 - 0.00
42,景逸X3,52427,东风风行,6.69 - 8.69
43,劲炫ASX,50781,广汽三菱,9.98 - 13.98
44,创酷,50736,上汽通用雪佛兰,9.99 - 13.99
45,标致2008,49229,东风标致,10.99 - 14.99
46,马自达CX-5,48610,长安马自达,17.98 - 24.58
47,优6 SUV,47965,东风裕隆,0.00 - 0.00
48,途胜,46153,北京现代,16.99 - 21.99
49,智尚S30,43674,绵阳金杯,0.00 - 0.00
50,名爵GS,42017,上汽名爵,9.88 - 17.88
51,KX3傲跑,41836,东风悦达起亚,10.88 - 12.58
52,宝马X1,41246,华晨宝马,27.88 - 33.98
53,普拉多,36691,一汽丰田,49.48 - 50.48
54,圣达菲,36636,华泰汽车,6.98 - 16.18
55,胜达,33357,北京现代,20.28 - 27.28
56,科帕奇,32357,上汽通用雪佛兰,17.99 - 20.99
57,景逸X5,31697,东风风行,6.99 - 12.98
58,锋驭,30812,长安铃木,0.00 - 0.00
59,东南DX7,29835,东南汽车,8.99 - 13.99
60,狮跑,29461,东风悦达起亚,0.00 - 0.00
61,骏派D60,29308,天津一汽,0.00 - 0.00
62,中华V5,28505,华晨中华,8.98 - 14.58
63,力帆X60,28226,力帆汽车,0.00 - 0.00
64,瑞风S2,26718,江淮汽车,5.78 - 7.68
65,比亚迪S6,25745,比亚迪,0.00 - 0.00
66,大迈X5,23921,众泰汽车,0.00 - 0.00
67,哈弗H5,23212,长城汽车,10.78 - 13.68
68,Yeti,22981,上汽斯柯达,0.00 - 0.00
69,绅宝X65,22410,BEIJING汽车,0.00 - 0.00
70,瑞风S5,22343,江淮汽车,8.95 - 13.95
71,力帆X50,19955,力帆汽车,0.00 - 0.00
72,传祺GS5 Super,19836,广汽乘用车,0.00 - 0.00
73,驭胜S350,19651,江铃汽车,12.18 - 20.18
74,海马骑士,18757,海马汽车,0.00 - 0.00
75,唐新能源,18169,比亚迪,19.78 - 31.48
76,DS 6,17803,DS汽车,0.00 - 0.00
77,哈弗H9,14011,长城汽车,20.98 - 27.28
78,宋,13569,比亚迪,6.98 - 9.38
79,野马T70,12618,野马汽车,0.00 - 0.00
80,楼兰,12421,东风日产,23.88 - 37.58
81,东风风度MX6,11516,东风风度,0.00 - 0.00
82,哈弗H8,8985,长城汽车,18.38 - 25.68
83,自由光,8007,广汽菲克Jeep,17.98 - 31.98
84,宝利格,6341,华泰汽车,11.58 - 11.58
85,北汽幻速S6,5883,北汽幻速,0.00 - 0.00
86,传祺GS5,5763,广汽乘用车,10.98 - 16.98
87,绅宝X25,5753,BEIJING汽车,0.00 - 0.00
88,帕杰罗·劲畅,5605,广汽三菱,20.88 - 30.88
89,奔驰GLC,5519,北京奔驰,39.48 - 58.78
90,撼路者,5005,江铃福特,27.58 - 37.48
91,马自达CX-7,4591,一汽马自达,0.00 - 0.00
92,维特拉,4550,长安铃木,0.00 - 0.00
93,英致G3,4291,潍柴汽车,5.69 - 8.08
94,大7 SUV,3958,东风裕隆,0.00 - 0.00
95,北京BJ40,3702,北京越野,15.98 - 26.99
96,荣威W5,3286,上汽集团,0.00 - 0.00
97,旗胜V3,2068,曙光汽车,10.18 - 11.38
98,威麟X5,1864,奇瑞威麟,0.00 - 0.00
99,黑金刚,1826,猎豹汽车,0.00 - 0.00
100,帕拉丁,1704,郑州日产,0.00 - 0.00
101,众泰T200,1553,众泰汽车,0.00 - 0.00
102,旗胜F1,1547,曙光汽车,0.00 - 0.00
103,绅宝X55,1502,BEIJING汽车,7.68 - 11.98
104,挑战者SUV,1152,曙光汽车,0.00 - 0.00
105,北京BW007,1141,北京汽车制造厂,0.00 - 0.00
106,广汽吉奥GX6,795,广汽吉奥,0.00 - 0.00
107,中兴C3,614,广汽中兴,0.00 - 0.00
108,猎豹Q6,607,猎豹汽车,11.99 - 16.98
109,五十铃MU-X,463,江西五十铃,17.88 - 26.88
110,勇士,440,北京汽车制造厂,9.98 - 16.17
111,东风风神AX3,364,东风乘用车,6.39 - 8.19
112,奥轩GX5,177,广汽吉奥,0.00 - 0.00
113,奥丁,111,郑州日产,0.00 - 0.00
114,飞腾C5,85,猎豹汽车,0.00 - 0.00
115,陆霸,37,北京汽车制造厂,0.00 - 0.00
116,猎豹CS6,2,猎豹汽车,0.00 - 0.00
