排名,车型,销量,厂商,售价(万元)
1,圣达菲00,278211,华泰汽车,0.00 - 0.00
2,本田CR-V,180706,东风本田,16.98 - 27.68
3,途观,173062,上汽大众,0.00 - 0.00
4,北京现代ix35,108241,北京现代,11.99 - 16.19
5,逍客,105143,东风日产,15.49 - 18.89
6,RAV4荣放,98179,一汽丰田,17.48 - 25.88
7,奥迪Q5,90157,一汽-大众奥迪,0.00 - 0.00
8,比亚迪S6,86851,比亚迪,0.00 - 0.00
9,智跑,75964,东风悦达起亚,11.99 - 14.89
10,汉兰达,75059,广汽丰田,23.98 - 32.58
11,海马骑士,69430,海马汽车,0.00 - 0.00
12,众泰5008,47414,众泰汽车,0.00 - 0.00
13,中华V5,44771,华晨中华,8.98 - 14.58
14,狮跑,41178,东风悦达起亚,0.00 - 0.00
15,吉利GX7,31297,吉利汽车,0.00 - 0.00
16,大7 SUV,31106,东风裕隆,0.00 - 0.00
17,奔驰GLK级,25929,北京奔驰,0.00 - 0.00
18,奇骏,22869,东风日产,18.88 - 27.33
19,传祺GS5,22820,广汽乘用车,10.98 - 16.98
20,力帆X60,22712,力帆汽车,0.00 - 0.00
21,普拉多,18706,一汽丰田,49.48 - 50.48
22,猎豹CS6,14937,猎豹汽车,0.00 - 0.00
23,昂科拉,10015,上汽通用别克,12.59 - 15.59
24,荣威W5,7396,上汽集团,0.00 - 0.00
25,胜达,7033,北京现代,20.28 - 27.28
26,长安CS35,6879,长安汽车,6.39 - 8.79
27,宝利格,6675,华泰汽车,11.58 - 11.58
28,旗胜V3,5787,曙光汽车,10.18 - 11.38
29,帕拉丁,5361,郑州日产,0.00 - 0.00
30,旗胜F1,5242,曙光汽车,0.00 - 0.00
31,驭胜S350,3446,江铃汽车,12.18 - 20.18
32,勇士,3219,北京汽车制造厂,9.98 - 16.17
33,挑战者SUV,1939,曙光汽车,0.00 - 0.00
34,北京BW007,1676,北京汽车制造厂,0.00 - 0.00
35,奥丁,1297,郑州日产,0.00 - 0.00
36,楼兰,947,东风日产,23.88 - 37.58
37,猎豹6481,818,猎豹汽车,0.00 - 0.00
38,威麟X5,734,奇瑞威麟,0.00 - 0.00
39,奥轩GX5,717,广汽吉奥,0.00 - 0.00
40,黑金刚,666,猎豹汽车,0.00 - 0.00
41,陆霸,418,北京汽车制造厂,0.00 - 0.00
42,金杯S50,281,华晨雷诺,0.00 - 0.00
