排名,车型,销量,厂商,售价(万元)
1,哈弗H6,315878,长城汽车,9.80 - 15.49
2,途观,237404,上汽大众,0.00 - 0.00
3,圣达菲00,220403,华泰汽车,0.00 - 0.00
4,本田CR-V,168179,东风本田,16.98 - 27.68
5,北京现代ix35,145304,北京现代,11.99 - 16.19
6,翼虎,135998,长安福特,16.98 - 24.98
7,RAV4荣放,124680,一汽丰田,17.48 - 25.88
8,奇骏,114459,东风日产,18.88 - 27.33
9,奥迪Q5,106999,一汽-大众奥迪,0.00 - 0.00
10,长安CS35,100571,长安汽车,6.39 - 8.79
11,比亚迪S6,98720,比亚迪,0.00 - 0.00
12,智跑,96472,东风悦达起亚,11.99 - 14.89
13,瑞虎5,92317,奇瑞汽车,8.88 - 12.38
14,瑞虎3,89997,奇瑞汽车,5.99 - 7.99
15,逍客,87448,东风日产,15.49 - 18.89
16,奥迪Q3,87311,一汽-大众奥迪,27.18 - 36.18
17,北汽幻速S3,84696,北汽幻速,5.38 - 6.98
18,翼搏,84643,长安福特,0.00 - 0.00
19,汉兰达,84490,广汽丰田,23.98 - 32.58
20,昂科拉,82346,上汽通用别克,12.59 - 15.59
21,奔腾X80,79444,一汽奔腾,0.00 - 0.00
22,胜达,71424,北京现代,20.28 - 27.28
23,传祺GS5,70508,广汽乘用车,10.98 - 16.98
24,标致3008,67791,东风标致,13.97 - 14.97
25,众泰T600,64383,众泰汽车,7.98 - 13.78
26,吉利GX7,62729,吉利汽车,0.00 - 0.00
27,奔驰GLK级,56456,北京奔驰,0.00 - 0.00
28,劲炫ASX,55420,广汽三菱,9.98 - 13.98
29,长安CS75,53031,长安汽车,10.39 - 11.99
30,力帆X60,50010,力帆汽车,0.00 - 0.00
31,哈弗H2,49351,长城汽车,7.59 - 9.59
32,马自达CX-5,48085,长安马自达,17.98 - 24.58
33,宝马X1,46719,华晨宝马,27.88 - 33.98
34,哈弗H5,45945,长城汽车,10.78 - 13.68
35,标致2008,44977,东风标致,10.99 - 14.99
36,创酷,43682,上汽通用雪佛兰,9.99 - 13.99
37,锋驭,42926,长安铃木,0.00 - 0.00
38,狮跑,40474,东风悦达起亚,0.00 - 0.00
39,海马S5,36470,海马汽车,6.98 - 10.98
40,中华V5,36077,华晨中华,8.98 - 14.58
41,优6 SUV,34631,东风裕隆,0.00 - 0.00
42,科帕奇,32525,上汽通用雪佛兰,17.99 - 20.99
43,智尚S30,29350,绵阳金杯,0.00 - 0.00
44,驭胜S350,27099,江铃汽车,12.18 - 20.18
45,海马骑士,25578,海马汽车,0.00 - 0.00
46,北京现代ix25,24721,北京现代,10.58 - 13.68
47,缤智,22545,广汽本田,12.78 - 17.68
48,昂科威,19683,上汽通用别克,18.99 - 27.99
49,荣威W5,18081,上汽集团,0.00 - 0.00
50,宝利格,17686,华泰汽车,11.58 - 11.58
51,Yeti,16292,上汽斯柯达,0.00 - 0.00
52,黑金刚,13807,猎豹汽车,0.00 - 0.00
53,哈弗H1,13049,长城汽车,0.00 - 0.00
54,普拉多,12637,一汽丰田,49.48 - 50.48
55,大7 SUV,9572,东风裕隆,0.00 - 0.00
56,东风风神AX7,8127,东风乘用车,8.98 - 14.39
57,北京BJ40,7842,北京越野,15.98 - 26.99
58,比亚迪S7,6549,比亚迪,9.99 - 13.99
59,众泰T200,5732,众泰汽车,0.00 - 0.00
60,帕杰罗·劲畅,5454,广汽三菱,20.88 - 30.88
61,哈弗H9,5102,长城汽车,20.98 - 27.28
62,传祺GS5 Super,5001,广汽乘用车,0.00 - 0.00
63,骏派D60,4041,天津一汽,0.00 - 0.00
64,DS 6,3744,DS汽车,0.00 - 0.00
65,旗胜V3,3350,曙光汽车,10.18 - 11.38
66,帕拉丁,3341,郑州日产,0.00 - 0.00
67,马自达CX-7,3218,一汽马自达,0.00 - 0.00
68,旗胜F1,2960,曙光汽车,0.00 - 0.00
69,猎豹Q6,2474,猎豹汽车,11.99 - 16.98
70,圣达菲,1658,华泰汽车,6.98 - 16.18
71,猎豹6481,1313,猎豹汽车,0.00 - 0.00
72,挑战者SUV,1306,曙光汽车,0.00 - 0.00
73,雪铁龙C3-XR,1246,东风雪铁龙,9.48 - 11.89
74,吉利SX7,1070,吉利汽车,0.00 - 0.00
75,勇士,1049,北京汽车制造厂,9.98 - 16.17
76,奥轩GX5,1044,广汽吉奥,0.00 - 0.00
77,金杯S50,688,华晨雷诺,0.00 - 0.00
78,本田XR-V,526,东风本田,12.79 - 17.59
79,奥丁,499,郑州日产,0.00 - 0.00
80,威麟X5,391,奇瑞威麟,0.00 - 0.00
81,猎豹CS6,291,猎豹汽车,0.00 - 0.00
82,北京BW007,281,北京汽车制造厂,0.00 - 0.00
83,楼兰,208,东风日产,23.88 - 37.58
84,广汽吉奥GX6,184,广汽吉奥,0.00 - 0.00
85,陆霸,91,北京汽车制造厂,0.00 - 0.00
86,飞腾C5,29,猎豹汽车,0.00 - 0.00
