排名,车型,销量,厂商,售价(万元)
1,哈弗H6,580683,长城汽车,9.80 - 15.49
2,传祺GS4,333280,广汽乘用车,8.98 - 15.18
3,宝骏560,321555,上汽通用五菱,6.98 - 11.78
4,昂科威,275383,上汽通用别克,18.99 - 27.99
5,途观,240493,上汽大众,0.00 - 0.00
6,长安CS75,209353,长安汽车,10.39 - 11.99
7,哈弗H2,196926,长城汽车,7.59 - 9.59
8,瑞风S3,196839,江淮汽车,6.79 - 8.79
9,本田CR-V,180319,东风本田,16.98 - 27.68
10,奇骏,180202,东风日产,18.88 - 27.33
11,途胜,176687,北京现代,16.99 - 21.99
12,长安CS35,172712,长安汽车,6.39 - 8.79
13,缤智,164084,广汽本田,12.78 - 17.68
14,本田XR-V,161867,东风本田,12.79 - 17.59
15,圣达菲00,146233,华泰汽车,0.00 - 0.00
16,逍客,139684,东风日产,15.49 - 18.89
17,奥迪Q5,129453,一汽-大众奥迪,0.00 - 0.00
18,锐界,123690,长安福特,22.98 - 38.98
19,瑞虎3,118417,奇瑞汽车,5.99 - 7.99
20,RAV4荣放,116460,一汽丰田,17.48 - 25.88
21,翼虎,115083,长安福特,16.98 - 24.98
22,北京现代ix25,113468,北京现代,10.58 - 13.68
23,众泰T600,112691,众泰汽车,7.98 - 13.78
24,博越,109209,吉利汽车,8.88 - 15.68
25,自由光,106827,广汽菲克Jeep,17.98 - 31.98
26,中华V3,103463,华晨中华,5.07 - 8.77
27,海马S5,102607,海马汽车,6.98 - 10.98
28,北汽幻速S3,102501,北汽幻速,5.38 - 6.98
29,宋,100042,比亚迪,6.98 - 9.38
30,汉兰达,92000,广汽丰田,23.98 - 32.58
31,大迈X5,90039,众泰汽车,0.00 - 0.00
32,荣威RX5,90033,上汽集团,9.98 - 13.98
33,奥迪Q3,88901,一汽-大众奥迪,27.18 - 36.18
34,奔驰GLC,87275,北京奔驰,39.48 - 58.78
35,东南DX7,84462,东南汽车,8.99 - 13.99
36,绅宝X25,81359,BEIJING汽车,0.00 - 0.00
37,长安欧尚CX70,80564,长安汽车,5.99 - 10.99
38,智跑,76476,东风悦达起亚,11.99 - 14.89
39,绅宝X35,74182,BEIJING汽车,0.00 - 0.00
40,雪铁龙C3-XR,73461,东风雪铁龙,9.48 - 11.89
41,启辰T70,72399,东风启辰,8.98 - 12.78
42,昂科拉,71945,上汽通用别克,12.59 - 15.59
43,北京现代ix35,71938,北京现代,11.99 - 16.19
44,猎豹CS10,71114,猎豹汽车,7.98 - 11.98
45,哈弗H1,69232,长城汽车,0.00 - 0.00
46,KX3傲跑,68913,东风悦达起亚,10.88 - 12.58
47,比亚迪S7,65360,比亚迪,9.99 - 13.99
48,帝豪GS,60521,吉利汽车,7.78 - 11.68
49,风光580,60057,东风小康,7.99 - 12.30
50,瑞虎5,55075,奇瑞汽车,8.88 - 12.38
51,宝马X1,54914,华晨宝马,27.88 - 33.98
52,东风风神AX7,53523,东风乘用车,8.98 - 14.39
53,马自达CX-5,50147,长安马自达,17.98 - 24.58
54,起亚KX5,49078,东风悦达起亚,15.48 - 18.18
55,名爵GS,48937,上汽名爵,9.88 - 17.88
56,哈弗H7,48903,长城汽车,14.20 - 18.00
57,瑞风S2,48884,江淮汽车,5.78 - 7.68
58,长安CS15,46691,长安汽车,5.59 - 8.09
59,元,45838,比亚迪,0.00 - 0.00
60,北汽幻速S6,45345,北汽幻速,0.00 - 0.00
61,标致3008,44293,东风标致,13.97 - 14.97
62,翼搏,42393,长安福特,0.00 - 0.00
63,远景X6,42392,吉利汽车,6.89 - 9.99
64,景逸X3,42316,东风风行,6.69 - 8.69
65,维特拉,41175,长安铃木,0.00 - 0.00
66,奔驰GLK级,39979,北京奔驰,0.00 - 0.00
67,众泰SR7,39343,众泰汽车,0.00 - 0.00
68,森雅R7,38934,一汽吉林,6.69 - 10.69
69,野马T70,38293,野马汽车,0.00 - 0.00
70,创酷,37636,上汽通用雪佛兰,9.99 - 13.99
71,驭胜S350,37346,江铃汽车,12.18 - 20.18
72,普拉多,37289,一汽丰田,49.48 - 50.48
73,圣达菲,37022,华泰汽车,6.98 - 16.18
74,劲炫ASX,35146,广汽三菱,9.98 - 13.98
75,凯迪拉克XT5,34775,通用凯迪拉克,32.97 - 47.27
76,东风风神AX3,34689,东风乘用车,6.39 - 8.19
77,瑞虎7,34178,奇瑞汽车,7.99 - 14.98
78,标致2008,31831,东风标致,10.99 - 14.99
79,马自达CX-4,31428,一汽马自达,14.88 - 21.58
80,唐新能源,31405,比亚迪,19.78 - 31.48
81,绅宝X55,31298,BEIJING汽车,7.68 - 11.98
82,优6 SUV,30817,东风裕隆,0.00 - 0.00
83,智尚S30,30215,绵阳金杯,0.00 - 0.00
84,景逸X5,28323,东风风行,6.99 - 12.98
85,瑞风S5,27057,江淮汽车,8.95 - 13.95
86,发现神行,26557,奇瑞捷豹路虎,0.00 - 0.00
87,Yeti,26350,上汽斯柯达,0.00 - 0.00
88,自由侠,26264,广汽菲克Jeep,12.98 - 19.08
89,哈弗H5,23299,长城汽车,10.78 - 13.68
90,胜达,22438,北京现代,20.28 - 27.28
91,奔腾X80,22039,一汽奔腾,0.00 - 0.00
92,科帕奇,21956,上汽通用雪佛兰,17.99 - 20.99
93,北汽威旺S50,21174,北汽昌河,0.00 - 0.00
94,斯威X7,20866,华晨鑫源,0.00 - 0.00
95,楼兰,20537,东风日产,23.88 - 37.58
96,凯翼X3,20069,凯翼汽车,6.39 - 7.59
97,科雷嘉,19585,东风雷诺,0.00 - 0.00
98,北京BJ20,18007,北京越野,0.00 - 0.00
99,力帆X50,15938,力帆汽车,0.00 - 0.00
100,力帆X60,15611,力帆汽车,0.00 - 0.00
101,迈威,15555,力帆汽车,0.00 - 0.00
102,沃尔沃XC60,15440,沃尔沃亚太,36.29 - 47.09
