排名,车型,销量,厂商,售价(万元)
1,哈弗H6,452552,长城汽车,9.80 - 15.49
2,宝骏510,361403,上汽通用五菱,5.08 - 8.08
3,博越,255695,吉利汽车,8.88 - 15.68
4,传祺GS4,236275,广汽乘用车,8.98 - 15.18
5,途观L,223985,上汽大众,21.58 - 31.18
6,荣威RX5,221367,上汽集团,9.98 - 13.98
7,奇骏,207951,东风日产,18.88 - 27.33
8,昂科威,201776,上汽通用别克,18.99 - 27.99
9,本田XR-V,177467,东风本田,12.79 - 17.59
10,逍客,175045,东风日产,15.49 - 18.89
11,帝豪GS,165701,吉利汽车,7.78 - 11.68
12,长安CS55,165102,长安汽车,8.29 - 13.39
13,长安CS75,158179,长安汽车,10.39 - 11.99
14,本田CR-V,145011,东风本田,16.98 - 27.68
15,RAV4荣放,144491,一汽丰田,17.48 - 25.88
16,北京现代ix35,143464,北京现代,11.99 - 16.19
17,缤智,141600,广汽本田,12.78 - 17.68
18,长安CS35,131417,长安汽车,6.39 - 8.79
19,奔驰GLC,118350,北京奔驰,39.48 - 58.78
20,远景X3,116944,吉利汽车,4.99 - 6.89
21,宝骏530,116324,上汽通用五菱,7.08 - 11.58
22,奥迪Q5,115729,一汽-大众奥迪,0.00 - 0.00
23,远景X6,113309,吉利汽车,6.89 - 9.99
24,风光580,110975,东风小康,7.99 - 12.30
25,哈弗H2,106120,长城汽车,7.59 - 9.59
26,欧蓝德,105621,广汽三菱,15.98 - 22.58
27,汉兰达,104856,广汽丰田,23.98 - 32.58
28,宝马X1,97389,华晨宝马,27.88 - 33.98
29,名爵ZS,94854,上汽名爵,7.88 - 11.28
30,传祺GS3,89310,广汽乘用车,7.68 - 11.38
31,智跑,89049,东风悦达起亚,11.99 - 14.89
32,途昂,86182,上汽大众,29.99 - 45.99
33,领克01,84875,领克,15.08 - 21.08
34,瑞虎3,84686,奇瑞汽车,5.99 - 7.99
35,冠道,80848,广汽本田,22.00 - 33.28
36,途观,76692,上汽大众,0.00 - 0.00
37,奥迪Q3,73729,一汽-大众奥迪,27.18 - 36.18
38,凯迪拉克XT5,73400,通用凯迪拉克,32.97 - 47.27
39,哈弗M6,73018,长城汽车,6.60 - 9.29
40,探界者,71497,上汽通用雪佛兰,16.99 - 24.59
41,圣达菲,71115,华泰汽车,6.98 - 16.18
42,瑞虎5,67947,奇瑞汽车,8.88 - 12.38
43,远景S1,67908,吉利汽车,0.00 - 0.00
44,长安欧尚CX70,65573,长安汽车,5.99 - 10.99
45,沃尔沃XC60,63352,沃尔沃亚太,36.29 - 47.09
46,马自达CX-4,63275,一汽马自达,14.88 - 21.58
47,指南者,63074,广汽菲克Jeep,13.98 - 22.98
48,途胜,63027,北京现代,16.99 - 21.99
49,WEY VV5,62967,长城汽车,12.58 - 14.78
50,传祺GS8,61773,广汽乘用车,15.58 - 26.28
51,奔驰GLA,61003,北京奔驰,27.68 - 33.28
52,风光S560,60101,东风小康,6.59 - 9.69
53,锐界,59892,长安福特,22.98 - 38.98
54,东南DX3,58766,东南汽车,0.00 - 10.59
55,北汽幻速S3,55391,北汽幻速,5.38 - 6.98
56,WEY VV7,54672,长城汽车,16.98 - 19.28
57,荣威RX3,53938,上汽集团,6.98 - 10.43
58,奔腾X40,52089,一汽奔腾,6.68 - 9.78
59,柯迪亚克,51230,上汽斯柯达,17.79 - 24.79
60,瑞虎8,50553,奇瑞汽车,8.88 - 15.99
61,T-ROC探歌,48324,一汽-大众,13.58 - 20.49
62,观致5,46511,观致汽车,13.88 - 16.38
63,本田UR-V,45865,东风本田,24.68 - 32.98
64,东风风神AX7,45829,东风乘用车,8.98 - 14.39
65,景逸X5,44807,东风风行,6.99 - 12.98
66,马自达CX-5,44256,长安马自达,17.98 - 24.58
67,宋新能源,43634,比亚迪,0.00 - 0.00
68,众泰T300,43235,众泰汽车,0.00 - 0.00
69,哈弗H4,43017,长城汽车,7.39 - 11.50
70,宋,40693,比亚迪,6.98 - 9.38
71,捷途X70,40009,奇瑞汽车,6.99 - 12.29
72,众泰T700,37828,众泰汽车,10.68 - 15.58
73,唐新能源,37146,比亚迪,19.78 - 31.48
74,北汽幻速S5,37040,北汽幻速,0.00 - 0.00
75,启辰T70,36765,东风启辰,8.98 - 12.78
76,众泰T500,36268,众泰汽车,6.98 - 12.38
77,瑞风S3,36043,江淮汽车,6.79 - 8.79
78,劲客,35864,东风日产,9.98 - 13.88
79,元新能源,35699,比亚迪,8.99 - 13.99
80,普拉多,34662,一汽丰田,49.48 - 50.48
81,柯米克,34112,上汽斯柯达,8.99 - 12.59
82,猎豹CS9,34027,猎豹汽车,7.68 - 12.98
83,北汽幻速S7,34002,北汽幻速,0.00 - 0.00
84,翼虎,33169,长安福特,16.98 - 24.98
85,科雷傲,32715,东风雷诺,0.00 - 0.00
86,标致4008,31859,东风标致,16.97 - 24.37
87,自由光,30932,广汽菲克Jeep,17.98 - 31.98
88,众泰T600,30418,众泰汽车,7.98 - 13.78
89,发现神行,30171,奇瑞捷豹路虎,0.00 - 0.00
90,劲炫ASX,29789,广汽三菱,9.98 - 13.98
91,SWM斯威X7,29647,SWM斯威汽车,6.39 - 10.59
92,柯珞克,29275,上汽斯柯达,12.99 - 15.99
93,汉腾X5,29122,汉腾汽车,5.98 - 10.68
94,奕泽IZOA,29080,一汽丰田,14.58 - 17.68
95,汉腾X7,28093,汉腾汽车,7.88 - 15.68
96,楼兰,27865,东风日产,23.88 - 37.58
97,瑞虎7,26836,奇瑞汽车,7.99 - 14.98
